Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,1.9665,4.0026,18.1043,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,WHEN you HEAR the BELL COME QUICKLY,,5
,,,,,,WHEN HEAR BELL COME QUICKLY,,
2,2.5566,7.486,14.8217,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,ARRIVEd on TIME,,5
,,,,,,LEAVE NOW YOU ARRIVE TIME,,
3,2.3322,3.594,17.8576,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,HE SENT tHE BOY on a SHORT erand,,5
,,,,,,HE SENT BOY SHORT ERRAND,,
4,2.2571,3.5408,10.6766,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the LONG juorny HOME,,5
,,,,,,LONG JOURNEY HOME TOOK YEAR,,
5,2.1579,2.9923,11.1439,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,OPEN the BOOK to the FIRST PAGE,,5
,,,,,,OPEN YOUR BOOK FIRST PAGE,,
6,2.0875,2.9116,16.9351,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the CORNER STORE was ROBBED LAST NIGHT,,5
,,,,,,CORNER STORE ROBBED LAST NIGHT,,
7,2.3609,3.719,15.5344,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the THIN BOOK FITS in the SIDE POCKET,,5
,,,,,,THIN BOOK FITS SIDE POCKET,,
8,1.9937,2.8309,10.3828,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,WILL you PLEASE ANSWER THAT PHONE,,5
,,,,,,WILL PLEASE ANSWER THAT PHONE,,
9,2.3592,3.3416,16.757,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,ONE STEP MORE and the BOARD will COLLAPSE,,5
,,,,,,ONE STEP MORE BOARD COLLAPSE,,
10,2.5901,4.6772,24.1324,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,SEVEN seal were STAMPED on GREAT SHEETS,,5
,,,,,,SEVEN SEALS STAMPED GREAT SHEETS,,
11,2.6556,3.4048,16.1163,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the STREETS are NARROW and FULL of SHARP TURNS,,5
,,,,,,STREETS NARROW FULL SHARP TURNS,,
12,2.8093,3.8658,13.3853,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the BLIND MAN turned in his OLD COINS,,5
,,,,,,BLIND MAN COUNTED OLD COINS,,
13,2.2146,3.1358,16.0072,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the FLAT PACK takes LESS LUGGAGE SPACE,,5
,,,,,,FLAT PACK LESS LUGGAGE SPACE,,
14,2.1878,3.7282,12.2159,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,SHE SAW a CAT in the NEIGHBORs HOUSE,,5
,,,,,,SHE SAW CAT NEIGHBOR HOUSE,,
15,1.9766,3.9106,14.2224,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,GREEN ICE FROSTED the PUNCH BOWL,,5
,,,,,,GREEN ICE FROSTED PUNCH BOWL,,
16,2.7105,4.0505,18.506,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the glass on TOP MADE it UNFIT to READ,,5
,,,,,,GLOSS TOP MADE UNFIT READ,,
17,2.7931,3.4904,17.794,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the STORE was JAMMED BEFORE the SALE could START,,5
,,,,,,STORE JAMMED BEFORE SALE START,,
18,2.151,2.5525,11.8317,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the BIG RED APPLE FELL to the GROUND,,5
,,,,,,BIG RED APPLE FELL GROUND,,
19,2.089,3.9323,11.3241,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,SMALL CHILDREN CAME to SEE you,,5
,,,,,,SMALL CHILDREN CAME SEE HIM,,
20,2.2258,3.3324,15.2759,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,TAKE the MATCH and STRIKE it AGAINST your SHOE,,5
,,,,,,TAKE MATCH STRIKE AGAINST SHOE,,
21,2.7525,3.4421,17.3457,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the STEADY DRIP is WORSE than the DRENCHING RAIN,,5
,,,,,,STEADY DRIP WORSE DRENCHING RAIN,,
22,2.6018,6.0899,23.8331,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the shirt was     BUT NEEDS to be SHORTENED,,5
,,,,,,STITCH SERVE BUT NEEDS SHORTENED,,
23,2.7208,4.8207,13.4524,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the CURTAIN raised and the SHOW WAS ON,,5
,,,,,,CURTAIN ROSE SHOW WAS ON,,
24,2.3051,3.3193,15.5189,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,STOP and STARE at the HARD WORKING MAN,,5
,,,,,,STOP STARE HARD WORKING MAN,,
25,2.7613,4.1486,14.2681,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the GRASS and BUSHES WERE WET with DEW,,5
,,,,,,GRASS BUSHES WERE WET DEW,,
26,2.2805,4.7782,4.7786,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,,,5
,,,,,,DIP PAIL ONCE LET SETTLE,,
27,2.9054,7.7207,27.32,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,this STORM TORE DOWN the BARN,,5
,,,,,,SEVERE STORM TORE DOWN BARN,,
28,2.5231,4.1253,4.1257,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,,,5
,,,,,,GOLD RING PLEASE ANY GIRL,,
29,2.6564,3.5626,15.1382,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the HAIL pounded on the brwon GRASS,,5
,,,,,,HAIL PATTERED BURNT BROWN GRASS,,
30,2.713,4.9648,17.9884,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,there was a bond ERROR on the PART of the NEW JUDGE,,5
,,,,,,BAD ERROR PART NEW JUDGE,,
31,2.8561,4.6575,19.5848,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the PUP jurked the LEASH as he saw a,,5
,,,,,,PUP JERKED LEASH FELINE SHAPE,,
32,2.4569,4.1041,21.8075,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,our TROOPS are SET to STRIKE HEAVY BLOWS,,5
,,,,,,TROOPS SET STRIKE HEAVY BLOWS,,
33,2.089,3.3723,14.052,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,SHE CALLED his NAME MANY TIMES,,5
,,,,,,SHE CALLED NAME MANY TIMES,,
34,2.8981,4.2094,16.2491,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the POT BOILED but the CONTENTS FAILED to JELL,,5
,,,,,,POT BOILED CONTENTS FAILED JELL,,
35,2.0744,5.0015,17.6971,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the STUFFED CHAIR sat in the living room,,5
,,,,,,STUFFED CHAIR SLIPPED MOVING VAN,,
36,2.8153,4.2,15.8236,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,in comes the kings HEIR to the THRONE,,5
,,,,,,YOUNG PRINCE BECAME HEIR THRONE,,
37,2.6611,3.6571,13.6568,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the BOMBS LEFT MOST of the TOWN in RUINS,,5
,,,,,,BOMBS LEFT MOST TOWN RUINS,,
38,2.2751,3.4781,3.4785,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,,,5
,,,,,,FISH EVADE NET SWIM OFF,,
39,2.8814,3.9194,14.519,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the big SHELL was FOUND on the SANDY BEACH,,5
,,,,,,PINK SHELL FOUND SANDY BEACH,,
40,2.35,5.5744,20.2379,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the   put his RIGHT FOOT in his MOUTH,,5
,,,,,,BABY PUTS RIGHT FOOT MOUTH,,
