Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.6961,5.1738,5.1743,AW,02_08_11_12_13_16_,,,5
,,,,,,POUND SUGAR COSTS MORE EGGS,,
2,2.1039,3.8464,11.237,AW,01_02_05_07_15_16_,MOVE the log OVER the HOT coals,,5
,,,,,,MOVE VAT OVER HOT FIRE,,
3,2.0491,5.6622,16.2138,TA,01_02_03_10_11_12_,they are SURE to gain an edge,,5
,,,,,,WE SURE ONE WAR ENOUGH,,
4,2.2652,6.3409,12.0207,AW,03_07_09_11_14_15_,is rusted tight,,5
,,,,,,TWO PLUS SEVEN LESS TEN,,
5,2.7899,4.7392,24.8265,AW,03_05_10_11_12_13_,the splash on the border was MADE by GREEN INK,,5
,,,,,,SPOT BLOTTER MADE GREEN INK,,
6,2.9545,5.7466,8.7783,TA,01_02_09_12_13_14_,DRESS,,5
,,,,,,SASH GOLD SILK TRIM DRESS,,
7,2.5382,5.327,17.0146,AW,01_05_07_10_12_13_,the   was USED to MAKE COSTLY GIFTS,,5
,,,,,,TUSK USED MAKE COSTLY GIFTS,,
8,2.6823,4.8728,14.3365,AW,01_03_07_11_13_14_,high time can be USED to ,,5
,,,,,,CORN COBS USED KINDLE FIRE,,
9,2.318,6.0058,6.0063,TA,01_04_09_10_11_12_,,,5
,,,,,,KEY YOU DESIGNED FIT LOCK,,
10,2.8115,6.6013,17.129,TA,01_03_05_09_10_14_,the   in the BROWN JUG is TASTY,,5
,,,,,,TEA SERVED BROWN JUG TASTY,,
11,2.6373,4.8701,4.8705,TA,03_05_09_10_15_16_,,,5
,,,,,,LEAD WORLD MORE SOUND FURY,,
12,2.4142,4.0923,7.4122,AW,01_03_05_09_12_16_,horse,,5
,,,,,,FELT GAY SHIP ARRIVED PORT,,
13,1.9418,5.7941,16.5457,AW,01_08_09_10_13_15_,WE know your mom is a GOOD COOK,,5
,,,,,,WE ADMIRE LOVE GOOD COOK,,
14,2.8065,4.8055,15.9181,TA,01_02_07_09_11_13_,CANNED PEARS LACK FULL FLAVOR,,5
,,,,,,CANNED PEARS LACK FULL FLAVOR,,
15,2.7656,5.1723,23.4998,TA,03_04_06_10_14_15_,she DANCED LIKE a SWAN TALL and GRACEFUL,,5
,,,,,,DANCED LIKE SWAN TALL GRACEFUL,,
16,1.9764,3.7497,3.7502,TA,02_05_08_11_12_16_,,,5
,,,,,,TAKES HEAT BRING OUT ODOR,,
17,2.3525,5.2033,16.3229,AW,06_07_08_14_15_16_,PEACH PIE with ICE CREAM,,5
,,,,,,ORDERED PEACH PIE ICE CREAM,,
18,2.8078,4.8944,4.8949,TA,06_07_09_11_13_14_,,,5
,,,,,,FIND TWIN STOLE PEARL NECKLACE,,
19,2.2306,5.609,15.8167,AW,03_05_06_09_12_16_,the final piece is so HARD to BUY,,5
,,,,,,FILING CASE NOW HARD BUY,,
20,2.4973,6.0919,25.403,TA,02_04_07_09_12_13_,the monkey HELD the RED SNAPPER,,5
,,,,,,BOX HELD BRIGHT RED SNAPPER,,
21,2.2883,4.3481,12.7398,TA,04_07_09_10_14_16_,the   took SIX MINUTES,,5
,,,,,,FIGHT END JUST SIX MINUTES,,
22,3.0445,6.3351,17.4387,AW,01_05_06_10_11_16_,the sled on the   PLANKS,,5
,,,,,,BIRCH CANOE SLID SMOOTH PLANKS,,
23,3.0733,4.4378,4.4382,AW,01_02_05_06_09_14_,,,5
,,,,,,SNOWED RAINED HAILED SAME MORNING,,
24,2.8234,3.8965,17.0322,TA,01_06_07_08_12_16_,the RISE to FAME of a PERSON TAKES LUCK,,5
,,,,,,RISE FAME PERSON TAKES LUCK,,
25,2.7129,5.649,8.4249,TA,01_03_04_10_12_16_,absense,,5
,,,,,,TIN CANS ABSENT STORE SHELVES,,
26,2.3643,5.2793,20.0788,TA,03_05_07_10_13_16_,the jumps on the sleepy CAT,,5
,,,,,,QUICK FOX JUMPED SLEEPING CAT,,
27,2.4716,5.4938,7.6856,AW,02_08_10_12_13_15_,PRODUCT,,5
,,,,,,ADD SUM PRODUCT THESE THREE,,
28,2.8738,4.6396,19.6871,AW,01_03_04_07_12_16_,this is a growing SEASON for HIKES ON the ROAD,,5
,,,,,,GRAND SEASON HIKES ON ROAD,,
29,2.139,4.3751,4.3756,AW,02_05_06_08_09_15_,,,5
,,,,,,DROP TWO WHEN ADD FIGURES,,
30,1.9134,4.3326,14.9162,AW,01_03_06_09_12_15_,SUNDAYs is the BEST day OF the WEEK,,5
,,,,,,SUNDAY BEST PART OF WEEK,,
31,1.8124,5.4339,12.7135,AW,04_05_06_11_12_16_,WHERE were THEY WHEN ,,5
,,,,,,WHERE THEY WHEN NOISE STARTED,,
32,2.3807,4.1042,4.1046,TA,03_10_11_12_14_16_,,,5
,,,,,,HARD ERASE BLUE RED INK,,
33,2.518,5.6235,9.2633,AW,02_04_06_12_15_16_,gave OUT,,5
,,,,,,BURN PEAT AFTER LOGS OUT,,
34,2.4679,4.6898,4.6902,AW,05_06_07_08_10_12_,,,5
,,,,,,WALLED TOWN SEIZED WITHOUT FIGHT,,
35,2.6681,3.6634,15.703,TA,01_05_09_11_12_13_,the  things were lying ALONG the ROAD,,5
,,,,,,DIRT PILES LINED ALONG ROAD,,
