Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.3984,4.0991,17.5451,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the pub rang for the FIFTH time,,5
,,,,,,CLUB RENTED RINK FIFTH NIGHT,,
2,2.4304,4.5978,22.3811,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,she made the scill for a GREAT YOUNG actrist,,5
,,,,,,KNEW SKILL GREAT YOUNG ACTRESS,,
3,2.6601,3.8426,21.25,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the FISH TWISTED and TURNED on the ... rock,,5
,,,,,,FISH TWISTED TURNED BENT HOOK,,
4,2.3483,3.9069,15.8675,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,this PIE is good to serve to CHILDREN,,5
,,,,,,MINCE PIE DISH SERVED CHILDREN,,
5,2.3483,6.5096,14.4693,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,.... is EASY for US to HEAR,,5
,,,,,,MOST NEWS EASY US HEAR,,
6,2.229,6.2042,13.5399,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,.... with STICKY GLUE,,5
,,,,,,FILL INK JAR STICKY GLUE,,
7,2.0788,5.9481,12.3488,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,... is TEN INCHES,,5
,,,,,,THERE FLOOD MARK TEN INCHES,,
8,2.3496,5.2628,17.1504,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,please TURN .. and get on the phone,,5
,,,,,,LEAVES TURN BROWN YELLOW FALL,,
9,2.4852,3.8618,19.6293,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the TAME squirril MAKES a NICE PET,,5
,,,,,,TAME SQUIRREL MAKES NICE PET,,
10,2.2703,3.3406,14.4282,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,SLIDE the BOX INTO that EMPTY SPACE,,5
,,,,,,SLIDE BOX INTO EMPTY SPACE,,
11,2.3986,8.2192,20.8507,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the .. is .. in a .. way,,5
,,,,,,SOFA CUSHION RED LIGHT WEIGHT,,
12,2.6398,3.797,16.4766,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the police .. to DISCUSS their PLANS,,5
,,,,,,PEACE LEAGUE MET DISCUSS PLANS,,
13,2.0744,4.6991,17.8747,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the .. CHAIRs .. living room,,5
,,,,,,STUFFED CHAIR SLIPPED MOVING VAN,,
14,2.4695,6.7343,25.5587,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,SERVE the HOT.. to the TIRED heros,,5
,,,,,,SERVE HOT RUM TIRED HORSES,,
15,2.0036,3.904,15.2718,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,wemon for more than HALF of the GROUP,,5
,,,,,,WOMEN FORM LESS HALF GROUP,,
16,2.5535,3.9294,16.1448,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the CLOCK STRUCK to MARK the THIRD PERIOD,,5
,,,,,,CLOCK STRUCK MARK THIRD PERIOD,,
17,2.3049,3.9678,15.6235,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,PAPER is SCARCE so WRITE with CARE,,5
,,,,,,PAPER SCARCE WRITE MUCH CARE,,
18,2.0866,3.2582,10.1939,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the PENCILS HAVE ALL BEEN USED,,5
,,,,,,PENCILS HAVE ALL BEEN USED,,
19,2.2883,3.1925,15.32,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the flight will land in SIX MINUTES,,5
,,,,,,FIGHT END JUST SIX MINUTES,,
20,2.381,4.5776,19.001,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the .. was TAUGHT a NEW way to SERVE,,5
,,,,,,HOSTESS TAUGHT NEW MAID SERVE,,
21,2.3119,2.8949,14.4626,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,LEAVE NOW and YOU will ARRIVE on TIME,,5
,,,,,,LEAVE NOW YOU ARRIVE TIME,,
22,2.55,5.6664,11.4821,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,... the THIRD WEEK,,5
,,,,,,SICKNESS KEPT HOME THIRD WEEK,,
23,2.5271,6.9857,14.4176,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the .. was cracked...,,5
,,,,,,WISP CLOUD HUNG BLUE AIR,,
24,2.6207,5.5848,16.4312,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the dog ... in the french CLOSET,,5
,,,,,,DARK POT HUNG FRONT CLOSET,,
25,2.538,4.1237,15.5634,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the .. was COVERED with hot FUDGE,,5
,,,,,,OLD PAN COVERED HARD FUDGE,,
26,2.5225,4.5965,11.7722,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,HEAVE the LINE OVER the PORT SIDE,,5
,,,,,,HEAVE LINE OVER PORT SIDE,,
27,2.5541,3.151,18.1665,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the PLUSH CHAIR LEANED AGAINST the WALL,,5
,,,,,,PLUSH CHAIR LEANED AGAINST WALL,,
28,2.3366,4.0047,14.8283,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the NEW GIRL with hired TODAY..,,5
,,,,,,NEW GIRL FIRED TODAY NOON,,
29,1.9897,2.913,15.4005,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,they COULD LAUGH ALTHOUGH they WERE SAD,,5
,,,,,,COULD LAUGH ALTHOUGH WERE SAD,,
30,2.1907,5.7923,25.3124,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,she SEWED the TORN .. QUITE NEATLY,,5
,,,,,,SEWED TORN COAT QUITE NEATLY,,
31,2.1215,3.769,15.0486,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,JUMP the FENCE and HURRY UP the BANK,,5
