Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.4054,5.2043,15.8919,TA,01_02_05_10_15_16_,ready THIS is the bast day coming,,5
,,,,,,MADAM THIS BEST BRAND CORN,,
2,3.0013,4.468,16.5159,AW,01_03_07_09_12_14_,the DOOR was .. and .. as WELL,,5
,,,,,,DOOR BARRED LOCKED BOLTED WELL,,
3,2.9636,4.6555,12.103,AW,01_08_09_11_14_15_,... on the TENTH of the MONTH,,5
,,,,,,BILLS MAILED PROMPTLY TENTH MONTH,,
4,2.2158,3.4294,11.6052,TA,01_03_04_10_13_15_,the new.. ,,5
,,,,,,RUDE LAUGH FILLED EMPTY ROOM,,
5,2.2033,3.6421,16.3055,TA,01_03_04_05_09_13_,the BUNCH of GRAPES was ..,,5
,,,,,,BUNCH GRAPES PRESSED INTO WINE,,
6,2.0023,4.5017,9.6615,AW,04_06_08_10_11_13_,... HARD WOOD,,5
,,,,,,NO CEMENT HOLD HARD WOOD,,
7,2.5163,4.7144,10.9781,AW,01_02_03_05_14_16_,... in the DESK TOP,,5
,,,,,,CIGAR BURNED HOLE DESK TOP,,
8,2.0822,5.1975,15.2691,TA,06_07_10_12_13_16_,.. can help READ the PRINT,,5
,,,,,,THICK GLASSES HELPED READ PRINT,,
9,1.9064,4.4894,10.6331,AW,01_05_08_09_10_11_,... CORNER...,,5
,,,,,,FENCE CUTS THROUGH CORNER LOT,,
10,2.5231,5.7595,7.3033,TA,05_06_10_11_14_16_,...,,5
,,,,,,GOLD RING PLEASE ANY GIRL,,
11,2.6384,5.1786,10.4025,TA,02_09_10_11_14_16_,... peak list,,5
,,,,,,PRICE FAIR GOOD ANTIQUE CLOCK,,
12,2.7232,6.6911,10.5468,TA,05_07_08_10_14_16_,... box,,5
,,,,,,GUY WRITER FEW BANNED BOOKS,,
13,1.9854,4.4001,5.049,TA,02_03_05_07_14_15_,...,,5
,,,,,,SOAP WASH MOST DIRT AWAY,,
14,2.2036,3.5619,19.6574,TA,02_07_08_09_13_15_,the .. of SUGAR.. sweat FUDGE,,5
,,,,,,CUP SUGAR MAKES SWEET FUDGE,,
15,2.0177,4.4938,5.1086,AW,01_03_06_09_15_16_,...,,5
,,,,,,TAKE TWO SHARES FAIR PROFIT,,
16,2.271,4.335,8.1188,AW,01_04_11_12_14_16_,... green ,,5
,,,,,,DOWN ROAD WAY GRAIN FARMER,,
17,2.4883,4.1507,4.9585,AW,02_03_04_05_08_09_,...,,5
,,,,,,KITE FLEW WILDLY HIGH WIND,,
18,2.3701,5.7748,18.5501,AW,02_03_06_07_12_14_,the .. LOOKED .. and LONESOME,,5
,,,,,,BIRCH LOOKED STARK WHITE LONESOME,,
19,2.2076,5.4978,6.5777,AW,01_05_10_11_14_16_,...,,5
,,,,,,ADD COLUMN PUT SUM HERE,,
20,2.8867,4.3705,12.8501,AW,01_04_10_11_13_16_,he PUT his .. in the .. and ...,,5
,,,,,,PUT LAST CARTRIDGE GUN FIRED,,
21,2.4898,3.7797,4.6195,TA,01_02_04_06_14_16_,...,,5
,,,,,,VENT NEAR EDGE FRESH AIR,,
22,2.5943,5.7283,10.976,AW,01_03_09_10_13_14_,... AROUND the BASE,,5
,,,,,,LIST NAMES CARVED AROUND BASE,,
23,2.0611,4.4728,5.3925,TA,02_05_06_07_13_14_,...,,5
,,,,,,DOTS LIGHT BETRAYED BLACK CAT,,
24,2.1759,4.779,14.8585,TA,02_03_07_09_12_14_,the man was .. BEFORE the BELL RANG,,5
,,,,,,MEAL COOKED BEFORE BELL RANG,,
25,2.2591,5.126,10.7737,AW,02_03_04_10_11_12_,... sweet,,5
,,,,,,THEIR EYELIDS DROOP WANT SLEEP,,
26,1.9395,3.7033,7.3271,AW,02_04_06_08_11_13_,... new car,,5
,,,,,,CLEAN NECK MEANS NEAT COLLAR,,
27,2.1562,4.0938,4.9585,AW,04_05_09_14_15_16_,...,,5
,,,,,,FLY MADE WAY ALONG WALL,,
28,1.9496,3.9745,4.9101,TA,02_05_07_08_15_16_,...,,5
,,,,,,CLAN GATHERED EACH DULL NIGHT,,
29,2.1329,4.1536,17.2092,AW,03_04_08_10_12_16_,they should be the .. SWIMmers,,5
,,,,,,FISH EVADE NET SWIM OFF,,
30,2.8584,5.474,12.586,TA,02_03_05_10_12_15_,... shareholder,,5
,,,,,,SOAK CLOTH DROWN SHARP ODOR,,
31,1.9701,6.7523,7.6471,AW,03_07_09_11_13_16_,...,,5
,,,,,,JUNK YARD HAD MOLDY SMELL,,
32,2.4419,4.8001,5.8869,AW,01_03_05_08_14_16_,...,,5
,,,,,,TRY HAVE COURT DECIDE CASE,,
33,2.261,4.9854,6.0492,AW,03_04_07_12_13_14_,...,,5
,,,,,,SOME ADS SERVE CHEAT BUYERS,,
34,2.9979,4.3337,14.9734,TA,02_06_08_09_11_16_,RICE is SERVED in ROUND BOWLS,,5
,,,,,,RICE OFTEN SERVED ROUND BOWLS,,
35,2.4031,5.4903,11.0981,TA,02_04_12_14_15_16_,.. BOXed candy,,5
,,,,,,CUT CORD BINDS BOX TIGHTLY,,
36,2.3587,3.9754,8.3421,AW,07_08_10_13_15_16_,... out to DINNER,,5
,,,,,,HATS WORN TEA NOT DINNER,,
37,2.7385,4.2351,5.1789,AW,04_06_08_09_10_14_,...,,5
,,,,,,DESK BOTH CHAIRS PAINTED TAN,,
38,2.1057,4.3669,14.7106,TA,04_07_11_12_13_14_,he kNEW how ... should be,,5
,,,,,,NOW HAVE NEW BASE SHIPPING,,
39,2.1387,3.9286,10.0083,AW,01_03_05_08_10_16_,... FELL FROM the LANDING,,5
,,,,,,BLACK TRUNK FELL FROM LANDING,,
40,2.4108,4.8332,12.5448,TA,02_03_04_07_14_15_,.. SPOT where the ...,,5
