Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,1.9665,4.0026,18.1043,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,when you hear the bell come quickly,,7
,,,,,,When you hear the bell come quickly,,
2,2.5566,7.486,14.8217,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,arrived on time,,8
,,,,,,Leave now and you will arrive on time,,
3,2.3322,3.594,17.8576,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,he sent the boy on a short erand,,8
,,,,,,He sent the boy on a short errand,,
4,2.2571,3.5408,10.6766,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the long juorny home,,7
,,,,,,The long journey home took a year,,
5,2.1579,2.9923,11.1439,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,open the book to the first page,,7
,,,,,,Open your book to the first page,,
6,2.0875,2.9116,16.9351,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the corner store was robbed last night,,7
,,,,,,The corner store was robbed last night,,
7,2.3609,3.719,15.5344,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the thin book fits in the side pocket,,8
,,,,,,A thin book fits in the side pocket,,
8,1.9937,2.8309,10.3828,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,will you please answer that phone,,6
,,,,,,Will you please answer that phone,,
9,2.3592,3.3416,16.757,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,one step more and the board will collapse,,8
,,,,,,One step more and the board will collapse,,
10,2.5901,4.6772,24.1324,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,seven seal were stamped on great sheets,,7
,,,,,,Seven seals were stamped on great sheets,,
11,2.6556,3.4048,16.1163,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the streets are narrow and full of sharp turns,,9
,,,,,,The streets are narrow and full of sharp turns,,
12,2.8093,3.8658,13.3853,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the blind man turned in his old coins,,7
,,,,,,The blind man counted his old coins,,
13,2.2146,3.1358,16.0072,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the flat pack takes less luggage space,,7
,,,,,,A flat pack takes less luggage space,,
14,2.1878,3.7282,12.2159,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,she saw a cat in the neighbors house,,8
,,,,,,She saw a cat in the neighbor's house,,
15,1.9766,3.9106,14.2224,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,green ice frosted the punch bowl,,6
,,,,,,Green ice frosted the punch bowl,,
16,2.7105,4.0505,18.506,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the glass on top made it unfit to read,,9
,,,,,,The gloss on top made it unfit to read,,
17,2.7931,3.4904,17.794,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the store was jammed before the sale could start,,9
,,,,,,The store was jammed before the sale could start,,
18,2.151,2.5525,11.8317,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the big red apple fell to the ground,,8
,,,,,,The big red apple fell to the ground,,
19,2.089,3.9323,11.3241,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,small children came to see you,,6
,,,,,,Small children came to see him,,
20,2.2258,3.3324,15.2759,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,take the match and strike it against your shoe,,9
,,,,,,Take the match and strike it against your shoe,,
21,2.7525,3.4421,17.3457,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the steady drip is worse than the drenching rain,,9
,,,,,,The steady drip is worse than a drenching rain,,
22,2.6018,6.0899,23.8331,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the shirt was     but needs to be shortened,,9
,,,,,,The stitch will serve but needs to be shortened,,
23,2.7208,4.8207,13.4524,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the curtain raised and the show was on,,8
,,,,,,The curtain rose and the show was on,,
24,2.3051,3.3193,15.5189,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,stop and stare at the hard working man,,8
,,,,,,Stop and stare at the hard working man,,
25,2.7613,4.1486,14.2681,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the grass and bushes were wet with dew,,8
,,,,,,The grass and bushes were wet with dew,,
26,2.2805,4.7782,4.7786,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,,,8
,,,,,,Dip the pail once and let it settle,,
27,2.9054,7.7207,27.32,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,this storm tore down the barn,,7
,,,,,,A severe storm tore down the barn,,
28,2.5231,4.1253,4.1257,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,,,8
,,,,,,A gold ring will please most any girl,,
29,2.6564,3.5626,15.1382,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the hail pounded on the brwon grass,,8
,,,,,,The hail pattered on the burnt brown grass,,
30,2.713,4.9648,17.9884,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,there was a bond error on the part of the new judge,,12
,,,,,,It was a bad error on the part of the new judge,,
31,2.8561,4.6575,19.5848,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the pup jurked the leash as he saw a,,11
,,,,,,The pup jerked the leash as he saw a feline shape,,
32,2.4569,4.1041,21.8075,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,our troops are set to strike heavy blows,,8
,,,,,,Our troops are set to strike heavy blows,,
33,2.089,3.3723,14.052,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,she called his name many times,,6
,,,,,,She called his name many times,,
34,2.8981,4.2094,16.2491,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the pot boiled but the contents failed to jell,,9
,,,,,,The pot boiled but the contents failed to jell,,
