Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.4624,4.0192,19.0347,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,DIG DEEP in the EARTH for PIRATEs GOLD,5,5
,,,,,,DIG DEEP EARTH PIRATE GOLD,,
2,2.5361,3.7299,14.0255,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the MAIL COMES in THREE batchs per DAY,5,5
,,,,,,MAIL COMES THREE BATCHES DAY,,
3,3.2203,4.9539,16.1055,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the  forms in the afternoon,0,5
,,,,,,GOOD BOOK INFORMS OUGHT KNOW,,
4,2.5031,4.0484,15.8401,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,PUT the CHART on the mantle and TACK it DOWN,5,5
,,,,,,PUT CHART MANTEL TACK DOWN,,
5,2.4997,4.1602,17.0238,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,HANG tinsle thru those BRANCHES,3,5
,,,,,,HANG TINSEL FROM BOTH BRANCHES,,
6,2.9574,4.9454,15.585,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,you can not   in a COLD POT,2,5
,,,,,,CANNOT BREW TEA COLD POT,,
7,2.3034,5.7109,18.2304,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the HORSE  and thrw the TALL RIDER,4,5
,,,,,,HORSE BALKED THREW TALL RIDER,,
8,2.7164,4.0016,22.6091,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,they should have SET the LAMP FIRMLY in the HOLE,4,5
,,,,,,SURE SET LAMP FIRMLY HOLE,,
9,2.2881,3.7883,15.6439,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,a SMATTERing of FRENCH is WORSE THAN NONE,5,5
,,,,,,SMATTER FRENCH WORSE THAN NONE,,
10,2.5178,4.8879,15.2076,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,a GOLD  is RARE and COSTLY,3,5
,,,,,,GOLD VASE BOTH RARE COSTLY,,
11,2.8858,4.4431,36.7212,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the SLAB is hun from HEAVY BLOCKS of SLATE,4,5
,,,,,,SLAB HEWN HEAVY BLOCKS SLATE,,
12,2.4836,2.8857,13.7091,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,MANY hand HELP get the JOB DONE,5,5
,,,,,,MANY HANDS HELP JOB DONE,,
13,2.6997,6.0567,10.3124,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,from ALL SIDES,2,5
,,,,,,DIMES SHOWERED DOWN ALL SIDES,,
14,2.5921,3.7587,14.9103,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the NIGHT SHIFT men RATE EXTRA PAY,5,5
,,,,,,NIGHT SHIFT RATE EXTRA PAY,,
15,2.2588,3.3508,15.1665,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,they SANG the SAME tones at EACH PARTY,4,5
,,,,,,SANG SAME TUNES EACH PARTY,,
16,2.1162,3.0467,16.9423,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the HITCH BETWEEN the HORSE and CART BROKE,5,5
,,,,,,HITCH BETWEEN HORSE CART BROKE,,
17,2.8366,3.3865,18.3461,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the RAREST SPICE comes FROM the FAR EAST,5,5
,,,,,,RAREST SPICE FROM FAR EAST,,
18,2.3137,7.3482,14.4839,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,take the  and SLIP it UNDER the ,2,5
,,,,,,PICK CARD SLIP UNDER PACK,,
19,2.65,6.8432,15.5069,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,SEE the PLAYERs   to their BASE,3,5
,,,,,,SEE PLAYER SCOOT THIRD BASE,,
20,2.7296,3.7148,14.1465,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the MULE TROD the TREADMILL DAY and NIGHT,5,5
,,,,,,MULE TROD TREADMILL DAY NIGHT,,
21,2.6838,9.1795,18.4591,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,are DIFFERENT FROM those for ,2,5
,,,,,,SHIP MAPS DIFFERENT FROM PLANES,,
22,2.7669,3.8394,18.111,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the PODS of PEAS forment in the BARE FIELDS,5,5
,,,,,,PODS PEAS FERMENT BARE FIELDS,,
23,2.3017,4.1352,16.5268,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the ROUND  COVERed the bald SPOT,3,5
,,,,,,ROUND MAT COVER DULL SPOT,,
24,2.3502,3.077,14.4767,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,COD is the MAIN BUSINESS of the NORTH SHORE,5,5
,,,,,,COD MAIN BUSINESS NORTH SHORE,,
25,2.331,5.4058,16.1734,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,SLIDE the BILL BETWEEN the TWO LEAVES,5,5
,,,,,,SLIDE BILL BETWEEN TWO LEAVES,,
26,1.9817,2.9279,10.7517,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the POOR BOY MISSED the BOAT AGAIN,5,5
,,,,,,POOR BOY MISSED BOAT AGAIN,,
27,2.5273,2.9053,14.7495,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,we DON't LIKE to ADMIT our SMALL FAULTS,5,5
,,,,,,DON LIKE ADMIT SMALL FAULTS,,
28,2.0611,6.783,14.6707,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the LIGHT to   the dark path,1,5
,,,,,,DOTS LIGHT BETRAYED BLACK CAT,,
29,2.1013,3.9631,14.5306,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,PILE the COAL HIGH in the   CORNER,4,5
,,,,,,PILE COAL HIGH SHED CORNER,,
30,2.543,3.3028,17.1424,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the ROOF SHOULD be TILTED in a SHARP SLANT,5,5
,,,,,,ROOF SHOULD TILTED SHARP SLANT,,
31,2.5163,4.4606,11.2203,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,in STRONG DRINK,2,5
,,,,,,DUNK STALE BISCUITS STRONG DRINK,,
32,2.4145,3.9798,20.5233,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the  was HUNG INSIDE it's BRIGHT sheet,3,5
,,,,,,KNIFE HUNG INSIDE BRIGHT SHEATH,,
33,2.0611,2.9061,12.7299,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,NO DOUBT about the WAY the WIND BLOWS,5,5
,,,,,,NO DOUBT WAY WIND BLOWS,,
34,2.7834,4.0003,17.5119,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the ain of the CONTEST was RAISE a GREAT FUND,4,5
,,,,,,AIM CONTEST RAISE GREAT FUND,,
35,2.9096,3.9347,17.5911,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the SKY in the WEST is TINGED with ORANGE-RED,5,5
,,,,,,SKY WEST TINGED ORANGE RED,,
36,2.7175,3.9288,14.9205,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the FIRST PART of the PLAN NEEDS CHANGING,5,5
,,,,,,FIRST PART PLAN NEEDS CHANGING,,
37,2.794,4.9184,17.398,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,there is a FINE HARD TANGe in SALTY AIR,5,5
,,,,,,FINE HARD TANG SALTY AIR,,
38,2.4755,6.7996,18.991,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,tap the JAR with a TIGHT BRASS COVER,4,5
,,,,,,CAP JAR TIGHT BRASS COVER,,
39,2.6234,4.6578,14.8505,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,the RED PAPER brighten the DIM STAGE,5,5
,,,,,,RED PAPER BRIGHTENED DIM STAGE,,
40,2.5408,5.5217,13.1385,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_,AMOUNTS is BAD,2,5
,,,,,,SEND NOW LARGE AMOUNTS BAD,,
