Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,1.8299,3.3759,3.3761,AW,03_07_08_12_13_16_,,0,5
,,,,,,TAKE CHANCE WIN CHINA DOLL,,
2,2.1892,6.8903,6.8907,TA,01_03_04_08_10_12_,,0,5
,,,,,,SMALL RED NEON LAMP OUT,,
3,2.6945,4.0104,4.0108,TA,03_05_06_08_12_16_,,0,5
,,,,,,STIFF CORD WILL FASTEN SHOE,,
4,2.2914,3.4953,9.047,TA,01_02_05_07_13_14_,understood,0,5
,,,,,,FINE SOAP SAVES TENDER SKIN,,
5,2.54,4.5412,4.5415,TA,03_05_07_08_09_16_,,0,5
,,,,,,TEA THIN CHINA SWEET TASTE,,
6,2.6151,4.3875,4.3879,AW,03_08_13_14_15_16_,,0,5
,,,,,,SCREEN PORCH WOVEN STRAW MATS,,
7,3.0436,5.5468,5.5472,TA,01_04_08_13_14_15_,,0,5
,,,,,,BEST METHOD FIX PLACE CLIPS,,
8,2.5703,20.2799,20.2803,AW,01_02_05_06_09_12_,,0,5
,,,,,,PLEASANT HOURS FLY TOO SOON,,
9,2.4702,4.8409,8.6807,TA,02_08_10_12_14_15_,GRAIN server,1,5
,,,,,,DOWN ROAD WAY GRAIN FARMER,,
10,2.3172,4.4299,10.8137,AW,01_03_04_09_10_14_,NO   to KEEP HIM SAD,4,5
,,,,,,NO HARDSHIP KEEP HIM SAD,,
11,3.2251,5.4686,10.1564,TA,03_04_06_09_13_15_,SOFT and TASTY,2,5
,,,,,,CLAMS SMALL ROUND SOFT TASTY,,
12,2.9775,4.9166,20.8681,TA,02_03_04_07_10_12_,we have a   on the twelfeth of the MONTH,1,5
,,,,,,NEXT SUNDAY IS TWELFTH MONTH,,
13,2.572,5.4594,8.219,TA,01_04_06_10_12_14_,brass TOP,1,5
,,,,,,SLIDE TRAY ACROSS GLASS TOP,,
14,2.2163,6.6365,10.0522,AW,01_03_08_09_11_14_,for a SECOND ,1,5
,,,,,,PICKED UP DICE SECOND ROLL,,
15,2.5587,3.9489,15.2446,AW,01_04_05_10_11_15_,the   on a THIN WOODEN RACK,3,5
,,,,,,CLOTHES DRIED THIN WOODEN RACK,,
16,2.2864,3.4588,14.4344,TA,04_05_08_11_13_14_,the lawers SPEECH will be LOST,2,5
,,,,,,IF MUMBLE YOUR SPEECH LOST,,
17,2.3297,5.719,11.9345,TA,01_05_06_09_11_15_,FINE BRAND of PAPER,3,5
,,,,,,FLAX MAKES FINE BRAND PAPER,,
18,2.9112,4.3809,16.7565,TA,03_06_09_12_14_15_,she did her best at all TIMES,1,5
,,,,,,EITHER MUD DUST FOUND TIMES,,
19,2.1384,3.6677,3.6681,AW,01_10_11_14_15_16_,,0,5
,,,,,,NAG PULLED FRAIL CART ALONG,,
20,2.5377,5.1203,5.1208,TA,01_03_08_09_12_14_,,0,5
,,,,,,DILL PICKLES SOUR TASTE FINE,,
21,2.0618,4.0969,7.3046,AW,01_03_06_08_09_15_,is GROWINg,1,5
,,,,,,POD PEAS ALWAYS GROW IN,,
22,2.451,5.2239,5.2243,AW,03_04_06_09_12_15_,,0,5
,,,,,,WHEELED BIKE PAST WINDING ROAD,,
23,2.3859,3.9944,3.9949,AW,03_06_09_11_12_14_,,0,5
,,,,,,FORCE EQUAL WOULD MOVE EARTH,,
24,2.139,4.2702,4.2706,AW,02_05_08_09_10_14_,,0,5
,,,,,,SEND STUFF THICK PAPER BAG,,
25,2.0928,3.0981,3.0985,AW,02_03_07_10_12_16_,,0,5
,,,,,,TWIST VALVE RELEASE HOT STEAM,,
26,2.2165,4.5378,4.5383,AW,02_04_07_08_11_16_,,0,5
,,,,,,BOY OWED PAL THIRTY CENTS,,
27,2.6924,4.6501,4.6505,TA,04_05_09_11_14_16_,,0,5
,,,,,,ROUND HOLE DRILLED THIN BOARD,,
28,2.3229,3.9672,3.9676,TA,04_05_06_11_13_16_,,0,5
,,,,,,STEEP TRAIL PAINFUL OUR FEET,,
29,2.6411,4.4175,19.8811,AW,02_06_09_13_15_16_,the SENSE of SMELL is  that of TOUCH,3,5
,,,,,,SENSE SMELL BETTER THAN TOUCH,,
30,2.2751,4.5774,4.5778,TA,03_07_10_12_14_16_,,0,5
,,,,,,FACTS DON ALWAYS SHOW RIGHT,,
31,2.6485,4.2426,14.3463,TA,01_03_04_07_10_16_,the  and   are HARD to come APART,2,5
,,,,,,TOAD FROG HARD TELL APART,,
32,2.3216,3.6727,3.6731,TA,02_04_08_12_13_16_,,0,5
,,,,,,BREATHE DEEP SMELL PINEY AIR,,
33,2.2788,3.7057,3.7061,AW,01_04_07_10_11_16_,,0,5
,,,,,,GRAY MARE WALKED BEFORE COLT,,
34,2.9333,4.7724,4.7729,TA,03_04_05_08_11_14_,,0,5
,,,,,,NIGHT ALARM ROUSED DEEP SLEEP,,
35,2.0226,4.5601,4.5605,AW,03_05_06_07_12_14_,,0,5
,,,,,,NOW HAVE NEW BASE SHIPPING,,
36,2.5041,4.1747,4.1752,AW,01_05_07_08_10_14_,,0,5
,,,,,,BIRTH DEATH MARK LIMITS LIFE,,
37,2.5921,4.2564,4.2568,TA,02_06_08_13_14_15_,,0,5
,,,,,,SLIDE CATCH BACK OPEN DESK,,
38,2.4965,5.6247,5.6251,TA,02_03_09_10_13_14_,,0,5
,,,,,,SIT PERCH TELL OTHERS DO,,
39,2.2973,4.4314,8.3751,TA,02_03_07_11_13_16_,PUBLIC SCHOOL,2,5
,,,,,,TOOK KIDS FROM PUBLIC SCHOOL,,
40,2.7196,4.3496,4.3501,TA,01_07_08_09_12_13_,,0,5
,,,,,,SINK THING WHICH PILE DISHES,,
41,2.5898,6.3057,15.4894,AW,01_04_08_09_10_15_,THERE is   BETWEEN    and ,2,5
,,,,,,THERE LAG BETWEEN THOUGHT ACT,,
42,2.4883,4.7625,4.763,AW,02_04_05_06_10_16_,,0,5
,,,,,,KITE FLEW WILDLY HIGH WIND,,
43,2.6666,4.9631,4.9636,AW,02_05_07_12_13_15_,,0,5
,,,,,,SIP TEA REVIVES TIRED FRIEND,,
44,2.6799,4.6727,4.6731,AW,01_04_07_09_12_13_,,0,5
,,,,,,DROP ASHES WORN OLD RUG,,
45,2.8245,4.5665,6.3582,AW,02_03_06_08_13_15_,jewels,0,5
,,,,,,SENT FIGS KEPT RIPE CHERRIES,,
46,2.345,3.5846,3.585,AW,04_05_06_07_14_15_,,0,5
,,,,,,THICK GLASSES HELPED READ PRINT,,
47,2.2762,6.1845,10.5683,TA,04_09_10_13_14_16_,to the BANK EARLY,2,5
,,,,,,GET TRUST FUND BANK EARLY,,
48,2.973,4.7458,4.7462,TA,01_02_08_10_14_16_,,0,5
,,,,,,HOLD HAMMER END DRIVE NAIL,,
49,2.6381,6.161,13.1928,TA,02_06_08_11_12_15_,a QUICK slip of the ,1,5
,,,,,,SEVER TWINE QUICK SNIP KNIFE,,
50,2.7385,3.9621,3.9626,AW,01_02_03_08_09_12_,,0,5
,,,,,,DESK BOTH CHAIRS PAINTED TAN,,
51,2.7975,5.3062,8.9539,TA,01_04_05_06_10_13_,GOLD,1,5
,,,,,,JERK CORD OUT TUMBLES GOLD,,
52,2.6102,7.6183,11.73,AW,04_06_10_13_15_16_,HEARTS  JUMP,2,5
,,,,,,ODOR SPRING YOUNG HEARTS JUMP,,
53,2.0011,4.5315,4.5319,AW,01_03_04_07_09_15_,,0,5
,,,,,,BOTTLES HOLD FOUR KINDS RUM,,
54,2.533,4.8961,21.3114,TA,02_04_05_10_12_16_,the THICK COATs of PAINT COVERED all,4,5
,,,,,,THICK COAT BLACK PAINT COVERED,,
55,2.722,5.0392,21.3108,TA,01_06_10_12_14_15_,the PIPE RAN ALMOST the LENGTH of the DITCH,5,5
,,,,,,PIPE RAN ALMOST LENGTH DITCH,,
56,2.3092,4.3501,4.3505,AW,02_03_04_07_11_14_,,0,5
,,,,,,THIS HORSE NOSE WAY FINISH,,
57,2.4423,4.4064,7.358,AW,03_05_06_07_11_16_,small and solid,0,5
,,,,,,WORK TAILOR SEEN EACH SIDE,,
58,2.0961,2.9051,2.9055,AW,02_03_07_08_13_14_,,0,5
,,,,,,FASTEN TWO PINS EACH SIDE,,
59,2.6839,3.6775,19.2131,AW,01_06_08_10_12_15_,the WAY to SAVE MONEY is NOT to SPEND much,5,5
,,,,,,WAY SAVE MONEY NOT SPEND,,
60,2.9639,7.0445,10.1404,AW,04_05_08_12_15_16_,was a LARGE,1,5
,,,,,,REAR GROUND FLOOR LARGE PASSAGE,,
