Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,3.277,4.7572,17.4288,TA,01_05_07_08_13_14_,we do   and step into the green outdoors,,9
,,,,,,Wake and rise and step into the green outdoors,,
2,2.4266,3.7405,3.741,TA,02_03_08_10_12_16_,,,9
,,,,,,The latch on the back gate needed a nail,,
3,2.765,3.8837,3.8841,TA,06_07_08_13_14_16_,,,9
,,,,,,She flaps her cape as she parades the street,,
4,1.8351,5.2535,8.1493,TA,02_05_08_11_12_13_,her last,,5
,,,,,,Dull stories make her laugh,,
5,2.1636,5.1414,7.5252,AW,03_04_05_06_12_15_,have fun,,9
,,,,,,We don't get much money but we have fun,,
6,2.0023,3.7358,6.0797,AW,04_06_10_11_12_16_,hard wood,,6
,,,,,,No cement will hold hard wood,,
7,2.2511,5.3758,10.6795,TA,03_04_05_10_12_14_,where I can see it,,9
,,,,,,It was done before the boy could see it,,
8,3.0219,7.8168,13.6085,TA,03_04_05_06_10_16_,man with a long pole,,10
,,,,,,Hurdle the pit with the aid of a long pole,,
9,2.8051,4.5688,29.4321,TA,01_04_06_08_11_16_,the pencil was cut to be sharpened at both ends,,10
,,,,,,The pencil was cut to be sharp at both ends,,
10,2.1683,3.3577,3.3581,AW,06_07_08_09_13_16_,,,7
,,,,,,The marsh will freeze when cold enough,,
11,2.5208,4.5394,5.2351,TA,01_02_06_09_11_12_,end,,8
,,,,,,A plea for funds seems to come again,,
12,2.9074,4.7406,9.8843,TA,02_04_05_09_11_13_,tall dark stranger,,9
,,,,,,He lent his coat to the tall gaunt stranger,,
13,2.48,5.9496,7.1493,TA,04_05_06_09_14_15_,lost,,8
,,,,,,Keep the hatch tight and the watch constant,,
14,2.7353,7.558,18.0937,TA,02_05_07_10_12_13_,scared the school children off,,7
,,,,,,The ram scared the school children off,,
15,2.5157,3.6009,3.6011,TA,09_10_11_12_13_16_,,,7
,,,,,,Post no bills on this office wall,,
16,2.3522,3.6955,15.4876,AW,02_06_08_11_12_13_,the three story house was filled with,,8
,,,,,,The three story house was built of stone,,
17,2.3678,7.7506,11.3984,AW,01_05_06_10_14_15_,huge bubble,,9
,,,,,,The vamp of the shoe had a gold buckle,,
18,2.8051,5.0015,8.9453,TA,02_03_06_09_12_14_,slow spin,,8
,,,,,,The leaf drifts along with a slow spin,,
19,2.5943,5.8321,13.9838,AW,02_03_04_05_11_12_,called throughout the day,,9
,,,,,,A list of names is carved around the base,,
20,2.356,4.1282,4.1286,TA,04_07_08_09_14_16_,,,7
,,,,,,The black trunk fell from the landing,,
21,2.4519,4.5344,4.5348,AW,02_05_09_10_13_16_,,,10
,,,,,,A quart of milk is water for the most part,,
22,2.5741,5.2513,9.4031,TA,02_03_04_09_12_14_,an interesting,,6
,,,,,,Calves thrive on tender spring grass,,
23,2.3836,7.0972,14.1769,AW,03_04_05_10_13_15_,the   but had no ,,8
,,,,,,The chair looked strong but had no bottom,,
24,2.5255,4.0955,4.0959,AW,01_02_03_07_13_15_,,,11
,,,,,,The water in this well is a source of good health,,
25,2.6427,7.0929,13.7245,TA,04_07_13_14_15_16_,circled the hot wall,,7
,,,,,,The brass tube circled the high wall,,
26,2.6294,4.5038,15.4395,TA,02_06_07_11_14_15_,the farmer  horse  ox,,9
,,,,,,The farmer swapped his horse for a brown ox,,
27,3.0473,4.3611,16.4967,TA,01_03_09_10_11_15_,the weight of the package   high scale,,11
,,,,,,The weight of the package was seen on the high scae,,
28,2.4097,5.7629,11.8666,TA,02_03_07_09_13_15_,thru the door of the stable,,9
,,,,,,Pitch the straw through the door of the stable,,
29,2.8673,5.7107,5.7112,TA,04_05_09_11_13_14_,,,10
,,,,,,He put his last cartridge into the gun and fired,,
30,2.2452,4.6503,13.042,TA,03_04_08_10_13_15_,sheets from the other pad,,8
,,,,,,Tear a thin sheet from the yellow pad,,
31,3.0013,5.1043,7.0081,AW,03_05_06_09_11_16_,as well,,9
,,,,,,The door was barred locked and bolted as well,,
32,2.5868,4.413,13.7006,TA,02_07_08_09_12_15_,fill your cups  with ,,9
,,,,,,Fill your pack with bright trinkets for the poor,,
33,2.2424,4.5131,4.5135,TA,05_06_07_08_13_15_,,,6
,,,,,,Bribes fail where honest men work,,
34,2.342,4.9683,4.9687,TA,01_03_05_12_15_16_,,,9
,,,,,,Loop the braid to the left and then over,,
35,2.338,5.148,5.1485,AW,02_06_07_09_10_16_,,,8
,,,,,,Five years he lived with a shaggy dog,,
36,2.6854,5.1048,6.7925,AW,02_08_09_10_13_15_,church,,10
,,,,,,He offered proof in the form of a large chart,,
37,2.3282,3.6911,7.715,AW,04_06_09_10_13_16_,she blessed ,,9
,,,,,,She blushed when he gave her a white orchid,,
38,2.304,3.4255,6.6813,AW,02_05_09_12_13_15_,the mailman ,,9
,,,,,,The man wore a feather in his felt hat,,
39,2.9636,5.6826,7.2263,AW,02_08_09_13_14_15_,visit,,10
,,,,,,The bills were mailed promptly on the tenth of themonth,,
40,1.8953,5.2174,11.4012,AW,02_08_10_11_12_16_,beside the sewer,,6
,,,,,,Once we stood beside the shore,,
41,3.2055,4.6486,4.649,TA,03_05_06_07_09_16_,,,9
,,,,,,Footprints showed the path he took up the beach,,
42,3.0418,4.1039,5.9438,TA,01_06_07_12_14_16_,words,,10
,,,,,,It matters not if he reads these words or those,,
43,2.5541,3.7134,3.7138,AW,01_06_09_11_14_15_,,,6
,,,,,,New pants lack cuffs and pockets,,
44,2.4649,4.521,4.5214,TA,02_04_05_07_08_13_,,,7
,,,,,,The early phase of life moves fast,,
45,2.7383,4.3226,8.4424,TA,01_02_03_08_09_12_,aged ground,,7
,,,,,,The child crawled into the dense grass,,
