Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,1.9665,3.5536,20.6489,TA,01_02_03_04_05_06_07_08_,WHEN you HEAR the BELL COME QUICKLY,,5
,,,,,,WHEN HEAR BELL COME QUICKLY,,
2,2.5566,4.7015,18.1657,TA,01_02_03_04_05_06_07_08_,We need to do it right on TIME,,5
,,,,,,LEAVE NOW YOU ARRIVE TIME,,
3,2.3322,7.1633,22.2508,TA,01_02_03_04_05_06_07_08_,see tHE BOY s nearly,,5
,,,,,,HE SENT BOY SHORT ERRAND,,
4,2.2571,4.2168,12.961,TA,01_02_03_04_05_06_07_08_,The lawyer was good to hear,,5
,,,,,,LONG JOURNEY HOME TOOK YEAR,,
5,2.1579,5.4408,10.449,TA,01_02_03_04_05_06_07_08_,OPEN to the FIRST PAGE,,5
,,,,,,OPEN YOUR BOOK FIRST PAGE,,
6,2.0875,3.9421,19.8777,TA,01_02_03_04_05_06_07_08_,the CORNER STORE was broadcasting,,5
,,,,,,CORNER STORE ROBBED LAST NIGHT,,
7,2.3609,4.0364,13.412,AW,01_02_03_04_05_06_07_08_,The fifth BOOK FITS in the SIDE POCKET,,5
,,,,,,THIN BOOK FITS SIDE POCKET,,
8,1.9937,2.7886,11.0684,TA,01_02_03_04_05_06_07_08_,WILL you PLEASE ANSWER THAT PHONE,,5
,,,,,,WILL PLEASE ANSWER THAT PHONE,,
9,2.3592,3.3277,14.9434,AW,01_02_03_04_05_06_07_08_,ONE STEP MORE and the BOARD will COLLAPSE,,5
,,,,,,ONE STEP MORE BOARD COLLAPSE,,
10,2.5901,4.0029,17.8906,AW,01_02_03_04_05_06_07_08_,SEVEN SEALS were STAMPED on gray SHEETS,,5
,,,,,,SEVEN SEALS STAMPED GREAT SHEETS,,
11,2.6556,3.5697,15.2734,AW,01_02_03_04_05_06_07_08_,The STREETS are NARROW and FULL of SHARP TURNS,,5
,,,,,,STREETS NARROW FULL SHARP TURNS,,
12,2.8093,4.1656,12.9091,TA,01_02_03_04_05_06_07_08_,The barMAN turned in his OLD COINS,,5
,,,,,,BLIND MAN COUNTED OLD COINS,,
13,2.2146,4.3108,18.1423,AW,01_02_03_04_05_06_07_08_,The flood part takes up LESS SPACE,,5
,,,,,,FLAT PACK LESS LUGGAGE SPACE,,
14,2.1878,3.6897,14.4814,TA,01_02_03_04_05_06_07_08_,SHE SAW a CAT at the NEIGHBOR's HOUSE,,5
,,,,,,SHE SAW CAT NEIGHBOR HOUSE,,
15,1.9766,5.6455,14.8613,AW,01_02_03_04_05_06_07_08_,Cleaner is the PUNCH BOWL,,5
,,,,,,GREEN ICE FROSTED PUNCH BOWL,,
16,2.7105,4.3784,12.442,AW,01_02_03_04_05_06_07_08_,The logs on TOP were UNFIT to READ,,5
,,,,,,GLOSS TOP MADE UNFIT READ,,
17,2.7931,3.5229,16.5784,AW,01_02_03_04_05_06_07_08_,The STORE was JAMMED BEFORE the SALE could START,,5
,,,,,,STORE JAMMED BEFORE SALE START,,
18,2.151,2.5425,10.5766,TA,01_02_03_04_05_06_07_08_,The green APPLE FELL to the GROUND,,5
,,,,,,BIG RED APPLE FELL GROUND,,
19,2.089,3.3791,11.0429,TA,01_02_03_04_05_06_07_08_,SMALL CHILDREN need to SEE you,,5
,,,,,,SMALL CHILDREN CAME SEE HIM,,
20,2.2258,2.939,13.5226,AW,01_02_03_04_05_06_07_08_,TAKE the MATCH and STRIKE it AGAINST your shirt,,5
,,,,,,TAKE MATCH STRIKE AGAINST SHOE,,
21,2.7525,3.8034,16.003,AW,01_02_03_04_05_06_07_08_,The study drug is WORSE than a DRENCHING RAIN,,5
,,,,,,STEADY DRIP WORSE DRENCHING RAIN,,
22,2.6018,5.0621,23.2855,AW,01_02_03_04_05_06_07_08_,The sleeve NEEDS to be SHORTENED,,5
,,,,,,STITCH SERVE BUT NEEDS SHORTENED,,
23,2.7208,3.9868,12.8664,TA,01_02_03_04_05_06_07_08_,the CURTAIN raised and the SHOW WAS ON,,5
,,,,,,CURTAIN ROSE SHOW WAS ON,,
24,2.3051,3.184,11.4475,AW,01_02_03_04_05_06_07_08_,STOP and STARE at the HARD WORKING men,,5
,,,,,,STOP STARE HARD WORKING MAN,,
