Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,3.3284,5.3706,16.1764,TA,01_02_03_04_05_06_07_08_,we THINK in time and SOMETIMES ACT,,5
,,,,,,MEN THINK PLAN SOMETIMES ACT,,
2,2.4287,3.91,15.1405,TA,01_02_03_04_05_06_07_08_,the LAST SWITCH can be TURNED OFF,,5
,,,,,,LAST SWITCH CANNOT TURNED OFF,,
3,2.8078,3.688,15.5823,TA,01_02_03_04_05_06_07_08_,LET's all JOIN in the LAST verse,,5
,,,,,,LET JOIN SING LAST CHORUS,,
4,2.6398,4.8207,21.9087,TA,01_02_03_04_05_06_07_08_,the piece LEAGUE DISCUSSed their PLANS,,5
,,,,,,PEACE LEAGUE MET DISCUSS PLANS,,
5,2.4287,3.9513,11.8459,TA,01_02_03_04_05_06_07_08_,SLIDE the BOX in the EMPTY SPACE,,5
,,,,,,SLIDE BOX INTO EMPTY SPACE,,
6,2.2883,3.3265,16.2778,TA,01_02_03_04_05_06_07_08_,the fact was on in JUST SIX MINUTES,,5
,,,,,,FIGHT END JUST SIX MINUTES,,
7,2.2791,4.4517,13.3565,AW,01_02_03_04_05_06_07_08_,SHAPE the glue GENTLY into BLOCK FORM,,5
,,,,,,SHAPE CLAY GENTLY BLOCK FORM,,
8,2.2322,4.0866,13.3812,TA,01_02_03_04_05_06_07_08_,two times political degrees,,5
,,,,,,PINK CLOUDS FLOATED WITH BREEZE,,
9,2.4152,3.5497,14.2522,AW,01_02_03_04_05_06_07_08_,the OLD man was COVERED with hot FUDGE,,5
,,,,,,OLD PAN COVERED HARD FUDGE,,
10,2.2646,4.4365,25.4038,AW,01_02_03_04_05_06_07_08_,QUENCH your THIRST but read the papers,,5
,,,,,,QUENCH THIRST THEN EAT CRACKERS,,
11,2.8179,5.4031,23.1385,AW,01_02_03_04_05_06_07_08_,the barrier field is a of multi plots,,5
,,,,,,BARREL BEER BREW MALT HOPS,,
12,2.5709,7.042,19.2811,TA,01_02_03_04_05_06_07_08_,spare the right side as TIGHT as NEEDED,,5
,,,,,,SCREW ROUND CAP TIGHT NEEDED,,
13,2.6027,4.7531,17.6566,AW,01_02_03_04_05_06_07_08_,the jewel for EVERY CHILD is the SWAN BOAT,,5
,,,,,,JOY EVERY CHILD SWAN BOAT,,
14,2.8234,4.3172,14.0927,TA,01_02_03_04_05_06_07_08_,the RISE to FAME of a PERSON TAKES LUCK,,5
,,,,,,RISE FAME PERSON TAKES LUCK,,
15,2.2471,7.2892,16.1928,AW,01_02_03_04_05_06_07_08_,ALL sit FROZEN and watch the SCREEN,,5
,,,,,,ALL SAT FROZEN WATCHED SCREEN,,
16,2.9321,4.0858,23.3333,AW,01_02_03_04_05_06_07_08_,the RIDGE on a SMOOTH SURFACE is a backward flop,,5
,,,,,,RIDGE SMOOTH SURFACE BUMP FLAW,,
17,2.3237,4.6959,13.9513,AW,01_02_03_04_05_06_07_08_,the MUTE heard the HIGH TONES on the form,,5
,,,,,,MUTE MUFFLED HIGH TONES HORN,,
18,2.7656,4.1202,15.1117,TA,01_02_03_04_05_06_07_08_,she DANCED LIKE a SWAN TALL and GRACEFUL,,5
,,,,,,DANCED LIKE SWAN TALL GRACEFUL,,
19,2.3643,4.4025,15.6019,TA,01_02_03_04_05_06_07_08_,the QUICK FOX JUMPED over the SLEEPING CAT,,5
,,,,,,QUICK FOX JUMPED SLEEPING CAT,,
20,2.1423,4.1629,15.9536,AW,01_02_03_04_05_06_07_08_,WATCH the live flue of the RIVER,,5
,,,,,,WATCH LOG FLOAT WIDE RIVER,,
21,2.9396,5.6357,21.8281,AW,01_02_03_04_05_06_07_08_,the SHELVES were BARE but JAMmed with CRACKERS,,5
,,,,,,SHELVES BARE BOTH JAM CRACKERS,,
22,2.2259,3.0533,13.1569,AW,01_02_03_04_05_06_07_08_,to REACH the edge he NEEDS MUCH COURAGE,,5
,,,,,,REACH END NEEDS MUCH COURAGE,,
23,2.9201,4.2125,16.4201,TA,01_02_03_04_05_06_07_08_,the TUBE was tight on the flank and was USELESS,,5
,,,,,,TUBE BLOWN TIRE FLAT USELESS,,
24,2.5071,4.139,13.5385,AW,01_02_03_04_05_06_07_08_,the SHIRT is CLEAN but ONE BUTTON was GONE,,5
,,,,,,SHIRT CLEAN ONE BUTTON GONE,,
25,2.7775,5.9123,22.6877,TA,01_02_03_04_05_06_07_08_,the muzzle on the FIREarm was quite BRASS,,5
,,,,,,NOZZLE FIRE HOSE BRIGHT BRASS,,
26,2.2322,4.1438,15.1433,TA,01_02_03_04_05_06_07_08_,the new drug on the workman's HEAD,,5
,,,,,,BEAM DROPPED DOWN WORKMEN HEAD,,
27,1.9971,4.3357,14.7914,TA,01_02_03_04_05_06_07_08_,TIME BRINGS MANY CHANGES,,5
,,,,,,TIME BRINGS US MANY CHANGES,,
28,2.7317,4.2175,20.825,TA,01_02_03_04_05_06_07_08_,the stairwells were LINED with pillar flecks,,5
,,,,,,STORE WALLS LINED COLORED FROCKS,,
29,2.2297,3.8183,13.7619,AW,01_02_03_04_05_06_07_08_,HEDGE APPLES may STAIN your HANDS GREEN,,5
,,,,,,HEDGE APPLES STAIN HANDS GREEN,,
30,2.3711,3.9467,15.3304,AW,01_02_03_04_05_06_07_08_,the GOLD RING FITS only in a PIERCED EAR,,5
,,,,,,GOLD RING FITS PIERCED EAR,,
31,2.4175,4.2952,17.1988,AW,01_02_03_04_05_06_07_08_,TIN CANS are all STOREd on STORE SHELVES,,5
,,,,,,TIN CANS ABSENT STORE SHELVES,,
32,2.39,4.0497,12.7376,AW,01_02_03_04_05_06_07_08_,TIGHT CURLS get loose on RAINY DAYS,,5
,,,,,,TIGHT CURLS LIMP RAINY DAYS,,
33,2.0889,4.2222,12.8299,TA,01_02_03_04_05_06_07_08_,the PURPLE tile is 10 YEARS OLD,,5
,,,,,,PURPLE TIE TEN YEARS OLD,,
34,2.3291,4.2907,15.8103,AW,01_02_03_04_05_06_07_08_,the note on the stock was from David,,5
,,,,,,NODE STALK WHEAT GREW DAILY,,
35,2.4991,4.4103,21.0016,AW,01_02_03_04_05_06_07_08_,the plan of DUST something his TENDER EYES,,5
,,,,,,CLOUD DUST STUNG TENDER EYES,,
36,2.2883,3.7887,12.3242,TA,01_02_03_04_05_06_07_08_,it is LATE MORNING on the OLD WALL CLOCK,,5
,,,,,,LATE MORNING OLD WALL CLOCK,,
37,2.1449,6.9601,23.6003,AW,01_02_03_04_05_06_07_08_,read FAST if you WANT to FINISH EARLY,,5
,,,,,,WRITE FAST WANT FINISH EARLY,,
38,2.3866,4.0291,13.2539,TA,01_02_03_04_05_06_07_08_,the PLANT was LARGE and GREEN in the WINDOW,,5
,,,,,,PLANT GREW LARGE GREEN WINDOW,,
39,2.8234,7.5811,20.4367,TA,01_02_03_04_05_06_07_08_,severe stares arrive with MUCH CARE,,5
,,,,,,PAPER SCARCE WRITE MUCH CARE,,
40,2.3416,4.7569,14.7724,AW,01_02_03_04_05_06_07_08_,the HEAP of forms was SET on FIRE,,5
,,,,,,HEAP FALLEN LEAVES SET FIRE,,
