Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.3833,4.3541,10.2096,TA,02_03_05_08_,he WALKed around again,,5
,,,,,,MEN WHO WALK MIDDLE ROAD,,
2,2.8219,4.278,18.4214,TA,01_02_05_07_,the EMPTY FLASK STOOD on the cute TRAY,,5
,,,,,,EMPTY FLASK STOOD TIN TRAY,,
3,2.6653,5.3847,15.0323,TA,03_04_05_08_,i must see the first CLASS,,5
,,,,,,BRING BEST COMPASS THIRD CLASS,,
4,2.4944,4.2725,14.0241,TA,01_04_05_08_,check the ROPE and the rooms will be clean,,5
,,,,,,JERK ROPE BELL RINGS WEAKLY,,
5,1.7373,4.0032,12.563,TA,01_02_04_07_,more than ONCE we rue the day,,5
,,,,,,WRITE ONCE MAY FORGET IT,,
6,2.2309,7.5103,16.774,AW,01_04_06_08_,wee folks are now for PLEASURE,,5
,,,,,,READ VERSE OUT LOUD PLEASURE,,
7,1.982,4.2116,11.1954,TA,01_02_04_05_,her good crew had a curve,,5
,,,,,,PURE BRED POODLES HAVE CURLS,,
8,2.3525,3.8558,13.2224,AW,02_04_05_06_,she ORDERED PEACH PIE with ICE CREAM,,5
,,,,,,ORDERED PEACH PIE ICE CREAM,,
9,2.1937,3.5281,11.5839,TA,01_02_03_07_,he JUST made the RIGHT unit,,5
,,,,,,JUST CLAIM GOT RIGHT VERDICT,,
10,2.338,5.0855,20.5411,AW,01_02_04_08_,who know what study will clue us,,5
,,,,,,FOUR HOURS STEADY WORK FACED,,
11,2.6484,4.7484,18.348,TA,01_02_05_08_,the speed of lite will see this cardboard,,5
,,,,,,SPEEDY MAN BEAT TRACK MARK,,
12,2.5416,6.1804,16.469,TA,02_03_05_06_,have a right count to the left bank,,5
,,,,,,ADD STORE ACCOUNT LAST CENT,,
13,1.9007,3.5818,12.3095,TA,02_05_06_08_,we want to boy's study,,5
,,,,,,WHERE THEY WHEN NOISE STARTED,,
14,2.3106,5.0655,14.2262,TA,02_03_04_07_,the mai tai uses WATER,,5
,,,,,,MAKE PURE ICE FREEZE WATER,,
15,2.7817,4.6394,14.7281,AW,02_06_07_08_,the sea have a way of MAKING moves,,5
,,,,,,SAW TOOL USED MAKING BOARDS,,
16,2.6253,5.5197,14.1912,TA,01_02_04_06_,the precap wave made a whole ride,,5
,,,,,,TREE TOP WAVED GRACEFUL WAY,,
17,2.2785,3.7122,32.9756,AW,03_04_06_08_,the TINY GIRL TOOK OFF her HAT,,5
,,,,,,TINY GIRL TOOK OFF HAT,,
18,2.4439,5.5819,12.2537,TA,01_02_03_08_,the diesel always,,5
,,,,,,THESE THISTLES BEND HIGH WIND,,
19,2.2716,6.41,19.7695,AW,01_06_07_08_,make the BEFORE you get in,,5
,,,,,,MEND COAT BEFORE GO OUT,,
20,2.4824,6.1791,12.4598,TA,01_02_03_06_,in the hay,,5
,,,,,,SALT PICKLE TASTES FINE HAM,,
21,3.0445,5.0137,15.3445,AW,01_02_03_04_,her first clue was on the even land,,5
,,,,,,BIRCH CANOE SLID SMOOTH PLANKS,,
22,2.6969,4.5259,13.0616,AW,02_04_05_07_,the road to high takes many turns,,5
,,,,,,ROPE BIND SEVEN BOOKS ONCE,,
23,2.4398,4.5424,11.9581,AW,01_04_05_07_,the turn makes him not here,,5
,,,,,,TERM ENDED LATE JUNE YEAR,,
24,2.4609,3.9836,12.7752,AW,01_03_04_05_,the brown curl was AROUND her face,,5
,,,,,,GRASS CURLED AROUND FENCE POST,,
25,2.8178,5.951,10.1999,AW,02_03_04_05_,.......................................,,5
,,,,,,WRIST BADLY STRAINED HUNG LIMP,,
26,2.9077,5.3083,16.5239,AW,01_03_06_07_,test the thing by the BUTTON on the left,,5
,,,,,,PRESS PANTS SEW BUTTON VEST,,
27,2.6665,7.8142,16.7338,TA,01_04_05_06_,get ready to make the toy work,,5
,,,,,,WOOD BEST MAKING TOYS BLOCKS,,
28,1.7564,3.6638,10.2395,TA,01_02_03_08_,all the rows are a puddle,,5
,,,,,,LIVE WIRES SHOULD KEPT COVERED,,
29,2.7884,5.0042,17.0838,AW,01_02_04_07_,the in the GARBAGE,,5
,,,,,,HOGS FED CHOPPED CORN GARBAGE,,
30,2.5872,4.6713,12.4959,TA,01_02_06_08_,the machine is getting a landslide,,5
,,,,,,LAMP SHONE STEADY GREEN FLAME,,
31,2.5749,3.8717,14.5754,TA,01_03_04_07_,he TRIED to REPLACE the COIN BUT FAILED,,5
,,,,,,TRIED REPLACE COIN BUT FAILED,,
32,2.6484,4.3272,16.4388,TA,01_02_07_08_,he needs to wear suits and shoes as well,,5
,,,,,,URGE WRITE SHORT STORIES RARE,,
33,2.55,4.4344,12.1541,AW,02_03_06_07_,he was coming HOME the 3rd WEEK,,5
,,,,,,SICKNESS KEPT HOME THIRD WEEK,,
34,2.9249,4.8808,19.5432,TA,01_02_04_07_,the SPOT on the BLOTTER was MADE by GREEN gook,,5
,,,,,,SPOT BLOTTER MADE GREEN INK,,
35,2.6573,5.8572,17.1123,AW,01_02_03_07_,something CHICKEN is a real neat DISH,,5
,,,,,,DAYS CHICKEN LEG RARE DISH,,
36,2.3686,4.7544,13.7391,AW,04_06_07_08_,the dew rises FROM the new WATER,,5
,,,,,,DUNE ROSE FROM EDGE WATER,,
37,2.1672,5.1448,13.9605,TA,02_04_05_08_,a con artist sandwiches,,5
,,,,,,THERE FLOOD MARK TEN INCHES,,
38,1.5228,4.561,11.0728,TA,01_02_03_07_,DO all of them STICK?,,5
,,,,,,DO THAT WITH WOODEN STICK,,
39,2.4434,4.2129,12.3315,TA,02_03_06_07_,he vows to let it go to WASTE,,5
,,,,,,EIGHT MILES WOODLAND BURNED WASTE,,
40,2.4945,6.1153,17.6749,TA,01_02_05_08_,cool if the BUCKET,,5
,,,,,,COAX YOUNG CALF DRINK BUCKET,,
41,2.4593,4.3669,18.1254,AW,01_03_05_06_,the GIRL at the BOOTH made 50 feet,,5
,,,,,,GIRL BOOTH SOLD FIFTY BONDS,,
42,2.7565,3.9997,15.0794,AW,01_02_03_04_,a rock flew AROUND the corner into the wall,,5
,,,,,,YACHT SLID AROUND POINT BAY,,
43,2.5851,4.3003,12.508,AW,01_03_06_08_,the thing is short and then complete,,5
,,,,,,FIN SHARP CUT CLEAR WATER,,
44,2.3468,4.0785,17.7501,AW,02_04_05_08_,HOP on the and hang on there,,5
,,,,,,HOP OVER FENCE PLUNGE IN,,
45,2.5535,4.2578,14.5695,AW,03_05_07_08_,the CLOCK STRUCK the end of the PERIOD,,5
,,,,,,CLOCK STRUCK MARK THIRD PERIOD,,
46,2.8474,6.0205,11.7484,TA,01_06_07_08_,the machine reaches it,,5
,,,,,,RUSH FUNDS REACHED PEAK TUESDAY,,
47,2.3157,5.2393,12.944,TA,03_04_06_07_,it will let you know the sound,,5
,,,,,,COULD LAUGH ALTHOUGH WERE SAD,,
48,2.1883,4.208,15.5837,TA,02_03_04_08_,the front door is around the corner,,5
,,,,,,FELT GAY SHIP ARRIVED PORT,,
49,2.3584,7.3634,14.1393,TA,02_04_05_06_,at the color of the year,,5
,,,,,,ADD COLUMN PUT SUM HERE,,
50,2.1999,4.5915,17.959,AW,02_04_06_07_,the holly bear LEFT the DRUG STORE,,5
,,,,,,FRIENDLY GANG LEFT DRUG STORE,,
51,2.425,6.7182,15.4858,TA,02_05_06_07_,fans reach the age to be FIREd,,5
,,,,,,CORN COBS USED KINDLE FIRE,,
52,2.2672,3.9225,16.5061,AW,01_02_06_07_,THERE are MORE than TWO fifties view,,5
,,,,,,THERE MORE TWO FACTORS HERE,,
53,2.5327,4.5348,13.7265,AW,02_03_07_08_,the less is with your boss,,5
,,,,,,LAZY COW LAY COOL GRASS,,
54,2.3449,3.4919,9.8997,AW,04_06_07_08_,we found the next BAD TURN,,5
,,,,,,FROWN EVENTS TAKE BAD TURN,,
55,2.2,3.8088,11.5285,TA,01_05_06_07_,the trainer hits the cd,,5
,,,,,,CHILD ALMOST HURT SMALL DOG,,
56,2.2007,3.8262,17.3459,TA,04_05_07_08_,the tough time HAD a leaky spout,,5
,,,,,,JUNK YARD HAD MOLDY SMELL,,
57,1.7234,3.5185,12.4703,AW,01_04_06_07_,you plan on SET an ORDER,,5
,,,,,,TEN PINS SET IN ORDER,,
58,2.0435,4.7239,10.9146,AW,01_02_07_08_,something leads to defeat,,5
,,,,,,HELP WOMAN GET BACK FEET,,
59,3.0834,4.8742,15.5849,AW,01_02_05_07_,the lady occurred to the TASK FORCE,,5
,,,,,,NAVY ATTACKED BIG TASK FORCE,,
60,2.4275,3.9603,12.2559,AW,01_03_05_06_,he may prove a hard winner,,5
,,,,,,LAY PRONE HARDLY MOVED LIMB,,
61,2.6058,4.4538,23.3095,AW,01_02_05_06_,the front pew was constantly viewed,,5
,,,,,,FRUIT PEEL CUT THICK SLICES,,
62,2.5962,5.7274,15.2711,AW,02_04_07_08_,the something PASSED THROUGH the COAT,,5
,,,,,,FROSTY AIR PASSED THROUGH COAT,,
63,2.4369,5.5351,15.9187,AW,01_04_07_08_,look distraught and ALSO achieved,,5
,,,,,,OAK STRONG ALSO GIVES SHADE,,
64,2.3743,4.542,15.5656,AW,01_02_06_08_,the headband is WIDE and .....,,5
,,,,,,HAT BRIM WIDE TOO DROOPY,,
65,2.3234,3.7895,12.7482,AW,03_05_06_08_,he RAN HALFWAY to the HARDWARE STORE,,5
,,,,,,RAN HALF WAY HARDWARE STORE,,
66,2.3725,4.1776,12.5934,AW,01_02_03_05_,the barber went to the fair,,5
,,,,,,TWO MET WHILE PLAYING SAND,,
67,2.6771,4.8251,13.8097,TA,02_03_05_07_,nothing brings HOLES to a CLOTH,,5
,,,,,,ACID BURNS HOLES WOOL CLOTH,,
68,2.138,6.4935,12.3411,TA,01_03_07_08_,..........to be happy,,4
,,,,,,MAP HAD MEANT NOTHING,,
69,2.8811,4.5454,16.7371,AW,03_04_05_07_,he found a tiny tot in a wrecked truck,,5
,,,,,,CAUGHT HIND PAW RUSTY TRAP,,
70,2.6696,8.6411,14.6168,AW,03_04_06_08_,recent store,,5
,,,,,,BOTH LOST LIVES RAGING STORM,,
71,2.413,3.5826,18.3982,AW,03_04_05_08_,a wolf COULD be SEEN on the further SHORE,,5
,,,,,,WHARF COULD SEEN FARTHER SHORE,,
72,2.4539,6.9749,16.5424,AW,03_04_05_07_,russian SOLDIERS crossed the NEXT town,,5
,,,,,,MARCH SOLDIERS PAST NEXT HILL,,
73,2.7,4.0648,14.3685,AW,01_02_05_08_,SEE the something of the SCARED MOUSE,,5
,,,,,,SEE CAT GLARING SCARED MOUSE,,
74,2.8523,4.1881,12.4357,AW,01_02_03_06_,the INK had DRIED on the FINISHED PAGE,,5
,,,,,,INK STAIN DRIED FINISHED PAGE,,
75,2.8065,4.4341,21.5056,TA,02_04_06_08_,ten claws for FULL FLAVOR,,5
,,,,,,CANNED PEARS LACK FULL FLAVOR,,
76,2.2652,9.1342,19.0457,AW,03_05_07_08_,TWO LESS SEVEN is LESS than TEN,,5
,,,,,,TWO PLUS SEVEN LESS TEN,,
77,2.4273,3.9823,15.8309,TA,01_05_06_07_,the plan is to do it as SOON as we get there,,5
,,,,,,PLAY BEGAN SOON SAT DOWN,,
78,2.4335,5.321,8.7448,TA,01_03_04_05_,..........or more,,5
,,,,,,ANCIENT COIN QUITE DULL WORN,,
79,2.5112,5.3366,11.5844,TA,01_02_03_05_,............the final four,,5
,,,,,,GUESS RESULTS FROM FIRST SCORES,,
80,2.5239,3.9915,12.0072,AW,01_02_03_08_,he signed on to six tv's,,5
,,,,,,LEASE RAN OUT SIXTEEN WEEKS,,
