Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,1.9665,3.5536,20.6489,TA,01_02_03_04_05_06_07_08_,When you hear the bell come quickly,7,7
,,,,,,When you hear the bell come quickly,,
2,2.5566,4.7015,18.1657,TA,01_02_03_04_05_06_07_08_,We need to do it right on time,2,8
,,,,,,Leave now and you will arrive on time,,
3,2.3322,7.1633,22.2508,TA,01_02_03_04_05_06_07_08_,see the boy s nearly,2,8
,,,,,,He sent the boy on a short errand,,
4,2.2571,4.2168,12.961,TA,01_02_03_04_05_06_07_08_,The lawyer was good to hear,1,7
,,,,,,The long journey home took a year,,
5,2.1579,5.4408,10.449,TA,01_02_03_04_05_06_07_08_,open to the first page,5,7
,,,,,,Open your book to the first page,,
6,2.0875,3.9421,19.8777,TA,01_02_03_04_05_06_07_08_,the corner store was broadcasting,4,7
,,,,,,The corner store was robbed last night,,
7,2.3609,4.0364,13.412,AW,01_02_03_04_05_06_07_08_,The fifth book fits in the side pocket,6,8
,,,,,,A thin book fits in the side pocket,,
8,1.9937,2.7886,11.0684,TA,01_02_03_04_05_06_07_08_,Will you please answer that phone,6,6
,,,,,,Will you please answer that phone,,
9,2.3592,3.3277,14.9434,AW,01_02_03_04_05_06_07_08_,One step more and the board will collapse,8,8
,,,,,,One step more and the board will collapse,,
10,2.5901,4.0029,17.8906,AW,01_02_03_04_05_06_07_08_,Seven seals were stamped on gray sheets,6,7
,,,,,,Seven seals were stamped on great sheets,,
11,2.6556,3.5697,15.2734,AW,01_02_03_04_05_06_07_08_,The streets are narrow and full of sharp turns,9,9
,,,,,,The streets are narrow and full of sharp turns,,
12,2.8093,4.1656,12.9091,TA,01_02_03_04_05_06_07_08_,The barman turned in his old coins,4,7
,,,,,,The blind man counted his old coins,,
13,2.2146,4.3108,18.1423,AW,01_02_03_04_05_06_07_08_,The flood part takes up less space,3,7
,,,,,,A flat pack takes less luggage space,,
14,2.1878,3.6897,14.4814,TA,01_02_03_04_05_06_07_08_,She saw a cat at the neighbor's house,8,8
,,,,,,She saw a cat in the neighbor's house,,
15,1.9766,5.6455,14.8613,AW,01_02_03_04_05_06_07_08_,Cleaner is the punch bowl,3,6
,,,,,,Green ice frosted the punch bowl,,
16,2.7105,4.3784,12.442,AW,01_02_03_04_05_06_07_08_,The logs on top were unfit to read,6,9
,,,,,,The gloss on top made it unfit to read,,
17,2.7931,3.5229,16.5784,AW,01_02_03_04_05_06_07_08_,The store was jammed before the sale could start,9,9
,,,,,,The store was jammed before the sale could start,,
18,2.151,2.5425,10.5766,TA,01_02_03_04_05_06_07_08_,The green apple fell to the ground,6,8
,,,,,,The big red apple fell to the ground,,
19,2.089,3.3791,11.0429,TA,01_02_03_04_05_06_07_08_,Small children need to see you,4,6
,,,,,,Small children came to see him,,
20,2.2258,2.939,13.5226,AW,01_02_03_04_05_06_07_08_,Take the match and strike it against your shirt,8,9
,,,,,,Take the match and strike it against your shoe,,
21,2.7525,3.8034,16.003,AW,01_02_03_04_05_06_07_08_,The study drug is worse than a drenching rain,8,9
,,,,,,The steady drip is worse than a drenching rain,,
22,2.6018,5.0621,23.2855,AW,01_02_03_04_05_06_07_08_,The sleeve needs to be shortened,5,9
,,,,,,The stitch will serve but needs to be shortened,,
23,2.7208,3.9868,12.8664,TA,01_02_03_04_05_06_07_08_,the curtain raised and the show was on,8,8
,,,,,,The curtain rose and the show was on,,
24,2.3051,3.184,11.4475,AW,01_02_03_04_05_06_07_08_,stop and stare at the hard working men,8,8
,,,,,,Stop and stare at the hard working man,,
25,2.7613,3.6241,13.4797,TA,01_02_03_04_05_06_07_08_,the grass and bushes were wet with dew,8,8
,,,,,,The grass and bushes were wet with dew,,
26,2.2805,4.2142,18.0297,TA,01_02_03_04_05_06_07_08_,hit the pile once and let it settle,6,8
,,,,,,Dip the pail once and let it settle,,
27,2.9054,3.9461,15.3618,TA,01_02_03_04_05_06_07_08_,this is your store put in the barn,2,7
,,,,,,A severe storm tore down the barn,,
28,2.5231,6.235,18.0746,TA,01_02_03_04_05_06_07_08_,missed it......was laughing,0,8
,,,,,,A gold ring will please most any girl,,
29,2.6564,5.7924,21.2479,AW,01_02_03_04_05_06_07_08_,the hair growled on the back of the house,3,8
,,,,,,The hail pattered on the burnt brown grass,,
30,2.713,3.8263,15.1859,AW,01_02_03_04_05_06_07_08_,There was a bad error on the part of the new judge,11,12
,,,,,,It was a bad error on the part of the new judge,,
31,2.8561,4.7929,16.4085,AW,01_02_03_04_05_06_07_08_,the pup you see is out of shape,3,11
,,,,,,The pup jerked the leash as he saw a feline shape,,
32,2.4569,4.6561,10.9997,AW,01_02_03_04_05_06_07_08_,the time is here to strike a pose,2,8
,,,,,,Our troops are set to strike heavy blows,,
33,2.089,3.1193,9.5269,TA,01_02_03_04_05_06_07_08_,she called his name many times,6,6
,,,,,,She called his name many times,,
34,2.8981,5.5545,27.09,AW,01_02_03_04_05_06_07_08_,the pot boiled but the contents failed to gell,9,9
,,,,,,The pot boiled but the contents failed to jell,,
35,2.0744,3.2249,15.7204,AW,01_02_03_04_05_06_07_08_,the stuffed chairs looked in the mini van,4,8
,,,,,,A stuffed chair slipped from the moving van,,
36,2.8153,5.3459,11.0575,TA,01_02_03_04_05_06_07_08_,something heir to the throne,4,8
,,,,,,The young prince became heir to the throne,,
37,2.6611,4.4832,15.0587,AW,01_02_03_04_05_06_07_08_,the bombs left the rest of the town in ruins,8,9
,,,,,,The bombs left most of the town in ruins,,
38,2.2751,6.4099,14.3855,TA,01_02_03_04_05_06_07_08_,this is the neck two off,2,7
,,,,,,Fish evade the net and swim off,,
39,2.8814,4.2202,14.9558,TA,01_02_03_04_05_06_07_08_,the big shell was found on the sandy beach,7,9
,,,,,,A pink shell was found on the sandy beach,,
40,2.35,3.367,13.2867,AW,01_02_03_04_05_06_07_08_,the baby puts his right foot in his mouth,9,9
,,,,,,The baby puts his right foot in his mouth,,
