Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.3833,0,10.6354,TA,02_06_08_09_,,,5
,,,,,,MEN WHO WALK MIDDLE ROAD,,
2,2.4626,0,13.8001,AW,01_03_05_09_,,,5
,,,,,,EMPTY FLASK STOOD TIN TRAY,,
3,2.6653,6.7629,18.6584,TA,01_03_08_09_,sticky      CLASS,,5
,,,,,,BRING BEST COMPASS THIRD CLASS,,
4,2.4944,11.2312,18.6229,TA,02_04_06_07_,road,,5
,,,,,,JERK ROPE BELL RINGS WEAKLY,,
5,1.7373,6.5898,21.3733,TA,01_07_08_09_,means      FORGETting,,5
,,,,,,WRITE ONCE MAY FORGET IT,,
6,2.2309,10.5162,18.1156,AW,01_03_05_09_,he        for PLEASURE,,5
,,,,,,READ VERSE OUT LOUD PLEASURE,,
7,2.0152,0,10.478,AW,03_05_07_08_,,,5
,,,,,,PURE BRED POODLES HAVE CURLS,,
8,2.3525,4.723,17.6105,AW,04_05_07_09_,he ORDERED PEACH PIE with ICE CREAM,,5
,,,,,,ORDERED PEACH PIE ICE CREAM,,
9,2.1886,12.7594,17.735,AW,01_02_07_09_,bullet,,5
,,,,,,JUST CLAIM GOT RIGHT VERDICT,,
10,2.338,8.1323,14.7959,AW,01_02_04_07_,fitting room,,5
,,,,,,FOUR HOURS STEADY WORK FACED,,
11,2.4626,9.7604,16.3679,AW,01_02_03_07_,If,,5
,,,,,,SPEEDY MAN BEAT TRACK MARK,,
12,2.5416,10.8379,21.3735,TA,01_02_06_09_,STOREs ACCOUNT to the LAST CENT,,5
,,,,,,ADD STORE ACCOUNT LAST CENT,,
13,1.9007,10.2682,15.1559,TA,01_03_06_07_,were THEY,,5
,,,,,,WHERE THEY WHEN NOISE STARTED,,
14,2.3106,0,14.046,TA,02_05_07_09_,,,5
,,,,,,MAKE PURE ICE FREEZE WATER,,
15,2.7817,10.6519,18.2274,AW,01_06_08_09_,the series,,5
,,,,,,SAW TOOL USED MAKING BOARDS,,
16,2.3827,12.9078,20.844,AW,03_07_08_09_,he cant,,5
,,,,,,TREE TOP WAVED GRACEFUL WAY,,
17,2.2785,7.8442,18.5639,AW,02_06_07_09_,Her training,,5
,,,,,,TINY GIRL TOOK OFF HAT,,
18,2.4364,10.2949,20.1424,AW,01_04_05_08_,he was no longer  ?,,5
,,,,,,THESE THISTLES BEND HIGH WIND,,
19,2.2716,9.3033,16.055,AW,01_03_07_09_,BEFORE,,5
,,,,,,MEND COAT BEFORE GO OUT,,
20,2.4984,10.1464,14.2741,AW,02_04_05_09_,the soft,,5
,,,,,,SALT PICKLE TASTES FINE HAM,,
21,2.1941,6.7742,18.5497,TA,01_02_05_09_,work FAST if you WANT to FINISH EARLY,,5
,,,,,,WRITE FAST WANT FINISH EARLY,,
22,2.6969,12.3868,16.4909,AW,01_05_06_07_,fit in,,5
,,,,,,ROPE BIND SEVEN BOOKS ONCE,,
23,2.4398,9.0264,12.5624,AW,03_04_06_08_,your turn,,5
,,,,,,TERM ENDED LATE JUNE YEAR,,
24,2.9637,0,14.0187,TA,01_03_07_09_,,,5
,,,,,,BARREL BEER BREW MALT HOPS,,
25,2.8178,7.5436,25.0788,AW,01_03_08_09_,the WRIST was BADLY sprained and HUNG LIMP,,5
,,,,,,WRIST BADLY STRAINED HUNG LIMP,,
26,2.9077,8.9277,17.8472,AW,01_03_04_06_,park the car        on the left,,5
,,,,,,PRESS PANTS SEW BUTTON VEST,,
27,2.6665,0,12.8824,TA,01_02_03_07_,,,5
,,,,,,WOOD BEST MAKING TOYS BLOCKS,,
28,1.7564,0,11.3513,TA,01_06_07_08_,,,5
,,,,,,LIVE WIRES SHOULD KEPT COVERED,,
29,2.7884,8.8496,22.6721,AW,01_02_04_06_,her                               brother,,5
,,,,,,HOGS FED CHOPPED CORN GARBAGE,,
30,2.5872,0,12.3298,TA,02_03_05_06_,,,5
,,,,,,LAMP SHONE STEADY GREEN FLAME,,
31,2.6627,8.3582,22.7421,AW,01_02_05_06_,we TRIED for a ? BUT FAILED,,5
,,,,,,TRIED REPLACE COIN BUT FAILED,,
32,2.6332,0,13.1293,AW,03_04_05_07_,,,5
,,,,,,URGE WRITE SHORT STORIES RARE,,
33,2.55,7.9075,14.2032,AW,01_04_06_09_,the THIRD WEEK,,5
,,,,,,SICKNESS KEPT HOME THIRD WEEK,,
34,2.7899,11.6014,30.8966,AW,01_04_06_09_,the SPOTs of the ? were MADE by  ?,,5
,,,,,,SPOT BLOTTER MADE GREEN INK,,
35,2.3643,7.7704,13.7946,TA,01_02_04_06_,the good,,5
,,,,,,QUICK FOX JUMPED SLEEPING CAT,,
36,2.3686,9.6795,14.567,AW,02_03_07_08_,the room,,5
,,,,,,DUNE ROSE FROM EDGE WATER,,
37,2.1672,0,11.8002,TA,01_03_04_09_,,,5
,,,,,,THERE FLOOD MARK TEN INCHES,,
38,1.5228,12.4883,22.4798,TA,01_05_08_09_,WITH a little,,5
,,,,,,DO THAT WITH WOODEN STICK,,
39,2.4434,10.6557,17.7833,TA,01_02_08_09_,means      WASTE,,5
,,,,,,EIGHT MILES WOODLAND BURNED WASTE,,
40,2.4945,9.7897,13.5347,TA,02_03_04_08_,from,,5
,,,,,,COAX YOUNG CALF DRINK BUCKET,,
41,2.4593,8.6857,23.3341,AW,01_02_07_09_,the day she,,5
,,,,,,GIRL BOOTH SOLD FIFTY BONDS,,
42,2.7565,10.8738,17.346,AW,02_03_08_09_,swing by,,5
,,,,,,YACHT SLID AROUND POINT BAY,,
43,2.5851,8.3939,18.3534,AW,03_04_05_08_,was SHARP             WATER,,5
