Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,1.9665,4.7057,28.2318,TA,01_02_03_04_05_06_07_08_09_,when you  hear the bell come quickly,,7
,,,,,,When you hear the bell come quickly,,
2,2.5566,13.3258,31.3338,TA,01_02_03_04_05_06_07_08_09_,have a turn,,8
,,,,,,Leave now and you will arrive on time,,
3,2.3322,12.7103,16.7024,TA,01_02_03_04_05_06_07_08_09_,short,,8
,,,,,,He sent the boy on a short errand,,
4,2.2571,7.4738,29.4568,TA,01_02_03_04_05_06_07_08_09_,a long journey home took a year,,7
,,,,,,The long journey home took a year,,
5,2.1579,4.0396,16.7512,TA,01_02_03_04_05_06_07_08_09_,open your book to the first page,,7
,,,,,,Open your book to the first page,,
6,2.0875,13.4265,18.634,TA,01_02_03_04_05_06_07_08_09_,corner store,,7
,,,,,,The corner store was robbed last night,,
7,2.3609,13.2217,26.9091,AW,01_02_03_04_05_06_07_08_09_,the green book fits in the side pocket,,8
,,,,,,A thin book fits in the side pocket,,
8,1.9937,4.607,15.1667,TA,01_02_03_04_05_06_07_08_09_,will you please answer that phone,,6
,,,,,,Will you please answer that phone,,
9,2.3592,4.6951,26.2707,AW,01_02_03_04_05_06_07_08_09_,one step more and the board will collaspe,,8
,,,,,,One step more and the board will collapse,,
10,2.5901,8.2069,21.5425,AW,01_02_03_04_05_06_07_08_09_,seven seals were stamped on grade sheets,,7
,,,,,,Seven seals were stamped on great sheets,,
11,2.6556,6.2044,19.2997,AW,01_02_03_04_05_06_07_08_09_,the streets are narrow and full of sharp turns,,9
,,,,,,The streets are narrow and full of sharp turns,,
12,2.8093,12.061,22.2211,TA,01_02_03_04_05_06_07_08_09_,the     man counted his coins,,7
,,,,,,The blind man counted his old coins,,
13,2.2146,11.3075,21.0109,AW,01_02_03_04_05_06_07_08_09_,takes less luggage space,,7
,,,,,,A flat pack takes less luggage space,,
14,2.1878,5.4639,17.3122,TA,01_02_03_04_05_06_07_08_09_,she saw a cat in the neighbors house,,8
,,,,,,She saw a cat in the neighbor's house,,
15,1.9766,7.0839,18.8112,AW,01_02_03_04_05_06_07_08_09_,green ice frosted the punch bowl,,6
,,,,,,Green ice frosted the punch bowl,,
16,2.7105,9.9999,28.2478,AW,01_02_03_04_05_06_07_08_09_,the glass on top needed    read,,9
,,,,,,The gloss on top made it unfit to read,,
17,2.7931,5.2533,19.4449,AW,01_02_03_04_05_06_07_08_09_,the store was jammed before the sale could start,,9
,,,,,,The store was jammed before the sale could start,,
18,2.151,4.637,15.1805,TA,01_02_03_04_05_06_07_08_09_,the big red apple fell to the ground,,8
,,,,,,The big red apple fell to the ground,,
19,2.089,10.2226,24.4861,TA,01_02_03_04_05_06_07_08_09_,small children can deceive,,6
,,,,,,Small children came to see him,,
20,2.2258,4.7959,16.9792,AW,01_02_03_04_05_06_07_08_09_,take the match and strike it against your shoe,,9
,,,,,,Take the match and strike it against your shoe,,
21,2.7525,10.5853,27.6411,AW,01_02_03_04_05_06_07_08_09_,this steady mist is worse than a drenching rain,,9
,,,,,,The steady drip is worse than a drenching rain,,
22,2.6018,14.4616,23.637,AW,01_02_03_04_05_06_07_08_09_,skirt needs to be shortened,,9
,,,,,,The stitch will serve but needs to be shortened,,
23,2.7208,8.1418,18.6213,TA,01_02_03_04_05_06_07_08_09_,the curtain rose and the show was on,,8
,,,,,,The curtain rose and the show was on,,
24,2.3051,6.9094,16.8601,AW,01_02_03_04_05_06_07_08_09_,stop and stare at the hard working man,,8
,,,,,,Stop and stare at the hard working man,,
25,2.7613,5.2928,18.0123,TA,01_02_03_04_05_06_07_08_09_,the grass and bushes were wet with dew,,8
,,,,,,The grass and bushes were wet with dew,,
26,2.2805,12.5206,28.1524,TA,01_02_03_04_05_06_07_08_09_,pail once andlet,,8
,,,,,,Dip the pail once and let it settle,,
27,2.9054,16.4126,24.2282,TA,01_02_03_04_05_06_07_08_09_,in the back,,7
,,,,,,A severe storm tore down the barn,,
28,2.5231,7.2683,20.3959,TA,01_02_03_04_05_06_07_08_09_,the gold ring,,8
,,,,,,A gold ring will please most any girl,,
29,2.6564,14.4968,34.6323,AW,01_02_03_04_05_06_07_08_09_,burnt brown grass,,8
,,,,,,The hail pattered on the burnt brown grass,,
30,2.713,5.3942,19.2337,AW,01_02_03_04_05_06_07_08_09_,It was a bad error on the part of the new judge,,12
,,,,,,It was a bad error on the part of the new judge,,
31,2.8561,7.9058,34.3855,AW,01_02_03_04_05_06_07_08_09_,the pup jerked the lease when she saw   sheep?,,11
,,,,,,The pup jerked the leash as he saw a feline shape,,
32,2.4569,10.5985,18.2707,AW,01_02_03_04_05_06_07_08_09_,heavy blows,,8
,,,,,,Our troops are set to strike heavy blows,,
33,2.089,4.3874,14.954,TA,01_02_03_04_05_06_07_08_09_,she called his name many times,,6
,,,,,,She called his name many times,,
34,2.8981,6.6162,21.7039,AW,01_02_03_04_05_06_07_08_09_,the pot boiled but the contents failed to jell,,9
,,,,,,The pot boiled but the contents failed to jell,,
35,2.0744,13.2275,18.107,AW,01_02_03_04_05_06_07_08_09_,?,,8
,,,,,,A stuffed chair slipped from the moving van,,
36,2.8153,12.9759,25.4555,TA,01_02_03_04_05_06_07_08_09_,cuts    bare to the,,8
,,,,,,The young prince became heir to the throne,,
37,2.6611,9.9034,27.3827,AW,01_02_03_04_05_06_07_08_09_,the  ?  left most of the town in ruins,,9
,,,,,,The bombs left most of the town in ruins,,
38,2.2751,9.6026,22.6342,TA,01_02_03_04_05_06_07_08_09_,She should read  ?,,7
,,,,,,Fish evade the net and swim off,,
39,2.8814,8.3128,19.7128,TA,01_02_03_04_05_06_07_08_09_,the pink shoes,,9
,,,,,,A pink shell was found on the sandy beach,,
40,2.35,5.3627,18.0748,AW,01_02_03_04_05_06_07_08_09_,the baby puts his right foot in his mouth,,9
,,,,,,The baby puts his right foot in his mouth,,
