Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.5615,7.3667,14.9902,TA,03_04_06_08_,than others,,7
,,,,,,These pills do less good than others,,
2,2.2755,9.2742,18.0339,AW,03_06_07_09_,into the ? fence,,7
,,,,,,The bog crawled under the high fence,,
3,2.6119,7.656,21.3996,AW,06_07_08_09_,back of the wheelchair,,10
,,,,,,The jacket hung on the back of the wide chair,,
4,2.4047,7.8683,18.4998,AW,02_03_05_09_,the       cut across the field,,7
,,,,,,A small creek cut across the field,,
5,2.6818,6.503,12.5027,TA,04_06_07_09_,rainy days,,7
,,,,,,Tight curls get limp on rainy days,,
6,2.5216,7.238,13.4775,TA,02_05_06_07_,wide river,,8
,,,,,,Watch the log float in the wide river,,
7,3.0733,0,14.8495,AW,01_03_05_08_,,,8
,,,,,,It snowed rained and hailed the same morning,,
8,2.1005,0,10.978,TA,02_06_07_08_,,,8
,,,,,,Jump the fence and hurry up the bank,,
9,2.4283,12.7292,23.5769,TA,04_05_06_07_,carrot,,7
,,,,,,The red tape bound the smuggled food,,
10,2.4732,7.9225,17.4827,TA,01_02_04_09_,there was a ,,8
,,,,,,There was a sound of dry leaves outside,,
11,2.2346,7.6114,16.2593,AW,03_05_06_08_,the     began to,,7
,,,,,,The pipe began to rust while new,,
12,2.7656,7.3801,12.3164,TA,05_06_07_09_,she danced,,8
,,,,,,She danced like a swan tall and graceful,,
13,2.8842,13.2147,24.2701,AW,03_05_08_09_,the        cheese         with age,,8
,,,,,,The ripe taste of cheese improves with age,,
14,2.3858,6.6256,18.473,AW,03_05_07_09_,brought friends to,,6
,,,,,,Thieves who rob friends deserve jail,,
15,2.4905,10.2104,23.6102,TA,01_03_05_08_,the fruit of a fig tree,,9
,,,,,,The fruit of a fig tree is apple-shaped,,
16,2.0973,8.9906,16.0705,TA,01_03_07_08_,the     came before,,7
,,,,,,The tongs lay beside the ice pail,,
17,2.6918,0,7.1041,AW,01_02_03_05_,,,8
,,,,,,Glue the sheet to the dark blue background,,
18,2.8115,12.723,21.0348,TA,03_05_07_09_,brown is tasty,,8
,,,,,,Tea served from the brown jug is tasty,,
19,2.5006,8.9186,13.7426,TA,01_02_05_07_,here,,6
,,,,,,Torn scraps littered the stone floor,,
20,2.5308,10.2003,12.0404,TA,02_03_04_06_,the,,9
,,,,,,The wreck occurred by the bank on main Street,,
21,2.5616,8.8524,13.4682,TA,02_03_05_07_,you could,,10
,,,,,,They took the axe and the saw to the forest,,
22,2.2883,10.1138,16.3934,TA,01_02_03_06_,into view,,8
,,,,,,The fight will end in just six minutes,,
23,2.4303,6.3905,21.7185,TA,03_05_06_08_,stretched for miles around,,6
,,,,,,Gray paint stretched for miles around,,
24,2.2242,6.4602,10.6362,AW,01_02_03_06_,well,,9
,,,,,,It's easy to tell the depth of a well,,
25,2.6949,10.3952,15.459,TA,02_04_05_06_,went back,,10
,,,,,,They floated on the raft to sun their white backs,,
26,2.5802,9.3993,15.391,TA,04_05_07_08_,the ruins,,8
,,,,,,Nine men were hired to dig the ruins,,
27,2.5859,6.9611,17.1766,TA,05_06_07_08_,on the rise,,8
,,,,,,A cloud of dust stung his tender eyes,,
28,1.7675,12.0668,19.0989,AW,01_04_05_09_,what      rules of living,,6
,,,,,,What joy there is in living,,
29,2.3381,6.2034,23.2274,TA,01_04_05_08_,the brown house was on fire    wind,,9
,,,,,,The brown house was on fire to the attic,,
30,2.5116,7.9977,28.2296,TA,01_04_05_09_,terrible lasagna,,9
,,,,,,The lure is used to catch trout and flounder,,
31,2.2521,8.866,14.4656,TA,01_03_04_06_,i know it,,7
,,,,,,A young child should not suffer fright,,
32,2.2172,6.7755,12.567,TA,02_05_06_09_,stopped raining,,7
,,,,,,The birch looked stark white and lonesome,,
33,3.0808,9.8699,19.7345,TA,02_04_07_08_,he agreed      something mild,,10
,,,,,,On the islands the sea breeze is soft and mild,,
34,2.2054,6.2223,11.1984,AW,02_06_07_09_,tonight,,6
,,,,,,Always close the barn door tight,,
35,2.9307,10.6516,18.0992,TA,03_04_07_09_,to the bones,,10
,,,,,,Carry the pail to the wall and spill it there,,
36,2.6854,11.8551,32.2623,AW,01_03_04_05_,globe moved around   fruit bowl,,10
,,,,,,The glow deepened in the eyes of the sweet girl,,
37,2.571,0,13.3381,AW,01_02_03_08_,,,7
,,,,,,Rice is often served in round bowls,,
38,2.2986,0,5.0906,TA,02_03_04_05_,,,8
,,,,,,We need grain to keep our mules healthy,,
39,2.0734,11.2274,27.3472,AW,02_05_08_09_,large courts,,6
,,,,,,Cut the pie into large parts,,
40,1.8672,0,11.0126,TA,02_03_06_08_,,,8
,,,,,,Rake the rubbish up and then burn it,,
41,3.1265,9.8916,16.5871,AW,02_03_07_09_,like to leave,,10
,,,,,,Those words were the cue for the actor to leave,,
42,2.3052,0,8.8035,AW,03_06_07_08_,,,7
,,,,,,Act on these orders with great speed,,
43,2.077,9.0429,21.6187,TA,01_02_05_09_,the Dr.   with these pills,,7
,,,,,,The doctor cured him with these pills,,
44,2.059,9.1453,14.7289,TA,01_05_07_09_,the fly,,8
,,,,,,The fly made its way along the wall,,
45,2.6646,7.5493,21.1891,TA,01_02_05_06_,clear and bright room,,9
,,,,,,The sky that morning was clear and bright blue,,
46,2.7024,0,8.908,TA,02_03_04_05_,,,8
,,,,,,The doorknob was made of bright clean brass,,
47,2.2426,8.8726,16.7843,TA,01_02_07_09_,she                      win,,7
,,,,,,Fairy tales should be fun to write,,
48,2.2322,8.2103,16.994,TA,02_03_07_09_,eighty degrees,,6
,,,,,,Pink clouds floated with the breeze,,
49,2.854,5.2629,17.9665,AW,04_05_06_07_,Leaves turn brown and yellow in the fall,,8
,,,,,,Leaves turn brown and yellow in the fall,,
50,2.5163,0,12.8697,AW,02_05_07_08_,,,8
,,,,,,The cigar burned a hole in the desktop,,
