Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,1.9665,2.2127,8.6039,TA,01_02_03_04_05_06_07_08_,WHEN you HEAR the BELL COME QUICKLY,,5
,,,,,,WHEN HEAR BELL COME QUICKLY,,
2,2.5566,1.9248,9.573,TA,01_02_03_04_05_06_07_08_,LEAVE NOW and YOU will ARRIVE on TIME,,5
,,,,,,LEAVE NOW YOU ARRIVE TIME,,
3,2.3322,1.2474,6.074,TA,01_02_03_04_05_06_07_08_,HE SENT tHE BOY on a SHORT ERRAND,,5
,,,,,,HE SENT BOY SHORT ERRAND,,
4,2.2571,1.6481,9.0426,TA,01_02_03_04_05_06_07_08_,The LONG JOURNEY HOME TOOK a YEAR,,5
,,,,,,LONG JOURNEY HOME TOOK YEAR,,
5,2.1579,2.5818,6.7607,TA,01_02_03_04_05_06_07_08_,OPEN YOUR BOOK to the FIRST PAGE,,5
,,,,,,OPEN YOUR BOOK FIRST PAGE,,
6,2.0875,2.5021,8.1377,TA,01_02_03_04_05_06_07_08_,the CORNER STORE was ROBBED LAST NIGHT,,5
,,,,,,CORNER STORE ROBBED LAST NIGHT,,
7,2.3609,3.6032,8.0172,AW,01_02_03_04_05_06_07_08_,a THIN BOOK FITS in the SIDE POCKET,,5
,,,,,,THIN BOOK FITS SIDE POCKET,,
8,1.9937,2.1977,6.6321,TA,01_02_03_04_05_06_07_08_,WILL you PLEASE ANSWER THAT PHONE,,5
,,,,,,WILL PLEASE ANSWER THAT PHONE,,
9,2.3592,2.7837,8.8053,AW,01_02_03_04_05_06_07_08_,ONE STEP MORE and the BOARD will COLLAPSE,,5
,,,,,,ONE STEP MORE BOARD COLLAPSE,,
10,2.5901,1.528,8.3544,AW,01_02_03_04_05_06_07_08_,SEVEN SEALS were STAMPED on gray sheep,,5
,,,,,,SEVEN SEALS STAMPED GREAT SHEETS,,
11,2.6556,2.8136,8.4638,AW,01_02_03_04_05_06_07_08_,the STREETS are NARROW and FULL of SHARP TURNS,,5
,,,,,,STREETS NARROW FULL SHARP TURNS,,
12,2.8093,3.2191,10.9136,TA,01_02_03_04_05_06_07_08_,the BLIND MAN COUNTED his OLD COINS,,5
,,,,,,BLIND MAN COUNTED OLD COINS,,
13,2.2146,2.7613,9.5578,AW,01_02_03_04_05_06_07_08_,the FLAT PACK takes LESS LUGGAGE SPACE,,5
,,,,,,FLAT PACK LESS LUGGAGE SPACE,,
14,2.1878,2.6232,10.0307,TA,01_02_03_04_05_06_07_08_,SHE SAW a CAT in the NEIGHBOR,,5
,,,,,,SHE SAW CAT NEIGHBOR HOUSE,,
15,1.9766,1.4073,8.9697,AW,01_02_03_04_05_06_07_08_,GREEN eyes FROSTED the PUNCH BOWL,,5
,,,,,,GREEN ICE FROSTED PUNCH BOWL,,
16,2.7105,3.3586,9.198,AW,01_02_03_04_05_06_07_08_,the glass on TOP MADE it UNFIT to READ,,5
,,,,,,GLOSS TOP MADE UNFIT READ,,
17,2.7931,2.9091,9.2557,AW,01_02_03_04_05_06_07_08_,the STORE was JAMMED BEFORE the SALE could START,,5
,,,,,,STORE JAMMED BEFORE SALE START,,
18,2.151,1.8235,6.8739,TA,01_02_03_04_05_06_07_08_,the BIG RED APPLE FELL to the GROUND,,5
,,,,,,BIG RED APPLE FELL GROUND,,
19,2.089,1.2695,8.0318,TA,01_02_03_04_05_06_07_08_,SMALL CHILDREN CAME to SEE HIM,,5
,,,,,,SMALL CHILDREN CAME SEE HIM,,
20,2.2258,0.89449,7.6649,AW,01_02_03_04_05_06_07_08_,TAKE the MATCH and STRIKE it AGAINST your SHOE,,5
,,,,,,TAKE MATCH STRIKE AGAINST SHOE,,
21,2.7525,3.1882,9.6702,AW,01_02_03_04_05_06_07_08_,the STEADY drift is WORSE than the DRENCHING RAIN,,5
,,,,,,STEADY DRIP WORSE DRENCHING RAIN,,
22,2.6018,3.1718,12.0195,AW,01_02_03_04_05_06_07_08_,the ? will SERVE BUT NEEDS to be SHORTENED,,5
,,,,,,STITCH SERVE BUT NEEDS SHORTENED,,
23,2.7208,1.2741,6.3326,TA,01_02_03_04_05_06_07_08_,the CURTAIN ROSE and the SHOW WAS ON,,5
,,,,,,CURTAIN ROSE SHOW WAS ON,,
24,2.3051,1.2324,6.083,AW,01_02_03_04_05_06_07_08_,STOP and STARE at the HARDWORKING men,,5
,,,,,,STOP STARE HARD WORKING MAN,,
25,2.7613,0.93407,7.8318,TA,01_02_03_04_05_06_07_08_,the GRASS and BUSHES WERE WET with DEW,,5
,,,,,,GRASS BUSHES WERE WET DEW,,
26,2.2805,5.2293,11.6528,TA,01_02_03_04_05_06_07_08_,? the one and LET it SETTLE,,5
,,,,,,DIP PAIL ONCE LET SETTLE,,
27,2.9054,1.4747,7.261,TA,01_02_03_04_05_06_07_08_,a SEVERE STORM TORE DOWN the BARN,,5
,,,,,,SEVERE STORM TORE DOWN BARN,,
28,2.5231,2.1053,7.2919,TA,01_02_03_04_05_06_07_08_,the GOLD RING will PLEASE most ANY GIRL,,5
,,,,,,GOLD RING PLEASE ANY GIRL,,
29,2.6564,3.0716,10.5829,AW,01_02_03_04_05_06_07_08_,the hair PATTERED on the BURNT BROWN GRASS,,5
,,,,,,HAIL PATTERED BURNT BROWN GRASS,,
