Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.3984,2.9006,8.7095,TA,04_05_06_07_,the cook ? for the FIFTH time,,5
,,,,,,CLUB RENTED RINK FIFTH NIGHT,,
2,2.7651,3.1896,10.2235,AW,01_02_04_07_,the HEART BEATs STRONGLY in ? STROKES,,5
,,,,,,HEART BEAT STRONGLY FIRM STROKES,,
3,2.1922,2.6853,10.0614,TA,01_04_06_07_,the RAG SOAKed UP SPILLED WATER,,5
,,,,,,RAG SOAK UP SPILLED WATER,,
4,2.4766,3.4514,8.0912,TA,01_02_03_05_,the LOSS of the SECOND ??,,5
,,,,,,LOSS SECOND SHIP HARD TAKE,,
5,2.5358,3.4514,10.1709,AW,01_02_05_08_,a ? is USED to CATCH PINK SALMON,,5
,,,,,,ROD USED CATCH PINK SALMON,,
6,2.4882,2.9394,9.1789,AW,02_04_06_08_,WE FIND JOY in the SIMPLEST THINGS,,5
,,,,,,WE FIND JOY SIMPLEST THINGS,,
7,2.4031,2.8463,13.18,TA,03_05_06_08_,CUT the CORD that BINDS the BOX,,5
,,,,,,CUT CORD BINDS BOX TIGHTLY,,
8,2.7073,3.4335,9.0569,TA,01_02_06_08_,the ? STAND is to HIGH for the COUCH,,5
,,,,,,COFFEE STAND TOO HIGH COUCH,,
9,2.9383,4.1255,9.8929,AW,02_04_05_08_,? is FOUND in PARTS of the tropic,,5
,,,,,,HEMP WEED FOUND PARTS TROPICS,,
10,2.6072,3.3884,8.7079,AW,02_05_06_08_,ADDING FAST LEADS to ??,,5
,,,,,,ADDING FAST LEADS WRONG SUMS,,
11,2.351,2.8721,7.6413,AW,01_05_06_07_,TAKE the WINDING PATH to REACH the LAKE,,5
,,,,,,TAKE WINDING PATH REACH LAKE,,
12,2.4679,3.1376,7.5372,AW,01_02_03_07_,the?? WITHOUT a FIGHT,,5
,,,,,,WALLED TOWN SEIZED WITHOUT FIGHT,,
13,2.6043,3.1327,10.7328,TA,01_03_04_08_,she served the coke??,,5
,,,,,,SEWED TORN COAT QUITE NEATLY,,
14,2.8036,3.3606,11.664,AW,03_04_07_08_,WE TALKED ? slide SHOW in service,,5
,,,,,,WE TALKED SIDE SHOW CIRCUS,,
15,2.6796,3.8502,8.5617,AW,02_04_06_08_,?? gets checks INSIDE,,5
,,,,,,MESH WIRE KEEPS CHICKS INSIDE,,
