Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,1.9665,2.2127,8.6039,TA,01_02_03_04_05_06_07_08_,when you hear the bell come quickly,,7
,,,,,,when you hear the bell come quickly,,
2,2.5566,1.9248,9.573,TA,01_02_03_04_05_06_07_08_,leave now and you will arrive on time,,8
,,,,,,leave now and you will arrive on time,,
3,2.3322,1.2474,6.074,TA,01_02_03_04_05_06_07_08_,he sent the boy on a short errand,,8
,,,,,,he sent the boy on a short errand,,
4,2.2571,1.6481,9.0426,TA,01_02_03_04_05_06_07_08_,the long journey home took a year,,7
,,,,,,the long journey home took a year,,
5,2.1579,2.5818,6.7607,TA,01_02_03_04_05_06_07_08_,open your book to the first page,,7
,,,,,,open your book to the first page,,
6,2.0875,2.5021,8.1377,TA,01_02_03_04_05_06_07_08_,the corner store was robbed last night,,7
,,,,,,the corner store was robbed last night,,
7,2.3609,3.6032,8.0172,AW,01_02_03_04_05_06_07_08_,a thin book fits in the side pocket,,8
,,,,,,a thin book fits in the side pocket,,
8,1.9937,2.1977,6.6321,TA,01_02_03_04_05_06_07_08_,will you please answer that phone,,6
,,,,,,will you please answer that phone,,
9,2.3592,2.7837,8.8053,AW,01_02_03_04_05_06_07_08_,one step more and the board will collapse,,8
,,,,,,one step more and the board will collapse,,
10,2.5901,1.528,8.3544,AW,01_02_03_04_05_06_07_08_,seven seals were stamped on gray sheep,,7
,,,,,,seven seals were stamped on great sheets,,
11,2.6556,2.8136,8.4638,AW,01_02_03_04_05_06_07_08_,the streets are narrow and full of sharp turns,,9
,,,,,,the streets are narrow and full of sharp turns,,
12,2.8093,3.2191,10.9136,TA,01_02_03_04_05_06_07_08_,the blind man counted his old coins,,7
,,,,,,the blind man counted his old coins,,
13,2.2146,2.7613,9.5578,AW,01_02_03_04_05_06_07_08_,the flat pack takes less luggage space,,7
,,,,,,a flat pack takes less luggage space,,
14,2.1878,2.6232,10.0307,TA,01_02_03_04_05_06_07_08_,she saw a cat in the neighbor,,8
,,,,,,she saw a cat in the neighbor's house,,
15,1.9766,1.4073,8.9697,AW,01_02_03_04_05_06_07_08_,green eyes frosted the punch bowl,,6
,,,,,,green ice frosted the punch bowl,,
16,2.7105,3.3586,9.198,AW,01_02_03_04_05_06_07_08_,the glass on top made it unfit to read,,9
,,,,,,the gloss on top made it unfit to read,,
17,2.7931,2.9091,9.2557,AW,01_02_03_04_05_06_07_08_,the store was jammed before the sale could start,,9
,,,,,,the store was jammed before the sale could start,,
18,2.151,1.8235,6.8739,TA,01_02_03_04_05_06_07_08_,the big red apple fell to the ground,,8
,,,,,,the big red apple fell to the ground,,
19,2.089,1.2695,8.0318,TA,01_02_03_04_05_06_07_08_,small children came to see him,,6
,,,,,,small children came to see him,,
20,2.2258,0.89449,7.6649,AW,01_02_03_04_05_06_07_08_,take the match and strike it against your shoe,,9
,,,,,,take the match and strike it against your shoe,,
21,2.7525,3.1882,9.6702,AW,01_02_03_04_05_06_07_08_,the steady drift is worse than the drenching rain,,9
,,,,,,the steady drip is worse than a drenching rain,,
22,2.6018,3.1718,12.0195,AW,01_02_03_04_05_06_07_08_,the ? will serve but needs to be shortened,,9
,,,,,,the stitch will serve but needs to be shortened,,
23,2.7208,1.2741,6.3326,TA,01_02_03_04_05_06_07_08_,the curtain rose and the show was on,,8
,,,,,,the curtain rose and the show was on,,
24,2.3051,1.2324,6.083,AW,01_02_03_04_05_06_07_08_,stop and stare at the hardworking men,,8
,,,,,,stop and stare at the hard working man,,
25,2.7613,0.93407,7.8318,TA,01_02_03_04_05_06_07_08_,the grass and bushes were wet with dew,,8
,,,,,,the grass and bushes were wet with dew,,
26,2.2805,5.2293,11.6528,TA,01_02_03_04_05_06_07_08_,? the one and let it settle,,8
,,,,,,dip the pail once and let it settle,,
27,2.9054,1.4747,7.261,TA,01_02_03_04_05_06_07_08_,a severe storm tore down the barn,,7
,,,,,,a severe storm tore down the barn,,
28,2.5231,2.1053,7.2919,TA,01_02_03_04_05_06_07_08_,the gold ring will please most any girl,,8
,,,,,,a gold ring will please most any girl,,
29,2.6564,3.0716,10.5829,AW,01_02_03_04_05_06_07_08_,the hair pattered on the burnt brown grass,,8
,,,,,,the hail pattered on the burnt brown grass,,
30,2.713,3.1901,10.288,AW,01_02_03_04_05_06_07_08_,it was a bad error on the part of a new judge,,12
,,,,,,it was a bad error on the part of the new judge,,
31,2.8561,1.03,12.4961,AW,01_02_03_04_05_06_07_08_,the pup jerked on the leash as he saw a feline shape,,11
,,,,,,the pup jerked the leash as he saw a feline shape,,
32,2.4569,1.8272,9.6293,AW,01_02_03_04_05_06_07_08_,our troops are set to strike heavy blows,,8
,,,,,,our troops are set to strike heavy blows,,
33,2.089,1.0889,5.7134,TA,01_02_03_04_05_06_07_08_,she called his name many times,,6
,,,,,,she called his name many times,,
34,2.8981,1.0002,8.7545,AW,01_02_03_04_05_06_07_08_,the pot boiled but the contents failed to ?,,9
,,,,,,the pot boiled but the contents failed to jell,,
35,2.0744,1.4533,10.0394,AW,01_02_03_04_05_06_07_08_,a stuck tier struck the moving man,,8
,,,,,,a stuffed chair slipped from the moving van,,
36,2.8153,3.2646,10.481,TA,01_02_03_04_05_06_07_08_,the infants became heir to the throne,,8
,,,,,,the young prince became heir to the throne,,
37,2.6611,0.94523,10.6274,AW,01_02_03_04_05_06_07_08_,the ? left most of the towns in ruins,,9
,,,,,,the bombs left most of the town in ruins,,
38,2.2751,7.1022,16.0695,TA,01_02_03_04_05_06_07_08_,could not make out this sentence,,7
,,,,,,fish evade the net and swim off,,
39,2.8814,2.9979,8.5364,TA,01_02_03_04_05_06_07_08_,the pink shell was found on the sandy beach,,9
,,,,,,a pink shell was found on the sandy beach,,
40,2.35,2.8075,9.3371,AW,01_02_03_04_05_06_07_08_,the baby puts his right foot in his mouth,,9
,,,,,,the baby puts his right foot in his mouth,,
