Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.3984,2.9006,8.7095,TA,04_05_06_07_,the cook ? for the fifth time,,9
,,,,,,the club rented the rink for the fifth night,,
2,2.7651,3.1896,10.2235,AW,01_02_04_07_,the heart beats strongly in ? strokes,,8
,,,,,,the heart beat strongly and with firm strokes,,
3,2.1922,2.6853,10.0614,TA,01_04_06_07_,the rag soaked up spilled water,,7
,,,,,,a rag will soak up spilled water,,
4,2.4766,3.4514,8.0912,TA,01_02_03_05_,the loss of the second ??,,10
,,,,,,the loss of the second ship was hard to take,,
5,2.5358,3.4514,10.1709,AW,01_02_05_08_,a ? is used to catch pink salmon,,8
,,,,,,a rod is used to catch pink salmon,,
6,2.4882,2.9394,9.1789,AW,02_04_06_08_,we find joy in the simplest things,,7
,,,,,,we find joy in the simplest things,,
7,2.4031,2.8463,13.18,TA,03_05_06_08_,cut the cord that binds the box,,8
,,,,,,cut the cord that binds the box tightly,,
8,2.7073,3.4335,9.0569,TA,01_02_06_08_,the ? stand is to high for the couch,,9
,,,,,,the coffee stand is too high for the couch,,
9,2.9383,4.1255,9.8929,AW,02_04_05_08_,? is found in parts of the tropic,,10
,,,,,,hemp is a weed found in parts of the tropics,,
10,2.6072,3.3884,8.7079,AW,02_05_06_08_,adding fast leads to ??,,6
,,,,,,adding fast leads to wrong sums,,
11,2.351,2.8721,7.6413,AW,01_05_06_07_,take the winding path to reach the lake,,8
,,,,,,take the winding path to reach the lake,,
12,2.4679,3.1376,7.5372,AW,01_02_03_07_,the?? without a fight,,8
,,,,,,the walled town was seized without a fight,,
13,2.6043,3.1327,10.7328,TA,01_03_04_08_,she served the coke??,,7
,,,,,,she sewed the torn coat quite neatly,,
14,2.8036,3.3606,11.664,AW,03_04_07_08_,we talked ? slide show in service,,9
,,,,,,we talked of the side show in the circus,,
15,2.6796,3.8502,8.5617,AW,02_04_06_08_,?? gets checks inside,,5
,,,,,,mesh wire keeps chicks inside,,
16,2.5615,3.0474,8.5115,TA,02_03_06_08_,in some form or another we need ?,,8
,,,,,,in some form or other we need fun,,
17,2.8584,5.6087,5.6094,TA,05_06_07_08_,,,8
,,,,,,soak the cloth and drown the sharp odor,,
18,2.4987,2.9267,9.6437,TA,01_04_07_08_,steam hissed from the broken valve,,6
,,,,,,steam hissed from the broken valve,,
19,2.5212,3.0182,10.6109,AW,01_03_05_07_,the slush laid deep along the straight,,7
,,,,,,the slush lay deep along the street,,
20,2.5496,2.8129,9.3993,TA,02_04_06_08_,she has a smart way of wearing clothes,,8
,,,,,,she has a smart way of wearing clothes,,
21,2.0977,2.5668,7.6146,TA,04_05_06_08_,after the dance they went straight home,,7
,,,,,,after the dance they went straight home,,
22,2.3828,2.8797,8.5131,TA,01_03_06_08_,the following case is now hard to buy,,8
,,,,,,a filing case is now hard to buy,,
23,2.5424,2.7961,8.3264,AW,01_03_07_08_,the play seems dull and quite stupid,,7
,,,,,,the play seems dull and quite stupid,,
24,3.1451,3.6201,9.7742,TA,03_04_06_08_,you must ? the hot cross ?,,8
,,,,,,a zestful food is the hot-cross bun,,
25,2.1472,2.6292,8.1506,TA,02_03_04_08_,the first worm sat early,,6
,,,,,,the first worm gets snapped early,,
26,2.5257,3.4371,10.0204,TA,01_02_03_04_,the round ? grabbed the recipie,,7
,,,,,,the young kid jumped the rusty gate,,
27,2.5167,3.8245,9.44,TA,01_03_05_08_,they ?? each time they attack,,8
,,,,,,they are pushed back each time they attack,,
28,2.7127,3.4761,9.5877,AW,02_05_06_07_,the ? failed to see the mouse,,8
,,,,,,the crooked maze failed to fool the mous,,
29,2.2595,2.7166,8.503,AW,04_05_06_07_,bring your problems to the ? chief,,7
,,,,,,bring your problems to the wise chief,,
30,2.8078,3.3471,10.9303,TA,03_05_06_07_,find the twin who stole the prom necklace,,8
,,,,,,find the twin who stole the pearl necklace,,
31,3.0359,3.4859,10.7418,AW,02_03_05_07_,the bark on the pine tree was shiny and dark,,10
,,,,,,the bark of the pine tree was shiny and dark,,
32,2.8837,3.838,12.7384,TA,03_04_07_08_,the ? around the field at a brisk pace,,10
,,,,,,the horse trotted around the field at a brisk pac,,
33,2.3337,3.0462,10.6783,AW,01_02_04_06_,the ? was thrown inside the parked truck,,8
,,,,,,the box was thrown beside the parked truck,,
34,2.1722,2.871,9.2385,TA,03_05_06_08_,put the ? on top of the bath water,,9
,,,,,,float the soap on top of the bath water,,
