Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.4624,7.9516,24.3895,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,he...college goal??,,5
,,,,,,DIG DEEP EARTH PIRATE GOLD,,
2,2.5361,4.6849,29.1801,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the news COMES in THREE BATCHES per DAY,,5
,,,,,,MAIL COMES THREE BATCHES DAY,,
3,3.2203,5.4322,14.6719,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the???he had to KNOW,,5
,,,,,,GOOD BOOK INFORMS OUGHT KNOW,,
4,2.5031,7.1622,25.7296,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,PUT ??? and pack it DOWN,,5
,,,,,,PUT CHART MANTEL TACK DOWN,,
5,2.4997,6.1252,19.3567,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,??? BRANCHES,,5
,,,,,,HANG TINSEL FROM BOTH BRANCHES,,
6,2.9574,7.2418,18.1934,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the ??? in a cook POT,,5
,,,,,,CANNOT BREW TEA COLD POT,,
7,2.3034,4.6647,17.9762,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the ??? melts ??? ladder,,5
,,,,,,HORSE BALKED THREW TALL RIDER,,
8,2.7164,4.0906,15.4423,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,they showed us ??? the HOLE,,5
,,,,,,SURE SET LAMP FIRMLY HOLE,,
9,2.2881,6.0447,23.8849,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the sound of ??? is WORSE THAN NONE,,5
,,,,,,SMATTER FRENCH WORSE THAN NONE,,
10,2.5178,5.2837,20.0511,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the ??? is BOTH ??? and COSTLY,,5
,,,,,,GOLD VASE BOTH RARE COSTLY,,
11,2.8858,6.1652,44.3478,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the stone was carved from HEAVY BLOCKS of SLATE,,5
,,,,,,SLAB HEWN HEAVY BLOCKS SLATE,,
12,2.4836,4.2992,12.8589,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,MANY HANDS HELPed get the JOB DONE,,5
,,,,,,MANY HANDS HELP JOB DONE,,
13,2.6997,5.6363,10.7801,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,??? from both SIDES,,5
,,,,,,DIMES SHOWERED DOWN ALL SIDES,,
14,2.5921,3.3569,21.9483,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the NIGHT SHIFT ??? made EXTRA PAY,,5
,,,,,,NIGHT SHIFT RATE EXTRA PAY,,
15,2.2588,4.6021,16.8015,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,they SANG the SAME TUNES in EACH play,,5
,,,,,,SANG SAME TUNES EACH PARTY,,
16,2.1162,3.8194,12.555,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the ??? BETWEEN the ???,,5
,,,,,,HITCH BETWEEN HORSE CART BROKE,,
17,2.8366,3.6133,15.013,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the RAREST SPICE comes FROM the FAR EAST,,5
,,,,,,RAREST SPICE FROM FAR EAST,,
18,2.3137,4.8284,12.8841,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,take a CARD and SLIP it UNDER the PACK,,5
,,,,,,PICK CARD SLIP UNDER PACK,,
19,2.65,4.2331,11.5528,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,she could ??? without ???,,5
,,,,,,SEE PLAYER SCOOT THIRD BASE,,
20,2.7296,5.5343,17.0379,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the new traffic ??? knife,,5
,,,,,,MULE TROD TREADMILL DAY NIGHT,,
21,2.6838,8.0371,22.1087,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,SHIPwrecks are DIFFERENT FROM those of PLANES,,5
,,,,,,SHIP MAPS DIFFERENT FROM PLANES,,
22,2.7669,4.3368,17.4563,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the ??? appears ??? the ballFIELDS,,5
,,,,,,PODS PEAS FERMENT BARE FIELDS,,
23,2.3017,3.9268,9.9665,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the ??? COVERs ???,,5
,,,,,,ROUND MAT COVER DULL SPOT,,
24,2.3502,5.3582,22.3415,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,shrimp is the MAIN BUSINESS of the NORTH SHORE,,5
,,,,,,COD MAIN BUSINESS NORTH SHORE,,
25,2.331,3.8074,16.1268,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,SLIDE the BILL BETWEEN the TWO ???,,5
,,,,,,SLIDE BILL BETWEEN TWO LEAVES,,
26,1.9817,3.1713,11.4907,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the POOR BOY MISSED the BOAT AGAIN,,5
,,,,,,POOR BOY MISSED BOAT AGAIN,,
27,2.5273,3.2315,11.4391,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,we DON't LIKE to ADMIT our SMALL FAULTS,,5
,,,,,,DON LIKE ADMIT SMALL FAULTS,,
28,2.0611,4.767,19.0934,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,??? to ?? the BLACK CAT,,5
,,,,,,DOTS LIGHT BETRAYED BLACK CAT,,
29,2.1013,5.1762,9.168,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,??? sharp CORNER,,5
,,,,,,PILE COAL HIGH SHED CORNER,,
30,2.543,3.9679,16.0315,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the ROOF SHOULD be TILTED on a SHARP slope,,5
,,,,,,ROOF SHOULD TILTED SHARP SLANT,,
31,2.5163,5.1276,14.0473,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,??? to STRONG DRINK,,5
,,,,,,DUNK STALE BISCUITS STRONG DRINK,,
32,2.4145,3.8291,13.7326,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the ??? was help INSIDE the ??? sheet,,5
,,,,,,KNIFE HUNG INSIDE BRIGHT SHEATH,,
33,2.0611,3.389,15.5805,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,NO DOUBT about the WAY the WIND BLOWS,,5
,,,,,,NO DOUBT WAY WIND BLOWS,,
34,2.7834,4.4316,19.0151,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the AIM of the CONTEST is to RAISE ??? FUNDs,,5
,,,,,,AIM CONTEST RAISE GREAT FUND,,
35,2.9096,4.1513,26.0867,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the SKY in the north has changed to bright RED,,5
,,,,,,SKY WEST TINGED ORANGE RED,,
36,2.7175,3.535,13.2866,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the FIRST PART of the ??? NEEDS CHANGING,,5
,,,,,,FIRST PART PLAN NEEDS CHANGING,,
37,2.794,4.1738,15.5014,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,there was a ??? FINE ??? in the SALTY AIR,,5
,,,,,,FINE HARD TANG SALTY AIR,,
38,2.4755,4.2917,30.3068,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,check the JAR with the TIGHT glass COVER,,5
,,,,,,CAP JAR TIGHT BRASS COVER,,
39,2.6234,4.5885,23.8039,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the RED PAPER button became STAGE????,,5
,,,,,,RED PAPER BRIGHTENED DIM STAGE,,
40,2.5408,5.6822,18.6096,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,to SEND it NOW ??? is fine,,5
,,,,,,SEND NOW LARGE AMOUNTS BAD,,
