Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,3.277,6.1139,6.9526,TA,20_19_18_07_06_04_03_,???,0,5
,,,,,,WAKE RISE STEP GREEN OUTDOORS,,
2,2.4266,5.3329,6.1965,TA,18_16_13_11_10_07_03_,???,0,5
,,,,,,LATCH BACK GATE NEEDS NAIL,,
3,2.765,7.0259,10.1458,TA,20_17_11_10_09_07_06_,she ???,0,5
,,,,,,FLAPS HER CAPE PARADES STREET,,
4,1.8351,5.0383,9.838,TA,21_19_17_12_11_06_05_,old ??? to last,0,5
,,,,,,DULL STORIES MAKE HER LAUGH,,
5,2.1636,4.134,4.9898,AW,22_19_11_07_06_04_03_,???,0,5
,,,,,,DON GET MONEY HAVE FUN,,
6,2.0023,3.3236,4.2353,AW,20_18_16_15_13_11_03_,???,0,5
,,,,,,NO CEMENT HOLD HARD WOOD,,
7,2.2511,3.555,11.8028,TA,20_19_17_16_13_10_03_,IT was gone BEFORE the BOY could SEE IT,4,5
,,,,,,DONE BEFORE BOY SEE IT,,
8,3.0219,4.2747,11.2983,TA,21_17_15_13_10_07_05_,??? with the AID of a LONG tube,2,5
,,,,,,HURDLE PIT AID LONG POLE,,
9,2.8051,3.9819,4.9574,TA,18_17_16_11_08_04_03_,???,0,5
,,,,,,PENCIL CUT SHARP BOTH ENDS,,
10,2.1683,4.9985,6.9821,AW,19_18_17_14_09_07_06_,???,0,5
,,,,,,MARSH FREEZE WHEN COLD ENOUGH,,
11,2.5208,5.233,5.9847,TA,20_19_13_12_11_10_05_,???,0,5
,,,,,,PLEA FUNDS SEEMS COME AGAIN,,
12,2.9074,6.8876,16.3912,TA,22_19_18_12_08_07_04_,??? TALL dark STRANGER,2,5
,,,,,,LENT COAT TALL GAUNT STRANGER,,
13,2.48,4.7252,13.8929,TA,21_18_17_15_14_12_08_,KEEP the ??? tied to the ???,1,5
,,,,,,KEEP HATCH TIGHT WATCH CONSTANT,,
14,2.7353,4.0067,9.1984,TA,22_21_16_13_11_08_06_,the rain stopped the ???,0,5
,,,,,,RAM SCARED SCHOOL CHILDREN OFF,,
15,2.5157,3.4504,4.7541,TA,22_15_14_10_08_06_03_,???,0,5
,,,,,,POST NO BILLS OFFICE WALL,,
16,2.3522,4.0061,4.7737,AW,21_19_18_17_14_11_04_,???,0,5
,,,,,,THREE STORY HOUSE BUILT STONE,,
17,2.3678,4.1709,24.9063,AW,21_20_18_17_11_10_05_,the box with the ??? HAD a GOLD ribbon,2,5
,,,,,,VAMP SHOE HAD GOLD BUCKLE,,
18,2.8051,4.1354,9.5192,TA,20_18_16_12_11_05_03_,??? the show ???,0,5
,,,,,,LEAF DRIFTS ALONG SLOW SPIN,,
19,2.5943,4.5445,5.4562,AW,22_15_14_13_11_08_03_,???,0,5
,,,,,,LIST NAMES CARVED AROUND BASE,,
20,2.356,3.8015,11.025,TA,22_21_20_13_12_05_03_,the BLACK coat ???,1,5
,,,,,,BLACK TRUNK FELL FROM LANDING,,
21,2.4519,4.2587,11.2585,AW,22_21_14_12_11_07_06_,the ??? for the ice ???,0,5
,,,,,,QUART MILK WATER MOST PART,,
22,2.5741,5.842,11.4578,TA,22_20_18_13_09_04_03_,??? SPRING ???,1,5
,,,,,,CALVES THRIVE TENDER SPRING GRASS,,
23,2.3836,3.481,10.0565,AW,22_18_13_12_11_06_05_,??? had NObody,0,5
,,,,,,CHAIR LOOKED STRONG NO BOTTOM,,
24,2.5255,3.3342,14.2538,AW,21_16_14_10_06_04_03_,the WATER in this WELL is a SOURCE of great HEALTH,4,5
,,,,,,WATER WELL SOURCE GOOD HEALTH,,
25,2.6427,3.4816,9.2331,TA,19_18_13_11_07_06_03_,the BRASS ???,1,5
