Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,1.8299,5.6385,30.0934,AW,20_18_15_14_08_07_03_,check the fare before you decide to go,,8
,,,,,,Take a chance and win a china doll,,
2,2.1892,3.5037,9.4073,TA,22_18_17_12_11_09_06_,the small ???,,7
,,,,,,The small red neon lamp went out,,
3,2.6945,5.6495,19.801,TA,20_19_13_09_07_06_05_,the ??? size of their shoe,,9
,,,,,,A stiff cord will do to fasten your shoe,,
4,2.2914,8.3785,17.4411,TA,22_21_13_12_11_08_03_,??? interesting,,5
,,,,,,Fine soap saves tender skin,,
5,2.54,6.3624,11.77,TA,22_17_14_12_11_07_06_,??? the toothpaste,,8
,,,,,,Tea in thin china has a sweet taste,,
6,2.6151,8.0292,17.8528,AW,19_18_17_13_12_09_04_,??? the ??? schoolbooks,,7
,,,,,,Screen the porch with woven straw mats,,
7,3.0436,4.5032,20.4147,TA,20_18_15_14_09_06_03_,the ??? was put together with clips,,11
,,,,,,The best method is to fix it in place with clips,,
8,2.5703,4.2252,14.0487,AW,20_18_14_10_09_05_03_,the pleasant hours fly by much too soon,,8
,,,,,,The pleasant hours fly by much too soon,,
9,2.4702,3.7817,20.4932,TA,21_17_16_11_07_05_03_,down that road is the way to the dank tunnel,,10
,,,,,,Down that road is the way to the grain farmer,,
10,2.3172,6.1171,9.389,AW,20_13_12_08_06_05_04_,???,,7
,,,,,,No hardship seemed to keep him sad,,
11,3.2251,5.7208,24.9842,TA,21_20_19_14_11_10_06_,hold ??? temptation,,7
,,,,,,Clams are small round soft and tasty,,
12,2.9775,4.346,14.1525,TA,21_16_15_13_08_07_05_,next sunday the ??? will be out,,8
,,,,,,Next Sunday is the twelfth of the month,,
13,2.572,8.439,21.4384,TA,20_16_15_12_10_09_03_,close the jar with the glass top,,7
,,,,,,Slide the tray across the glass top,,
14,2.2163,3.9485,19.8428,AW,21_14_12_10_09_07_05_,she picked up the dice for a second meeting  ????,,9
,,,,,,He picked up the dice for a second roll,,
15,2.5587,3.7193,11.751,AW,20_16_13_12_09_04_03_,the ??? straddled the ???,,8
,,,,,,The clothes dried on a thin wooden rack,,
16,2.2864,4.4705,8.1102,TA,19_18_16_15_12_07_05_,??? soft,,8
,,,,,,If you mumble your speech will be lost,,
17,2.3297,5.2581,16.8428,TA,22_17_16_13_09_07_03_,??? is a fine game of ???,,7
,,,,,,Flax makes a fine brand of paper,,
18,2.9112,4.6114,11.3071,TA,21_19_18_12_08_05_03_,you must ??? at all times,,9
,,,,,,Either mud or dust are found at all times,,
19,2.1384,3.3776,8.0084,AW,22_18_17_16_14_07_03_,the node ???,,7
,,,,,,The nag pulled the frail cart along,,
20,2.5377,6.3216,7.1372,TA,22_12_11_10_09_07_06_,???,,7
,,,,,,Dill pickles are sour but taste fine,,
21,2.0618,3.4617,17.9102,AW,21_18_13_11_10_09_07_,the heart is what's keeping us going,,8
,,,,,,A pod is what peas always grow in,,
22,2.451,6.3036,17.5112,AW,20_16_12_09_08_06_03_,she ??? because she liked to read,,8
,,,,,,He wheeled the bike past the winding road,,
23,2.3859,3.6707,16.6782,AW,22_21_20_19_15_09_05_,the voice ??? remove the oath ????,,9
,,,,,,A force equal to that would move the earth,,
24,2.139,4.0324,6.4081,AW,21_15_13_12_08_07_06_,six ???,,8
,,,,,,Send the stuff in a thick paper bag,,
25,2.0928,4.8968,13.2485,AW,22_20_17_12_10_09_03_,twist the valve ??? shut,,7
,,,,,,Twist the valve and release hot steam,,
26,2.2165,3.2661,4.2577,AW,21_19_17_15_07_05_04_,???,,7
,,,,,,The boy owed his pal thirty cents,,
27,2.6924,4.9601,6.0237,TA,20_16_11_10_09_08_04_,???,,9
,,,,,,A round hole was drilled through the thin board,,
28,2.3229,3.7335,8.0212,TA,22_19_16_15_14_07_06_,the steep ???,,8
,,,,,,A steep trail is painful for our feet,,
29,2.6411,4.1699,9.8175,AW,17_12_11_10_09_08_07_,??? is better than ???,,10
,,,,,,The sense of smell is better than that of touch,,
30,2.2751,3.5292,21.4325,TA,22_20_12_10_06_05_04_,the ??? don't always know what's right,,8
,,,,,,The facts don't always show who is right,,
31,2.6485,5.8304,12.4299,TA,21_17_13_12_09_08_05_,??? if I had to choose ???,,10
,,,,,,A toad and a frog are hard to tell apart,,
32,2.3216,3.058,20.7536,TA,22_19_13_11_10_06_05_,breathe deep and smell the piney air,,7
,,,,,,Breathe deep and smell the piny air,,
33,2.2788,4.6535,16.0769,AW,22_19_14_11_08_06_04_,the ??? behind the ???,,7
,,,,,,A gray mare walked before the colt,,
34,2.9333,5.3892,28.2284,TA,21_17_16_10_09_08_07_,he ??? long night ??? he didn't sleep,,10
,,,,,,At night the alarm roused him from a deep sleep,,
35,2.0226,4.5772,9.0488,AW,17_16_14_13_06_05_04_,he knows how to ???,,8
,,,,,,We now have a new base for shipping,,
36,2.5041,4.7049,12.0645,AW,21_18_16_15_13_08_07_,??? minutes of ???,,8
,,,,,,Birth and death mark the limits of life,,
37,2.5921,6.7869,20.7705,TA,21_19_14_09_08_06_03_,sell the ??? open the desk,,8
,,,,,,Slide the catch back and open the desk,,
38,2.4965,3.8356,20.4751,TA,21_16_14_13_11_07_04_,should I approach and tell the others what to do?,,11
,,,,,,Sit on the perch and tell the others what to do,,
39,2.2973,4.1883,16.2277,TA,22_18_17_16_15_13_06_,he did ??? in public school,,8
,,,,,,They took their kids from the public school,,
40,2.7196,3.8662,9.322,TA,21_20_18_13_11_10_08_,the ??? dishes,,10
,,,,,,The sink is the thing in which we pile dishes,,
41,2.5898,3.7156,14.8832,AW,21_19_18_16_12_09_05_,there's not a ??? left,,8
,,,,,,There is a lag between thought and act,,
42,2.4883,5.017,6.3926,AW,20_18_17_16_15_12_04_,???,,8
,,,,,,The kite flew wildly in the high wind,,
43,2.6666,4.1738,13.8295,AW,22_16_10_08_06_05_04_,he simply tried ??? showed,,8
,,,,,,A sip of tea revives his tired friend,,
44,2.6799,3.544,4.5837,AW,22_19_17_12_11_08_06_,???,,8
,,,,,,Drop the ashes on the worn old rug,,
45,2.8245,4.2807,11.9203,AW,19_17_15_14_09_05_03_,he sent the ??? hopes ???,,9
,,,,,,He sent the figs but kept the ripe cherries,,
46,2.345,3.165,4.2846,AW,22_19_18_10_09_06_04_,???,,7
,,,,,,Thick glasses helped him read the print,,
47,2.2762,3.7195,12.9512,TA,21_19_14_11_10_07_05_,get the truck ??? to the bag of ???,,8
,,,,,,Get the trust fund to the bank early,,
48,2.973,8.0144,8.983,TA,20_19_17_15_11_09_04_,???,,10
,,,,,,Hold the hammer near the end to drive the nail,,
49,2.6381,6.565,7.3886,TA,18_15_10_09_06_05_03_,???,,10
,,,,,,Sever the twine with a quick snip of the knife,,
50,2.7385,4.5525,5.3523,AW,20_19_16_15_10_07_06_,???,,8
,,,,,,The desk and both chairs were painted tan,,
51,2.7975,7.2217,22.3651,TA,22_19_18_16_14_09_06_,he kicked the and that released the bones????,,8
,,,,,,Jerk the cord and out tumbles the gold,,
52,2.6102,4.0746,12.2341,AW,22_21_17_13_11_09_05_,the ??? spring makes no ???,,8
,,,,,,The odor of spring makes young hearts jump,,
53,2.0011,5.1034,9.711,AW,22_21_19_16_15_10_08_,??? four lanes of ???,,6
,,,,,,Bottles hold four kinds of rum,,
54,2.533,4.7519,17.7033,TA,22_20_16_14_13_09_08_,??? black ??? coming ???,,8
,,,,,,A thick coat of black paint covered all,,
55,2.722,3.8368,14.7083,TA,20_15_13_12_08_05_03_,the truck driver ??? and hit the ditch,,9
,,,,,,The pipe ran almost the length of the ditch,,
56,2.3092,5.9659,6.8538,AW,22_16_12_11_10_07_03_,???,,9
,,,,,,This horse will nose his way to the finish,,
57,2.4423,3.2861,4.1977,AW,21_19_18_17_09_04_03_,???,,10
,,,,,,The work of the tailor is seen on each side,,
58,2.0961,4.4572,11.1928,AW,20_16_15_14_13_05_03_,fasten ??? on each side,,6
,,,,,,Fasten two pins on each side,,
59,2.6839,3.878,9.8866,AW,21_17_16_15_13_06_05_,the ??? does not ??? much,,10
,,,,,,The way to save money is not to spend much,,
60,2.9639,9.2794,10.1052,AW,18_17_16_08_05_04_03_,???,,11
,,,,,,In the rear of the ground floor was a large passag,,
