Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,1.9665,3.1871,20.2171,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,WHEN you HEAR the BELL COME QUICKLY,,5
,,,,,,WHEN HEAR BELL COME QUICKLY,,
2,2.5566,3.3106,13.19,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,LEAVE NOW and YOU'll ARRIVE on TIME,,5
,,,,,,LEAVE NOW YOU ARRIVE TIME,,
3,2.3322,3.3617,12.3043,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,HE SENT tHE BOY on a SHORT ERRAND,,5
,,,,,,HE SENT BOY SHORT ERRAND,,
4,2.2571,5.1238,15.4677,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the LONG JOURNEY HOME TOOK a YEAR,,5
,,,,,,LONG JOURNEY HOME TOOK YEAR,,
5,2.1579,3.17,12.2419,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,OPEN YOUR BOOK to the FIRST PAGE,,5
,,,,,,OPEN YOUR BOOK FIRST PAGE,,
6,2.0875,3.4631,15.495,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the CORNER STORE was ROBBED LAST NIGHT,,5
,,,,,,CORNER STORE ROBBED LAST NIGHT,,
7,2.3609,4.813,16.3488,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,a THIN BOOK FITS in the SIDE POCKET,,5
,,,,,,THIN BOOK FITS SIDE POCKET,,
8,1.9937,3.0769,14.9807,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,WILL you PLEASE ANSWER THAT PHONE?!,,5
,,,,,,WILL PLEASE ANSWER THAT PHONE,,
9,2.3592,3.5361,15.6711,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,ONE STEP MORE and the BOARD will COLLAPSE,,5
,,,,,,ONE STEP MORE BOARD COLLAPSE,,
10,2.5901,3.9038,19.8309,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,SEVEN SEALS were STAMPED on GREAT SHEETS,,5
,,,,,,SEVEN SEALS STAMPED GREAT SHEETS,,
11,2.6556,3.1491,17.6285,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the STREETS are NARROW and FULL of SHARP TURNS,,5
,,,,,,STREETS NARROW FULL SHARP TURNS,,
12,2.8093,3.7384,13.6339,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the BLIND MAN COUNTED his OLD COINS,,5
,,,,,,BLIND MAN COUNTED OLD COINS,,
13,2.2146,5.1681,18.9913,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the FLAT PACK takes LESS LUGGAGE SPACE,,5
,,,,,,FLAT PACK LESS LUGGAGE SPACE,,
14,2.1878,5.8806,20.5684,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,SHE SAW a CAT in the NEIGHBOR's HOUSE,,5
,,,,,,SHE SAW CAT NEIGHBOR HOUSE,,
15,1.9766,5.4771,17.9485,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,GREEN ICE FROSTED the PUNCH BOWL,,5
,,,,,,GREEN ICE FROSTED PUNCH BOWL,,
