Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.3729,6.473,15.7756,TA,21_13_12_09_07_06_05_,they are showing the ?? that is needed,,5
,,,,,,BRASS RINGS SOLD THESE NATIVES,,
2,2.2382,4.8938,14.3653,AW,22_18_14_11_07_04_03_,WIPE the GREASE OFF his DIRTY FACE,,5
,,,,,,WIPE GREASE OFF DIRTY FACE,,
3,2.5615,6.1098,16.6614,TA,22_18_16_15_14_06_03_,these ?? DO not ?? OTHERS,,5
,,,,,,PILLS DO LESS GOOD OTHERS,,
4,2.2755,5.5246,19.7884,AW,16_15_14_09_08_05_04_,the dog CRAWLED UNDER the ?? FENCE,,5
,,,,,,HOG CRAWLED UNDER HIGH FENCE,,
5,2.6119,4.9939,18.6897,AW,17_16_15_12_09_08_07_,the cat ?? on the BACK of the WIDE CHAIR,,5
,,,,,,JACKET HUNG BACK WIDE CHAIR,,
6,2.4047,5.0451,16.7964,AW,21_13_09_07_06_05_03_,the ?? shot ACROSS the FIELD,,5
,,,,,,SMALL CREEK CUT ACROSS FIELD,,
7,2.6818,9.3124,19.8638,TA,22_17_14_12_11_09_07_,he proved it ?? on RAINY DAYS,,5
,,,,,,TIGHT CURLS LIMP RAINY DAYS,,
8,2.5216,4.1893,14.0688,TA,21_19_16_15_14_10_07_,WATCH the LOG FLOAT in the WIDE RIVER,,5
,,,,,,WATCH LOG FLOAT WIDE RIVER,,
9,2.3435,7.6594,19.6593,TA,20_15_12_09_05_04_03_,save ?? for STRONG DEFENSE,,5
,,,,,,SIEGE WILL CRACK STRONG DEFENSE,,
10,2.1005,5.9578,21.9811,TA,22_19_18_14_06_05_03_,?? and HURRY UP to bed,,5
,,,,,,JUMP FENCE HURRY UP BANK,,
11,2.4283,5.0823,16.5622,TA,20_18_16_14_10_06_04_,the RED ?? SMUGGLED FOOD,,5
,,,,,,RED TAPE BOUND SMUGGLED FOOD,,
12,2.2774,4.1411,18.2284,AW,22_16_14_12_06_05_03_,the was a SOUND of ?? OUTSIDE,,5
,,,,,,THERE SOUND DRY LEAVES OUTSIDE,,
13,2.2346,4.8203,26.9955,AW,22_20_17_14_13_09_04_,the PIPE BEGAN to RUST WHILE ??,,5
,,,,,,PIPE BEGAN RUST WHILE NEW,,
14,2.3385,5.5014,13.7169,TA,18_15_13_11_08_07_03_,he just ?? made a blunder,,5
,,,,,,PAGES BOUND CLOTH MAKE BOOK,,
15,2.8842,5.0354,17.8269,AW,22_18_13_12_10_08_07_,the ?? of CHEESE IMPROVES with AGE,,5
,,,,,,RIPE TASTE CHEESE IMPROVES AGE,,
16,2.3858,5.8331,46.8318,AW,22_21_16_12_09_07_04_,here's to old FRIENDS ??,,5
,,,,,,THIEVES ROB FRIENDS DESERVE JAIL,,
17,2.4537,5.1991,21.8387,AW,22_21_18_17_11_07_03_,They say that his country is APPLE-SHAPED,,5
,,,,,,FRUIT FIG TREE APPLE SHAPED,,
18,2.2175,4.5617,15.9851,TA,22_21_17_08_07_05_03_,welcome to the ?? SENSE??,,5
,,,,,,MUCH STORY MAKES GOOD SENSE,,
19,2.6918,5.3272,12.9836,AW,19_18_16_13_11_10_03_,?? DARK ?? BACKGROUND,,5
,,,,,,GLUE SHEET DARK BLUE BACKGROUND,,
20,2.8559,11.3072,23.0026,TA,22_21_16_14_12_07_06_,?? RELAXed in the COOL GREEN GRASS,,5
,,,,,,BATHE RELAX COOL GREEN GRASS,,
21,2.3374,6.3218,17.8332,AW,22_21_17_14_08_07_06_,?? middle of the STONE FLOOR,,5
,,,,,,TORN SCRAPS LITTERED STONE FLOOR,,
22,2.5308,4.1636,16.491,TA,22_18_16_13_08_07_06_,the WRECK OCCURRED by the BANK on MAIN STREET,,5
,,,,,,WRECK OCCURRED BANK MAIN STREET,,
23,2.5616,5.8874,14.2315,TA,19_17_16_14_08_07_06_,?? from the ?? of the FOREST,,5
,,,,,,TOOK AXE SAW TO FOREST,,
24,2.3483,5.8237,16.2793,TA,17_13_11_10_08_05_04_,?? is EASY for US to HEAR,,5
,,,,,,MOST NEWS EASY US HEAR,,
25,2.4303,7.4092,25.113,TA,18_16_15_14_11_07_03_,the red banks STRETCHED for MILES AROUND,,5
,,,,,,GRAY PAINT STRETCHED MILES AROUND,,
26,2.2242,4.428,6.3077,AW,22_20_17_12_08_06_05_,??,,5
,,,,,,IT EASY TELL DEPTH WELL,,
27,2.6949,5.6475,35.0232,TA,21_20_19_15_13_10_03_,they FLOATED on the RAFT despite their wet BACKs,,5
,,,,,,FLOATED RAFT SUN WHITE BACK,,
28,2.5802,7.9338,17.3496,TA,22_18_17_16_09_08_04_,?? will ?? to take ??,,5
,,,,,,NINE MEN HIRED DIG RUINS,,
29,2.5859,5.6878,9.0559,TA,19_17_16_11_06_05_04_,?? rise,,5
,,,,,,CLOUD DUST STUNG TENDER EYES,,
30,1.7675,4.0183,6.1059,AW,19_18_16_11_10_07_05_,??,,5
,,,,,,WHAT JOY THERE IS LIVING,,
31,2.3381,4.7306,14.01,TA,14_11_10_07_05_04_03_,the BROWN HOUSE was ON FIRE ??,,5
,,,,,,BROWN HOUSE ON FIRE ATTIC,,
32,2.5116,7.7686,21.808,TA,21_19_17_15_12_09_06_,the LUREs were USED to CATCH TROUT and FLOUNDER,,5
,,,,,,LURE USED CATCH TROUT FLOUNDER,,
33,2.2186,8.0514,17.147,AW,21_19_16_14_13_12_06_,?? should NOT book her flight,,5
,,,,,,YOUNG CHILD NOT SUFFER FRIGHT,,
34,2.2172,6.4779,13.4537,TA,20_19_18_16_13_10_06_,?? STARK WHITE ??,,5
,,,,,,BIRCH LOOKED STARK WHITE LONESOME,,
35,2.1789,3.9521,13.064,TA,22_19_16_14_12_11_05_,TEND the SHEEP WHILE the DOG WANDERS,,5
,,,,,,TEND SHEEP WHILE DOG WANDERS,,
36,2.2054,4.09,14.2581,AW,21_17_16_13_10_09_05_,ALWAYS CLOSE the BARN DOOR TIGHT,,5
,,,,,,ALWAYS CLOSE BARN DOOR TIGHT,,
37,2.9307,5.1431,14.743,TA,20_18_15_14_13_12_09_,CARRY the PAIL to the WALL and SPILL it THERE,,5
,,,,,,CARRY PAIL WALL SPILL THERE,,
38,2.5498,7.7393,30.0984,TA,22_17_14_12_08_07_05_,PLEAD to the COUNCIL to FREE the POOR beast (geese)??,,5
,,,,,,PLEAD COUNCIL FREE POOR THIEF,,
39,2.5225,5.5289,15.0084,TA,22_18_15_12_11_07_06_,keep the LINE OVER the PORT SIDE,,5
,,,,,,HEAVE LINE OVER PORT SIDE,,
40,2.2986,4.1984,25.1575,TA,19_18_16_14_10_08_06_,we NEED GRAIN to KEEP our MULES HEALTHY,,5
,,,,,,NEED GRAIN KEEP MULES HEALTHY,,
41,2.0734,4.1106,5.9903,AW,22_21_20_11_10_06_04_,??,,5
,,,,,,CUT PIE INTO LARGE PARTS,,
42,2.318,5.1122,15.472,TA,22_21_20_19_14_10_06_,he could almost tear ALONG the LEDGE,,5
,,,,,,CRAWLED WITH CARE ALONG LEDGE,,
43,3.1265,6.1591,13.1986,AW,17_16_15_10_09_07_03_,?? from the actions of many,,5
,,,,,,THOSE WORDS CUE ACTOR LEAVE,,
44,2.3052,4.784,6.5996,AW,20_18_17_11_09_08_07_,??,,5
,,,,,,ACT THESE ORDERS GREAT SPEED,,
45,3.0687,7.9374,24.4088,TA,22_20_15_13_11_08_05_,the crew brought spices on MONDAYS,,5
,,,,,,CONE COSTS FIVE CENTS MONDAYS,,
46,2.059,5.231,15.4309,TA,20_17_15_09_05_04_03_,the flag ?? on the WALL,,5
,,,,,,FLY MADE WAY ALONG WALL,,
47,2.7527,7.9276,9.7596,AW,21_20_17_16_08_07_05_,??,,5
,,,,,,SKY MORNING CLEAR BRIGHT BLUE,,
48,2.7024,4.9861,18.1224,TA,22_18_15_14_12_09_05_,the DOORKNOB was MADE of BRIGHT CLEAN BRASS,,5
,,,,,,DOORKNOB MADE BRIGHT CLEAN BRASS,,
49,2.1351,5.0412,20.5446,AW,19_16_13_09_06_05_03_,FAIRY TALES SHOULD be ?? to ??,,5
,,,,,,FAIRY TALES SHOULD FUN WRITE,,
50,2.2322,5.1403,16.2042,TA,22_21_19_17_16_10_03_,the ?? FLOATED WITH the BREEZE,,5
,,,,,,PINK CLOUDS FLOATED WITH BREEZE,,
51,2.854,4.9585,16.3662,AW,19_18_16_14_12_07_04_,LEAVES TURN BROWN and YELLOW in the FALL,,5
,,,,,,LEAVES TURN BROWN YELLOW FALL,,
52,2.5163,5.1953,17.419,AW,22_18_15_14_10_09_04_,?? HOLE in the DESKTOP ??,,5
,,,,,,CIGAR BURNED HOLE DESK TOP,,
53,2.4813,7.925,22.1564,TA,20_19_17_13_11_08_04_,?? WORN FLOOR ??,,5
,,,,,,TACK STRIP CARPET WORN FLOOR,,
54,2.718,7.7363,11.9679,TA,20_19_18_13_12_11_03_,?? HIGH ??,,5
,,,,,,MUTE MUFFLED HIGH TONES HORN,,
55,2.6919,5.0635,28.6945,AW,21_17_15_14_10_04_03_,the cow was born in the summer wind,,5
,,,,,,PEARL WORN THIN SILVER RING,,
56,2.1517,4.0208,12.9163,AW,19_17_16_12_10_09_03_,the LAWYER TRIED to LOSE HIS CASE,,5
,,,,,,LAWYER TRIED LOSE HIS CASE,,
57,2.4643,4.267,13.8428,TA,20_16_13_11_07_04_03_,NINE ROWS of SOLDIERS STOOD in LINE,,5
,,,,,,NINE ROWS SOLDIERS STOOD LINE,,
58,2.6365,8.0299,9.8459,AW,20_18_17_15_13_11_06_,??,,5
,,,,,,LIFT SQUARE STONE OVER FENCE,,
59,2.165,6.7302,16.6817,AW,19_16_14_11_09_04_03_,?? MAKES SWEET FUDGE,,5
,,,,,,CUP SUGAR MAKES SWEET FUDGE,,
60,2.9253,4.9209,15.8096,AW,20_19_16_10_09_05_04_,the SOURCE of the ?? is the ??,,5
,,,,,,SOURCE HUGE RIVER CLEAR SPRING,,
61,2.4141,4.9455,6.8252,AW,21_16_13_12_11_05_03_,??,,5
,,,,,,OFFICE PAINT DULL SAD TAN,,
62,1.7751,3.9484,11.4614,AW,22_19_18_14_11_10_04_,the PENCILS HAVE not BEEN USED,,5
,,,,,,PENCILS HAVE ALL BEEN USED,,
63,2.2428,7.3297,16.7614,TA,22_14_13_10_08_06_04_,GRAPE JUICE and WATER MIX WELL,,5
,,,,,,GRAPE JUICE WATER MIX WELL,,
64,2.5067,4.2836,12.8036,TA,22_17_14_11_09_07_04_,the LARGE HOUSE had HOT WATER tanks,,5
,,,,,,LARGE HOUSE HOT WATER TAPS,,
65,2.9691,7.5795,34.2425,TA,19_15_14_13_12_09_04_,the toast ??  JAM or CRACKERS,,5
,,,,,,SHELVES BARE BOTH JAM CRACKERS,,
66,1.9898,3.977,13.4325,TA,21_16_15_13_09_06_03_,JUST twist it UP and TAKE it AWAY,,5
,,,,,,JUST HOIST UP TAKE AWAY,,
67,2.592,7.4324,27.9996,TA,21_20_16_14_10_05_03_,the council broke ?? sales ?? ENDURE,,5
,,,,,,CASTLE BUILT SAND FAILS ENDURE,,
68,2.6917,4.6546,6.7342,AW,22_14_13_10_09_08_07_,??,,5
,,,,,,SLANG WORD RAW WHISKEY BOOZE,,
69,2.2992,4.7006,12.1882,AW,22_20_15_14_12_11_03_,the ?? MAKES FINE points,,5
,,,,,,JUICE LEMONS MAKES FINE PUNCH,,
70,2.2158,4.1638,6.1559,TA,20_19_17_15_08_07_06_,??,,5
,,,,,,RUDE LAUGH FILLED EMPTY ROOM,,
71,2.8288,7.9355,25.4389,TA,22_21_20_16_15_12_08_,?? as the CURTAIN flapped BACK,,5
,,,,,,YELL CLAP CURTAIN SLIDES BACK,,
72,1.9971,3.5011,10.1006,TA,22_16_14_12_11_07_06_,TIME BRINGS US MANY CHANGES,,5
,,,,,,TIME BRINGS US MANY CHANGES,,
73,2.684,4.8962,15.6397,AW,19_14_12_10_06_05_04_,the SHIP was ?? port ??,,5
,,,,,,SHIP TORN APART SHARP REEF,,
74,2.0862,3.8352,18.1319,TA,21_20_18_15_12_10_08_,THIS PLANK was MADE for WALKING ON,,5
,,,,,,THIS PLANK MADE WALKING ON,,
75,2.5212,4.8971,19.1126,TA,21_20_19_17_12_08_04_,the DESK was ?? ON the SHAKY FLOOR,,5
,,,,,,DESK FIRM ON SHAKY FLOOR,,
76,2.6669,4.7043,14.9919,AW,20_19_17_16_13_08_05_,the SWAN DIVE was FAR SHORT of PERFECT,,5
,,,,,,SWAN DIVE FAR SHORT PERFECT,,
77,2.6619,4.4033,6.1311,AW,22_20_18_12_10_05_04_,??,,5
,,,,,,WAGON MOVED WELL OILED WHEELS,,
78,2.4594,4.8659,20.7372,TA,19_17_11_10_09_05_03_,the PENCIL was BLACK LEAD based,,5
,,,,,,PENCIL BLACK LEAD WRITES BEST,,
79,2.2717,4.7215,16.5133,TA,19_16_13_10_08_05_04_,SOME ?? can CHEAT fires,,5
,,,,,,SOME ADS SERVE CHEAT BUYERS,,
80,2.465,6.9322,8.7401,AW,22_21_18_14_08_06_04_,??,,5
,,,,,,MEN STRIVE SELDOM GET RICH,,
