Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.8634,4.734,16.5239,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,a LARGE SIZE in STOCKINGS is HARD to SELL,,5
,,,,,,LARGE SIZE STOCKINGS HARD SELL,,
2,2.4496,3.2806,15.2722,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the SOFT CUSHION BROKE the MAN's FALL,,5
,,,,,,SOFT CUSHION BROKE MAN FALL,,
3,2.6817,10.8157,30.191,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the JOY of EVERY CHILD is the SWAN BOAT,,5
,,,,,,JOY EVERY CHILD SWAN BOAT,,
4,2.5957,3.7881,11.7795,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,SCHOOLS for LADIES TEACH CHARM and GRACE,,5
,,,,,,SCHOOLS LADIES TEACH CHARM GRACE,,
5,2.318,3.7357,11.5913,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,he CRAWLED WITH CARE ALONG the LEDGE,,5
,,,,,,CRAWLED WITH CARE ALONG LEDGE,,
6,2.0919,4.1518,17.8073,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the girl was PAID EVERY THIRD WEEK,,5
,,,,,,BILL PAID EVERY THIRD WEEK,,
7,2.5851,4.3072,14.044,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the FIN was SHARP and CUT the CLEAR WATER,,5
,,,,,,FIN SHARP CUT CLEAR WATER,,
8,2.9691,8.7733,30.0606,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the ?? with BOTH tin or CRACKERS?,,5
,,,,,,SHELVES BARE BOTH JAM CRACKERS,,
9,2.0427,3.1885,13.0201,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the FIRST one GETS SNAPPED EARLY,,5
,,,,,,FIRST WORM GETS SNAPPED EARLY,,
10,1.7234,3.4878,10.1435,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,TEN PINS were SET IN ORDER,,5
,,,,,,TEN PINS SET IN ORDER,,
11,2.162,4.744,16.4635,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the RED TAPE BOUND the SMUGGLED FOOD,,5
,,,,,,RED TAPE BOUND SMUGGLED FOOD,,
12,2.3828,4.5564,15.252,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,a FILING CASE is NOW HARD to BUY,,5
,,,,,,FILING CASE NOW HARD BUY,,
13,2.4315,5.3137,12.0265,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,he ASKS NO PERSON to VOUCH for HIM,,5
,,,,,,ASKS NO PERSON VOUCH HIM,,
14,2.6714,3.7364,17.1759,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the HORN of the CAR WOKE the SLEEPING COP,,5
,,,,,,HORN CAR WOKE SLEEPING COP,,
15,2.4364,4.1001,12.3397,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the THISTLES BEND in a HIGH WIND,,5
,,,,,,THESE THISTLES BEND HIGH WIND,,
16,2.631,8.6536,25.317,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the rest of ?? REACHED its PEAK TUESDAY,,5
,,,,,,RUSH FUNDS REACHED PEAK TUESDAY,,
17,2.5358,3.7016,11.8372,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,a ROD is USED to CATCH PINK SALMON,,5
,,,,,,ROD USED CATCH PINK SALMON,,
18,2.8288,8.2411,22.0886,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the ?? CLAP as the CURTAIN SLIDES BACK,,5
,,,,,,YELL CLAP CURTAIN SLIDES BACK,,
19,2.7566,8.2052,26.9725,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the defense ?? CROWD in interesting WAYS???,,5
,,,,,,DENSE CROWD TWO DISTINCT WAYS,,
20,2.5071,3.5774,13.6809,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,his SHIRT was CLEAN but ONE BUTTON was GONE,,5
,,,,,,SHIRT CLEAN ONE BUTTON GONE,,
21,2.6115,5.5638,13.9955,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the STALE SMELL of OLD BEER LINGERS,,5
,,,,,,STALE SMELL OLD BEER LINGERS,,
22,2.7884,3.8064,15.5579,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the HOGS were FED CHOPPED CORN and GARBAGE,,5
,,,,,,HOGS FED CHOPPED CORN GARBAGE,,
23,2.2585,3.3438,10.5995,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,TWO BLUE FISH SWAM in the TANK,,5
,,,,,,TWO BLUE FISH SWAM TANK,,
24,2.3141,3.293,16.2286,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the PAPER BOX is FULL of THUMBTACKS,,5
,,,,,,PAPER BOX FULL THUMB TACKS,,
25,1.9764,3.0325,12.9122,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,it TAKES HEAT to BRING OUT the ODOR,,5
,,,,,,TAKES HEAT BRING OUT ODOR,,
26,2.6137,3.4836,11.7145,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the CIGAR BURNED a HOLE in the DESKTOP,,5
,,,,,,CIGAR BURNED HOLE DESK TOP,,
27,2.6681,3.2229,10.8067,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the DIRT PILES were LINED ALONG the ROAD,,5
,,,,,,DIRT PILES LINED ALONG ROAD,,
28,2.3612,9.8402,19.6478,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,look CLOSELY at the side of the GAS TANK,,5
,,,,,,NOTE CLOSELY SIZE GAS TANK,,
29,2.3449,6.0021,21.8735,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,we FROWNed ??? TAKE a back TURN,,5
,,,,,,FROWN EVENTS TAKE BAD TURN,,
30,2.0255,3.1728,13.3474,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,SMOKE POURED OUT of EVERY CRACK,,5
,,,,,,SMOKE POURED OUT EVERY CRACK,,
31,2.349,13.1903,28.1258,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,?? PAINT STRETCHED for MILES AROUND,,5
,,,,,,GRAY PAINT STRETCHED MILES AROUND,,
32,2.413,2.9846,18.2882,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the WHARF COULD be SEEN at the FARTHER SHORE,,5
,,,,,,WHARF COULD SEEN FARTHER SHORE,,
33,2.4107,13.1399,24.5234,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,FEED the WHITE MOUSE in flour SEEDS,,5
,,,,,,FEED WHITE MOUSE FLOWER SEEDS,,
34,2.3958,4.5924,13.8321,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,WHITINGS are SMALL FISH CAUGHT in NETS,,5
,,,,,,WHITINGS SMALL FISH CAUGHT NETS,,
35,2.8178,4.1153,16.0989,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the WRIST was BADLY STRAINED and HUNG LIMP,,5
,,,,,,WRIST BADLY STRAINED HUNG LIMP,,
36,2.3866,3.9897,21.1251,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the PLANT GREW LARGE and GREEN in the WINDOW,,5
,,,,,,PLANT GREW LARGE GREEN WINDOW,,
37,1.7167,3.1977,7.4213,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,GO NOW and COME HERE LATER,,5
,,,,,,GO NOW COME HERE LATER,,
38,2.2322,2.9481,13.7726,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,PINK CLOUDS FLOATED WITH the BREEZE,,5
,,,,,,PINK CLOUDS FLOATED WITH BREEZE,,
39,2.5983,4.6576,14.1063,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,WRITE a FOND NOTE to the FRIEND you CHERISH,,5
,,,,,,WRITE FOND NOTE FRIEND CHERISH,,
40,2.7791,3.7095,16.1891,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the SET of CHINA HIT the FLOOR with a CRASH,,5
,,,,,,SET CHINA HIT FLOOR CRASH,,
