Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.0862,11.0656,25.4414,TA,21_18_16_14_13_08_05_,?? hocks is MADE of RARE BEEF,3,5
,,,,,,BETTER HASH MADE RARE BEEF,,
2,2.4727,5.0872,19.2228,AW,19_18_16_14_11_10_07_,a large ?? on the BACK of ?? fingerNAIL,2,5
,,,,,,LATCH BACK GATE NEEDS NAIL,,
3,2.2259,8.2097,16.4574,AW,21_20_19_12_10_07_06_,to ?? she NEEDS MUCH COURAGE,3,5
,,,,,,REACH END NEEDS MUCH COURAGE,,
4,2.5177,3.8441,19.8116,TA,21_18_14_12_11_08_03_,the soft BREEZE CAME ACROSS the SEA,4,5
,,,,,,SALT BREEZE CAME ACROSS SEA,,
5,2.3729,6.2525,13.7883,TA,19_17_16_13_11_08_05_,?? are SOLD by ??,1,5
,,,,,,BRASS RINGS SOLD THESE NATIVES,,
6,2.4141,5.1722,15.3159,AW,21_19_14_12_07_06_05_,the OFFICE PAINT was a DULL flat color,3,5
,,,,,,OFFICE PAINT DULL SAD TAN,,
7,2.5238,3.7746,16.7421,AW,18_17_15_10_06_05_04_,TAKE SHELTER in this ?? and KEEP STILL,4,5
,,,,,,TAKE SHELTER TENT KEEP STILL,,
8,2.0611,6.6971,20.8486,TA,15_14_12_08_07_04_03_,?? train ?? the BLACK hair ??,1,5
,,,,,,DOTS LIGHT BETRAYED BLACK CAT,,
9,2.0848,9.219,18.6665,AW,22_21_17_15_12_09_04_,put the key UNDER the MAT,2,5
,,,,,,TUCK SHEET UNDER EDGE MAT,,
10,2.9107,9.2052,22.2047,TA,18_16_15_13_11_10_07_,he cut the rock from the wrong BLOCK of MARBLE,2,5
,,,,,,CARVED HEAD ROUND BLOCK MARBLE,,
11,3.1606,5.2238,14.495,TA,20_14_13_10_08_07_06_,the ?? SURFACE ?? ,1,5
,,,,,,RIDGE SMOOTH SURFACE BUMP FLAW,,
12,3.0292,9.4681,29.7874,TA,22_14_12_11_10_06_03_,some FLAVORS are USED in mixed DRINKS,3,5
,,,,,,FRUIT FLAVORS USED FIZZ DRINKS,,
13,2.7783,5.9409,22.4443,TA,19_14_13_11_07_06_04_,it felt dry in the HOT noon SUN,2,5
,,,,,,BEETLE DRONED HOT JUNE SUN,,
14,2.4987,4.9369,12.4087,TA,21_19_17_16_15_10_05_,STEAM HISSED through the BROKEN VALVE,4,5
,,,,,,STEAM HISSED FROM BROKEN VALVE,,
15,2.5359,8.4809,14.9605,AW,22_20_19_18_17_15_11_,?? GOLD SILK ??,2,5
,,,,,,SASH GOLD SILK TRIM DRESS,,
16,2.2591,5.3065,15.4902,AW,22_21_20_19_13_05_04_,the early ?? SLEEP,1,5
,,,,,,THEIR EYELIDS DROOP WANT SLEEP,,
17,2.3819,5.035,6.4749,AW,10_09_08_07_05_04_03_,??,0,5
,,,,,,CHINK WALL ALLOWED DRAFT BLOW,,
18,2.0294,5.3566,12.4844,AW,20_19_16_12_11_10_07_,brains make UP for LACK of BEAUTY,3,5
,,,,,,GRACE MAKES UP LACK BEAUTY,,
19,2.3771,4.2693,19.6208,AW,22_21_19_17_16_12_09_,the WIDE ROAD SHIMMERED in the HOT SUN,5,5
,,,,,,WIDE ROAD SHIMMERED HOT SUN,,
20,2.6203,4.9225,25.2098,AW,19_17_14_11_09_05_03_,the text of the PEARL pen was KEPT SECRET,3,5
,,,,,,THEFT PEARL PIN KEPT SECRET,,
21,2.3673,3.438,12.7177,TA,21_20_19_15_14_11_03_,GREEN MOSS GROWS on the NORTHERN SIDE,5,5
,,,,,,GREEN MOSS GROWS NORTHERN SIDE,,
22,2.2868,8.1072,18.4908,AW,21_18_17_13_11_10_08_,?? work will be ??,0,5
,,,,,,EVEN WORST BEAT LOW SCORE,,
23,2.4304,5.622,26.2773,TA,21_19_15_12_11_10_07_,he read the SKILL of the GREAT ?? ACTRESS,3,5
,,,,,,KNEW SKILL GREAT YOUNG ACTRESS,,
24,2.4813,3.6962,20.3837,TA,19_16_13_12_10_05_03_,a SIX COMES up MORE OFTEN than a TEN,5,5
,,,,,,SIX COMES MORE OFTEN TEN,,
25,2.4059,3.6152,12.1429,AW,21_18_17_15_10_09_08_,a ?? calmed ?? female,0,5
,,,,,,WISP CLOUD HUNG BLUE AIR,,
26,2.2242,4.6428,27.3621,AW,22_21_19_16_15_06_03_,IT's EASY to TELL the book from the law??,3,5
,,,,,,IT EASY TELL DEPTH WELL,,
27,2.3809,6.4387,16.7823,AW,20_18_17_09_08_07_06_,?? kept ?? angels??,0,5
,,,,,,LOOP BRAID LEFT THEN OVER,,
28,2.2058,7.8468,23.2541,TA,21_20_17_16_15_09_07_,?? war??  KEPT ?? drown ??,1,5
,,,,,,BOARDS WARP UNLESS KEPT DRY,,
29,2.2076,5.0204,19.3,AW,20_17_16_13_10_05_03_,ADD the collar to the ?? suns HERE,2,5
,,,,,,ADD COLUMN PUT SUM HERE,,
30,2.5616,6.0841,14.7478,TA,22_15_13_11_10_05_03_,he could be ?? of his voice,0,5
,,,,,,TOOK AXE SAW TO FOREST,,
31,2.3177,6.5889,14.5966,AW,21_19_18_15_14_13_12_,?? bells on the dog ??,0,5
,,,,,,POST NO BILLS OFFICE WALL,,
32,2.6573,4.7081,26.1476,AW,22_19_15_14_10_08_07_,the PENCIL was CUT to be SHARP and back in ???,3,5
,,,,,,PENCIL CUT SHARP BOTH ENDS,,
33,2.463,4.5494,22.1816,AW,21_20_12_11_08_05_04_,the CEMENT truck ?? WHEN he MOVED IT ,4,5
,,,,,,CEMENT DRIED WHEN MOVED IT,,
34,2.4568,6.7522,27.2796,TA,22_19_18_16_15_09_03_,?? mountain ?? WATER ?? for the MOST PART,3,5
,,,,,,QUART MILK WATER MOST PART,,
35,2.7975,3.9889,5.5488,TA,15_13_12_09_07_04_03_,???,0,5
,,,,,,JERK CORD OUT TUMBLES GOLD,,
36,2.6002,4.2966,20.0001,AW,21_20_17_12_11_07_06_,the ?? shone with a WATCHFUL EYE,2,5
,,,,,,BOSS RAN SHOW WATCHFUL EYE,,
37,2.6332,6.9958,18.8685,AW,20_15_14_12_08_06_05_,?? SHORT STORIES is RARE,3,5
,,,,,,URGE WRITE SHORT STORIES RARE,,
38,2.3043,5.5678,25.1122,TA,20_19_16_15_10_07_03_,?? skill ?? sun ?? lay on,0,5
,,,,,,BEEF SCARCER THAN SOME LAMB,,
39,2.4818,4.1666,16.3022,AW,17_14_12_10_05_04_03_,BRING your BEST COMPASS to the chart CLASS,4,5
,,,,,,BRING BEST COMPASS THIRD CLASS,,
40,2.2175,3.6588,11.0025,TA,20_19_18_14_09_07_04_,MUCH of the STORY MAKES GOOD SENSE,5,5
,,,,,,MUCH STORY MAKES GOOD SENSE,,
41,2.3188,4.7199,5.8319,AW,22_20_18_16_15_09_08_,???,0,5
,,,,,,TYPE OUT THREE LISTS ORDERS,,
42,2.3005,7.7155,18.571,AW,22_16_15_13_11_06_05_,??DEEP ?? heart of GOLD,2,5
,,,,,,DIG DEEP EARTH PIRATE GOLD,,
43,2.9639,4.8804,16.5199,AW,21_17_14_12_08_06_03_,in the REAR of the GROUND FLOOR was a LARGE PASSAGE,5,5
