Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,1.9665,3.1871,20.2171,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,when you hear the bell come quickly,,7
,,,,,,When you hear the bell come quickly,,
2,2.5566,3.3106,13.19,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,leave now and you'll arrive on time,,8
,,,,,,Leave now and you will arrive on time,,
3,2.3322,3.3617,12.3043,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,he sent the boy on a short errand,,8
,,,,,,He sent the boy on a short errand,,
4,2.2571,5.1238,15.4677,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the long journey home took a year,,7
,,,,,,The long journey home took a year,,
5,2.1579,3.17,12.2419,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,open your book to the first page,,7
,,,,,,Open your book to the first page,,
6,2.0875,3.4631,15.495,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the corner store was robbed last night,,7
,,,,,,The corner store was robbed last night,,
7,2.3609,4.813,16.3488,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,a thin book fits in the side pocket,,8
,,,,,,A thin book fits in the side pocket,,
8,1.9937,3.0769,14.9807,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,will you please answer that phone?!,,6
,,,,,,Will you please answer that phone,,
9,2.3592,3.5361,15.6711,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,one step more and the board will collapse,,8
,,,,,,One step more and the board will collapse,,
10,2.5901,3.9038,19.8309,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,seven seals were stamped on great sheets,,7
,,,,,,Seven seals were stamped on great sheets,,
11,2.6556,3.1491,17.6285,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the streets are narrow and full of sharp turns,,9
,,,,,,The streets are narrow and full of sharp turns,,
12,2.8093,3.7384,13.6339,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the blind man counted his old coins,,7
,,,,,,The blind man counted his old coins,,
13,2.2146,5.1681,18.9913,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the flat pack takes less luggage space,,7
,,,,,,A flat pack takes less luggage space,,
14,2.1878,5.8806,20.5684,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,she saw a cat in the neighbor's house,,8
,,,,,,She saw a cat in the neighbor's house,,
15,1.9766,5.4771,17.9485,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,green ice frosted the punch bowl,,6
,,,,,,Green ice frosted the punch bowl,,
16,2.7105,5.1202,17.3996,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the gloss on top made it unfit to read,,9
,,,,,,The gloss on top made it unfit to read,,
17,2.7931,3.6517,15.8996,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the store was jammed before the sale could start,,9
,,,,,,The store was jammed before the sale could start,,
18,2.151,2.7089,12.4927,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the big red apple fell to the ground,,8
,,,,,,The big red apple fell to the ground,,
19,2.089,3.4036,12.283,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,small children came to see him,,6
,,,,,,Small children came to see him,,
20,2.2258,3.456,16.8401,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,take the match and strike it against your shoe,,9
,,,,,,Take the match and strike it against your shoe,,
21,2.7525,4.5348,16.7986,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the steady drip is worse than a drenching rain,,9
,,,,,,The steady drip is worse than a drenching rain,,
22,2.6018,6.1115,24.7191,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the stitch will serve but needs to be shortened,,9
,,,,,,The stitch will serve but needs to be shortened,,
23,2.7208,3.2897,11.994,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the curtain rose and the show was on,,8
,,,,,,The curtain rose and the show was on,,
24,2.3051,3.9591,14.7505,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,stop and stare at the hardworking man,,8
,,,,,,Stop and stare at the hard working man,,
25,2.7613,3.5637,13.3955,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the grass and bushes were wet with dew,,8
,,,,,,The grass and bushes were wet with dew,,
26,2.2805,6.5397,13.1871,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,dip the pail once and let it settle,,8
,,,,,,Dip the pail once and let it settle,,
27,2.9054,4.3178,13.7416,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,a severe storm tore down the barn,,7
,,,,,,A severe storm tore down the barn,,
28,2.5231,11.6786,18.9904,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the cold rain??,,8
,,,,,,A gold ring will please most any girl,,
29,2.6564,3.6078,16.7677,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the hail pattered on the burnt brown grass,,8
,,,,,,The hail pattered on the burnt brown grass,,
30,2.713,4.2216,13.2057,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,it was a bad error on the part of the new judge,,12
,,,,,,It was a bad error on the part of the new judge,,
31,2.8561,6.5509,28.7905,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the pup jerked the lease as she saw a feline shake,,11
,,,,,,The pup jerked the leash as he saw a feline shape,,
32,2.4569,3.5966,16.3961,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,our troops are set to strike heavy blows,,8
,,,,,,Our troops are set to strike heavy blows,,
33,2.089,2.9177,11.7975,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,she called his name many times,,6
,,,,,,She called his name many times,,
34,2.8981,4.1328,18.2605,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the pot boiled but the contents failed to gel,,9
,,,,,,The pot boiled but the contents failed to jell,,
35,2.0744,4.1303,14.266,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,a step chair slipped from the moving van,,8
,,,,,,A stuffed chair slipped from the moving van,,
36,2.8153,3.7394,14.3075,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the young prince became heir to the throne,,8
,,,,,,The young prince became heir to the throne,,
37,2.6611,3.9304,12.7542,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the bombs left most of the town in ruins,,9
,,,,,,The bombs left most of the town in ruins,,
38,2.2751,11.6156,29.9592,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,fish ?? the neck and swim off,,7
,,,,,,Fish evade the net and swim off,,
39,2.8814,6.6494,19.7848,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the pink shell was found on the sandy beach,,9
,,,,,,A pink shell was found on the sandy beach,,
40,2.35,3.5293,15.5691,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the baby puts his right foot in his mouth,,9
,,,,,,The baby puts his right foot in his mouth,,
