Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.8234,9.3786,25.1864,TA,21_20_19_13_09_07_05_,?? scarce ?? much care,,8
,,,,,,Paper is scarce so write with much care,,
2,2.7651,5.73,7.7864,AW,21_19_17_15_12_08_06_,??,,8
,,,,,,The heart beat strongly and with firm strokes,,
3,2.0399,6.4255,17.4969,AW,21_18_16_15_11_09_05_,the rag will pick up spilled water,,7
,,,,,,A rag will soak up spilled water,,
4,2.3925,8.1532,10.2249,TA,22_18_17_16_11_09_06_,??,,7
,,,,,,A lathe cuts and trims any wood,,
5,2.5358,7.3948,21.7861,AW,21_20_13_12_10_09_06_,the rag is used to catch paint spilling,,8
,,,,,,A rod is used to catch pink salmon,,
6,2.4882,7.0379,9.014,AW,22_19_13_07_06_05_03_,??,,7
,,,,,,We find joy in the simplest things,,
7,2.4031,6.9964,22.8041,TA,21_16_15_14_08_05_04_,cut the cord that binds the box tightly,,8
,,,,,,Cut the cord that binds the box tightly,,
8,2.4906,5.7429,27.6061,AW,19_17_16_10_09_06_03_,the coffee stand was too wide for the couch,,9
,,,,,,The coffee stand is too high for the couch,,
9,2.9383,7.2039,16.2114,AW,21_18_13_12_10_09_07_,?? park with the traffic,,10
,,,,,,Hemp is a weed found in parts of the tropics,,
10,2.6072,7.0661,21.0258,AW,21_20_17_14_11_10_09_,adding ?? leaves to wrong turns,,6
,,,,,,Adding fast leads to wrong sums,,
11,2.351,5.2384,13.9582,AW,16_13_11_06_05_04_03_,take the lighted path to reach the lake,,8
,,,,,,Take the winding path to reach the lake,,
12,3.1203,5.6474,19.9267,TA,21_19_15_14_13_09_04_,the logs fell and tumbled into the clear stream,,9
,,,,,,The logs fell and tumbled into the clear stream,,
13,2.1907,7.4617,14.8936,AW,21_17_16_13_09_08_07_,she ?? coat ??,,7
,,,,,,She sewed the torn coat quite neatly,,
14,2.8036,6.1201,20.9041,AW,22_16_12_08_07_05_04_,we talked of ?? in the service,,9
,,,,,,We talked of the side show in the circus,,
15,2.6796,6.0045,27.3628,AW,20_17_15_13_12_08_05_,fresh water keeps ?? in ??,,5
,,,,,,Mesh wire keeps chicks inside,,
16,2.3183,5.1955,33.7791,TA,22_21_13_12_10_06_03_,The drip of the rain main a pleasant sound,,9
,,,,,,The drip of the rain made a pleasant sound,,
17,2.8584,5.6597,15.8751,TA,20_17_16_12_11_06_03_,soak the cloth and drown the ??,,8
,,,,,,Soak the cloth and drown the sharp odor,,
18,2.7317,7.2074,21.398,TA,20_16_15_13_09_05_03_,the ?? were lined with colored rocks,,8
,,,,,,The store walls were lined with colored frocks,,
19,2.5212,5.1779,13.6974,AW,20_17_15_07_05_04_03_,?? along the skid,,7
,,,,,,The slush lay deep along the street,,
20,2.4292,6.0549,17.1824,AW,19_18_15_13_10_06_04_,she has a smart way of wearing clothes,,8
,,,,,,She has a smart way of wearing clothes,,
21,2.0977,4.0186,19.6024,TA,21_20_17_14_11_07_04_,after the dance they went straight home,,7
,,,,,,After the dance they went straight home,,
22,1.8899,5.6526,20.0921,TA,19_18_15_12_09_08_06_,she got the mortar out of every crack,,6
,,,,,,Smoke poured out of every crack,,
23,2.5424,5.8359,20.3792,AW,20_18_15_14_10_09_05_,the ?? go at lightning speed,,7
,,,,,,The play seems dull and quite stupid,,
24,3.1451,7.2348,29.3062,TA,21_16_14_12_06_05_04_,his favorite food is the hot crusty bun,,8
,,,,,,A zestful food is the hot-cross bun,,
25,2.1472,4.8498,18.7925,TA,20_17_12_11_07_05_04_,with the first wind it snapped early,,6
,,,,,,The first worm gets snapped early,,
26,2.5355,6.9911,26.4627,AW,22_21_14_13_07_06_04_,the young ?? too much to eat,,7
,,,,,,The young kid jumped the rusty gate,,
27,2.8078,7.8306,16.0062,TA,21_15_08_07_06_05_04_,?? the last chorus,,9
,,,,,,Let's all join as we sing the last chorus,,
28,2.7127,7.4514,15.595,AW,20_19_18_15_10_07_03_,the ?? before the mouse,,8
,,,,,,The crooked maze failed to fool the mous,,
29,2.5034,8.6865,16.6464,TA,22_19_18_09_08_07_03_,?? only ?? sleep ??,,8
,,,,,,The thaw came early and freed the stream,,
30,2.8163,6.6101,27.5856,TA,20_18_14_12_10_09_04_,the ?? merge in the central part of town,,9
,,,,,,The zones merge in the central part of town,,
31,3.0359,4.2987,17.4343,AW,22_17_14_13_11_09_07_,the bark of the pine tree was shiny and dark,,10
,,,,,,The bark of the pine tree was shiny and dark,,
32,2.8837,5.0721,23.9197,TA,21_20_19_14_07_06_05_,the horse trotted around the field at a brisk pace,,10
,,,,,,The horse trotted around the field at a brisk pac,,
33,2.8982,7.0064,20.8939,TA,20_17_16_14_05_04_03_,the ?? was closed but the ?? was gone,,9
,,,,,,His shirt was clean but one button was gone,,
34,2.1722,9.2772,23.8205,TA,21_18_17_15_12_08_07_,put the soap on top of the bath water,,9
,,,,,,Float the soap on top of the bath water,,
35,2.24,6.8364,22.4837,TA,19_18_14_12_09_08_06_,you're running last ?? again,,9
,,,,,,He wrote his last novel there at the inn,,
36,2.4276,7.8599,50.7548,TA,21_18_17_15_12_11_05_,wading for a small fish caught a net ???,,7
,,,,,,Whitings are small fish caught in nets,,
37,2.5842,4.5588,25.6383,AW,20_19_18_17_14_09_05_,the pilots served the crew of the lost ship,,9
,,,,,,The pirates seized the crew of the lost ship,,
38,2.6006,12.5389,25.2023,TA,22_18_17_14_13_08_05_,he struck the knee of the next player,,9
,,,,,,His hip struck the knee of the next player,,
39,2.3272,8.9903,13.4542,TA,22_21_20_17_09_05_03_,?? pain ??,,9
,,,,,,Look in the corner to find the tan shirt,,
40,2.8837,7.8761,18.8995,TA,22_18_17_12_10_09_03_,the plane sputtered and then??,,8
,,,,,,The flint sputtered and lit a pine torch,,
41,2.6632,6.2201,19.7157,AW,21_20_14_12_11_10_07_,he cleared the herd from the road??,,10
,,,,,,He carved a head from the round block of marble,,
42,2.6448,5.3244,7.3086,TA,22_20_19_18_17_10_05_,??,,7
,,,,,,A dash of pepper spoils beef stew,,
43,2.8738,5.7249,17.1645,AW,21_19_17_14_11_07_03_,cars and buses stalled in snow drifts,,7
,,,,,,Cars and busses stalled in snow drifts,,
44,2.442,6.1757,16.5832,TA,22_15_11_10_09_08_04_,the red plum ?? age ??,,9
,,,,,,A ripe plum is fit for a king's palate,,
45,2.4852,7.1785,21.0099,AW,22_21_19_18_17_15_03_,a ?? squirrel lives among the ??,,7
