Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.6961,3.4062,17.8777,AW,20_19_16_15_12_09_08_,the POUND of SUGAR cost MORE than EGGS,5,5
,,,,,,POUND SUGAR COSTS MORE EGGS,,
2,2.1039,3.8183,5.0983,AW,20_13_11_10_08_06_05_,nothing,0,5
,,,,,,MOVE VAT OVER HOT FIRE,,
3,2.0491,3.9155,7.4512,TA,21_18_17_13_12_09_07_,ONE word,1,5
,,,,,,WE SURE ONE WAR ENOUGH,,
4,2.2652,3.1738,10.4775,AW,17_14_12_10_08_04_03_,senTENce                 LESS than TEN,2,5
,,,,,,TWO PLUS SEVEN LESS TEN,,
5,2.7899,3.2105,11.9348,AW,18_16_14_11_08_07_03_,the        water was MADE by,1,5
,,,,,,SPOT BLOTTER MADE GREEN INK,,
6,2.9545,3.5723,6.3001,TA,19_15_12_11_09_05_04_,soup,0,5
,,,,,,SASH GOLD SILK TRIM DRESS,,
7,2.5382,3.7831,5.2709,AW,21_18_16_14_13_10_05_,nothing,0,5
,,,,,,TUSK USED MAKE COSTLY GIFTS,,
8,2.6823,3.0625,7.5188,AW,22_18_17_12_11_08_07_,can be USED to,1,5
,,,,,,CORN COBS USED KINDLE FIRE,,
9,2.318,3.2805,6.2163,TA,17_15_14_10_09_08_03_,walk,0,5
,,,,,,KEY YOU DESIGNED FIT LOCK,,
10,2.8115,4.79,8.4537,TA,21_18_15_09_08_07_03_,TASTY,1,5
,,,,,,TEA SERVED BROWN JUG TASTY,,
11,2.6373,4.74,9.9306,TA,20_17_16_14_13_07_03_,leave the WORLD,1,5
,,,,,,LEAD WORLD MORE SOUND FURY,,
12,2.4142,4.0703,5.446,AW,21_17_11_10_09_06_05_,nothing,0,5
,,,,,,FELT GAY SHIP ARRIVED PORT,,
13,1.9418,3.1878,4.5956,AW,21_16_14_12_10_07_06_,nothing,0,5
,,,,,,WE ADMIRE LOVE GOOD COOK,,
14,2.8065,3.4275,10.1392,TA,22_14_13_11_10_09_06_,make FULL FLAVOR,2,5
,,,,,,CANNED PEARS LACK FULL FLAVOR,,
15,2.7656,4.3083,13.612,TA,20_18_16_14_13_11_03_,she           LIKE a frog to,1,5
,,,,,,DANCED LIKE SWAN TALL GRACEFUL,,
16,1.9764,4.1011,17.4207,TA,22_19_16_12_10_06_05_,It TAKES                     oder,1,5
,,,,,,TAKES HEAT BRING OUT ODOR,,
17,2.3525,3.0608,5.3177,AW,22_17_15_11_10_08_05_,He,0,5
,,,,,,ORDERED PEACH PIE ICE CREAM,,
18,2.8078,5.109,11.6365,TA,22_20_18_15_14_10_08_,PEARLed NECKLACE,2,5
,,,,,,FIND TWIN STOLE PEARL NECKLACE,,
19,2.2306,5.442,13.3857,AW,20_17_11_10_09_04_03_,CASE is NOW going to,2,5
,,,,,,FILING CASE NOW HARD BUY,,
20,2.4973,3.8256,5.1453,TA,20_18_17_16_12_10_05_,nothing,0,5
,,,,,,BOX HELD BRIGHT RED SNAPPER,,
21,2.2883,2.889,12.3448,TA,21_19_18_15_11_10_04_,fiber                        SIX MINUTES,2,5
,,,,,,FIGHT END JUST SIX MINUTES,,
22,3.0445,4.557,6.7008,AW,22_20_19_15_09_08_05_,nothing,0,5
,,,,,,BIRCH CANOE SLID SMOOTH PLANKS,,
23,3.0733,4.4302,7.7979,AW,20_17_16_15_14_13_03_,close,0,5
,,,,,,SNOWED RAINED HAILED SAME MORNING,,
24,2.8234,4.1271,7.1348,TA,22_19_17_16_13_10_07_,PERSON,1,5
,,,,,,RISE FAME PERSON TAKES LUCK,,
25,2.7129,4.2707,10.1505,TA,21_20_15_11_10_05_04_,STORE shelfs,1,5
,,,,,,TIN CANS ABSENT STORE SHELVES,,
26,2.3643,2.8191,7.4111,TA,21_15_13_12_09_07_03_,a QUICK,1,5
,,,,,,QUICK FOX JUMPED SLEEPING CAT,,
27,2.4716,3.0615,4.5333,AW,18_17_15_13_08_04_03_,nothing,0,5
,,,,,,ADD SUM PRODUCT THESE THREE,,
28,2.8738,4.5913,6.2311,AW,19_18_17_12_11_07_06_,nothing,0,5
,,,,,,GRAND SEASON HIKES ON ROAD,,
29,2.139,2.6282,10.4201,AW,22_17_15_12_11_09_06_,to help the kid,0,5
,,,,,,DROP TWO WHEN ADD FIGURES,,
30,1.9134,3.2436,10.8434,AW,21_16_14_13_11_09_03_,SUNDAY is the BEST PART OF the WEEK,5,5
,,,,,,SUNDAY BEST PART OF WEEK,,
31,1.8124,2.5769,13.3126,AW,22_19_15_10_08_06_05_,WHEN you need  the                stolen,1,5
,,,,,,WHERE THEY WHEN NOISE STARTED,,
32,2.3807,3.5934,7.2171,TA,20_14_12_08_07_06_04_,RED INK,2,5
,,,,,,HARD ERASE BLUE RED INK,,
33,2.518,3.8626,7.4544,AW,22_16_15_14_13_06_03_,in art,0,5
,,,,,,BURN PEAT AFTER LOGS OUT,,
34,2.4679,3.5099,9.5815,AW,20_18_14_13_12_05_03_,the world                                  front,0,5
,,,,,,WALLED TOWN SEIZED WITHOUT FIGHT,,
35,2.6681,4.6965,9.9762,TA,19_17_16_09_07_05_03_,due paws,0,5
,,,,,,DIRT PILES LINED ALONG ROAD,,
36,2.538,3.801,12.1848,TA,18_13_12_11_08_06_04_,was COVERED with,1,5
,,,,,,OLD PAN COVERED HARD FUDGE,,
37,2.0862,4.4097,11.5293,TA,21_16_15_14_08_07_04_,BETTER                                 grabbing,1,5
,,,,,,BETTER HASH MADE RARE BEEF,,
38,2.4107,3.0537,9.6773,TA,21_20_18_11_10_06_03_,FEED the WHITE MOUSE and,3,5
,,,,,,FEED WHITE MOUSE FLOWER SEEDS,,
39,2.7086,4.6736,9.8732,AW,20_15_12_10_09_05_03_,split sound,0,5
,,,,,,LARGE SIZE STOCKINGS HARD SELL,,
40,2.2496,3.1726,6.4124,TA,21_13_09_08_07_06_03_,the PRINCE,1,5
,,,,,,PRINCE ORDERED HEAD CHOPPED OFF,,
41,2.6398,5.5861,9.8498,TA,21_17_16_11_10_09_07_,the                                     plants,0,5
,,,,,,PEACE LEAGUE MET DISCUSS PLANS,,
42,2.2595,4.0506,5.4254,AW,18_11_08_07_06_04_03_,nothing,0,5
,,,,,,BRING YOUR PROBLEMS WISE CHIEF,,
43,2.2672,3.2751,7.7071,AW,22_18_15_14_13_04_03_,focused,0,5
,,,,,,THERE MORE TWO FACTORS HERE,,
44,2.1937,2.8251,9.3609,AW,22_19_14_13_12_11_07_,the DOCTOR said the,1,5
,,,,,,DOCTOR CURED HIM THESE PILLS,,
45,2.6854,3.7822,15.246,AW,22_21_18_12_10_06_03_,the balloon                 filled the audience with,0,5
,,,,,,GLOW DEEPENED EYES SWEET GIRL,,
46,2.573,3.2274,14.1391,TA,21_19_18_16_12_11_04_,RED sparkle in the HOT SUN,3,5
,,,,,,LAKE SPARKLED RED HOT SUN,,
47,2.4663,3.5195,15.455,TA,22_21_18_15_12_08_07_,the BLUE CRANE is a               BIRD,3,5
,,,,,,BLUE CRANE TALL WADING BIRD,,
48,2.3375,3.7784,5.1459,AW,18_14_09_08_07_05_03_,nothing,0,5
,,,,,,FARMERS CAME THRESH OAT CROP,,
49,1.8672,2.8065,9.9423,TA,20_16_10_09_06_05_04_,roof           the building,0,5
,,,,,,RAKE RUBBISH UP BURN IT,,
50,3.0808,3.6718,15.0555,TA,17_14_13_12_10_06_04_,the SEA BREEZE         consulted the,2,5
,,,,,,ISLANDS SEA BREEZE SOFT MILD,,
51,2.5541,2.9103,12.8775,TA,20_16_15_11_10_08_04_,CHAIR AGAINST the WALL,3,5
,,,,,,PLUSH CHAIR LEANED AGAINST WALL,,
52,2.7549,4.1566,5.9964,TA,22_19_16_14_13_09_03_,nothing,0,5
,,,,,,JAZZ SWING FANS FAST MUSIC,,
53,2.338,3.9452,7.7848,AW,22_18_15_10_07_04_03_,distance,0,5
,,,,,,FOUR HOURS STEADY WORK FACED,,
54,2.4275,3.9328,13.7804,AW,21_20_18_15_10_06_05_,He made fun                         in front of him,0,5
,,,,,,LAY PRONE HARDLY MOVED LIMB,,
55,1.728,3.2497,11.7935,TA,18_17_14_13_12_09_05_,NEXT TUESDAY WE go to VOTE,4,5
,,,,,,NEXT TUESDAY WE MUST VOTE,,
56,2.5898,5.5743,12.5257,AW,21_20_18_13_10_09_04_,LAST sink,1,5
,,,,,,ADD STORE ACCOUNT LAST CENT,,
57,2.7918,3.8292,8.1728,AW,21_19_13_11_08_07_06_,PLAYERS,1,5
,,,,,,THIRD ACT DULL TIRED PLAYERS,,
58,2.6363,4.4168,6.3687,TA,20_18_17_15_07_06_03_,nothing,0,5
,,,,,,VANE TOP POLE REVOLVED WIND,,
59,2.5725,3.2487,14.5604,AW,19_17_16_14_09_04_03_,He set the SAME purpose for the,1,5
,,,,,,SAID SAME PHRASE THIRTY TIMES,,
60,1.9854,5.3836,8.2794,TA,21_19_16_15_10_08_07_,nothing,0,5
,,,,,,SOAP WASH MOST DIRT AWAY,,
61,2.3688,3.5838,5.7115,TA,22_19_16_13_10_08_03_,nothing,0,5
,,,,,,ROADS PAVED WITH STICKY TAR,,
62,2.5541,5.0088,8.9845,TA,22_20_15_13_08_05_04_,dreams,0,5
,,,,,,COPPER BOWL SHONE SUN RAYS,,
63,2.3092,2.437,10.4778,AW,22_19_17_15_12_06_04_,a MEAL was COOKED BEFORE the,3,5
,,,,,,MEAL COOKED BEFORE BELL RANG,,
64,2.4539,5.1819,6.5336,AW,19_17_16_10_08_04_03_,nothing,0,5
,,,,,,MARCH SOLDIERS PAST NEXT HILL,,
65,2.5149,4.4676,5.9873,AW,19_15_14_11_08_05_04_,nothing,0,5
,,,,,,GUESS RESULTS FROM FIRST SCORES,,
66,2.5615,4.1373,5.6811,TA,19_16_14_11_09_06_05_,nothing,0,5
,,,,,,SOME FORM OTHER NEED FUN,,
67,2.6526,3.8548,13.5585,TA,22_18_16_15_11_07_05_,if you                           the gentle giant,0,5
,,,,,,HEAP FALLEN LEAVES SET FIRE,,
68,2.3306,4.6502,13.162,TA,22_19_18_14_11_10_03_,devil may soon be,0,5
,,,,,,HEDGE APPLES STAIN HANDS GREEN,,
69,2.161,5.0313,6.4709,AW,20_19_18_13_12_08_04_,nothing,0,5
,,,,,,TONGS LAY BESIDE ICE PAIL,,
70,2.4398,3.1952,8.859,AW,22_18_14_13_12_11_08_,the turn                     bad here,0,5
,,,,,,TERM ENDED LATE JUNE YEAR,,
71,2.571,3.0982,17.4418,AW,21_17_16_13_12_06_04_,whats the scoop,0,5
,,,,,,RICE OFTEN SERVED ROUND BOWLS,,
72,2.4766,3.6171,9.3849,TA,20_18_13_09_08_07_03_,SHIP                  to TAKE,2,5
,,,,,,LOSS SECOND SHIP HARD TAKE,,
73,2.3984,5.2785,15.3581,TA,21_18_13_12_05_04_03_,the            can win for the FIFTH time,1,5
,,,,,,CLUB RENTED RINK FIFTH NIGHT,,
74,2.5519,4.1813,11.0609,AW,21_19_14_12_10_09_04_,RIGHT HAND SIDE,3,5
,,,,,,WEAVE CARPET RIGHT HAND SIDE,,
75,2.4626,2.4216,13.2145,AW,20_19_16_12_09_06_04_,A SPEEDY              can BEAT this,2,5
,,,,,,SPEEDY MAN BEAT TRACK MARK,,
76,2.5653,4.4979,8.6418,AW,21_12_11_09_08_07_06_,feet,0,5
,,,,,,SMALL PUP GNAWED HOLE SOCK,,
77,2.6002,4.0331,5.6088,AW,17_13_12_09_06_04_03_,nothing,0,5
,,,,,,BOSS RAN SHOW WATCHFUL EYE,,
78,2.6526,3.8545,17.0863,TA,22_21_19_16_13_11_04_,the GOLD RING FITS squarely in the,3,5
,,,,,,GOLD RING FITS PIERCED EAR,,
79,2.4108,5.1196,14.5753,AW,22_12_11_08_07_06_04_,STRAIGHT and needy,1,5
,,,,,,KICK BALL STRAIGHT FOLLOW THROUGH,,
80,2.3219,4.8296,17.0291,TA,21_18_14_12_11_06_05_,will click when       with METAL,1,5
,,,,,,GLASS CLINK STRUCK BY METAL,,
