Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,1.9665,3.1875,13.5616,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,when you the bell talk quickly,,7
,,,,,,When you hear the bell come quickly,,
2,2.5566,5.5143,17.33,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,if you leave now you will arrive on time,,8
,,,,,,Leave now and you will arrive on time,,
3,2.3322,2.7145,10.6679,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,he sent the boy on a short errand,,8
,,,,,,He sent the boy on a short errand,,
4,2.2571,3.5351,12.5669,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the long journey home could be a year,,7
,,,,,,The long journey home took a year,,
5,2.1579,4.0253,12.744,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,how can you        to the first page,,7
,,,,,,Open your book to the first page,,
6,2.0875,3.1171,11.9328,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the cornerstone was dropped last night,,7
,,,,,,The corner store was robbed last night,,
7,2.3609,3.9639,13.1316,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,I think           in the side pocket,,8
,,,,,,A thin book fits in the side pocket,,
8,1.9937,2.7945,11.5943,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,wil you please answer that phone,,6
,,,,,,Will you please answer that phone,,
9,2.3592,3.2855,15.613,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,one step more and the board will collapse,,8
,,,,,,One step more and the board will collapse,,
10,2.5901,3.9106,16.2143,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,seven scales were           great sheets,,7
,,,,,,Seven seals were stamped on great sheets,,
11,2.6556,3.2148,14.9743,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the streets are narrow and full of sharp turns,,9
,,,,,,The streets are narrow and full of sharp turns,,
12,2.8093,3.2307,13.1266,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the blind man counted his old coins,,7
,,,,,,The blind man counted his old coins,,
13,2.2146,3.6194,17.2989,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the       pack takes up less space,,7
,,,,,,A flat pack takes less luggage space,,
14,2.1878,2.9164,19.1558,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,she saw a cat at the neighbor's house,,8
,,,,,,She saw a cat in the neighbor's house,,
15,1.9766,3.2209,15.4606,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,green ice frosted the punch bowl,,6
,,,,,,Green ice frosted the punch bowl,,
16,2.7105,5.2278,15.9555,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the gloss on top made it unfit to read,,9
,,,,,,The gloss on top made it unfit to read,,
17,2.7931,3.4216,14.1733,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the store was jammed before the sale could start,,9
,,,,,,The store was jammed before the sale could start,,
18,2.151,3.5557,11.6514,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the green apple fell to the ground,,8
,,,,,,The big red apple fell to the ground,,
19,2.089,2.4703,13.2767,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,small children came to see him,,6
,,,,,,Small children came to see him,,
20,2.2258,4.4777,16.4214,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,take the match and strike it against your shoe,,9
,,,,,,Take the match and strike it against your shoe,,
21,2.7525,3.4862,11.91,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the study            is worst than               ,,9
,,,,,,The steady drip is worse than a drenching rain,,
22,2.6018,3.9357,21.2083,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the stitch will be served need to be shortened,,9
,,,,,,The stitch will serve but needs to be shortened,,
23,2.7208,3.9628,10.1625,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the                is off,,8
,,,,,,The curtain rose and the show was on,,
24,2.3051,3.0391,15.9587,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,stop and stare at the hardware in there,,8
,,,,,,Stop and stare at the hard working man,,
25,2.7613,3.1235,13.0748,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the grass and bushes were wet with dew,,8
,,,,,,The grass and bushes were wet with dew,,
26,2.2805,3.7347,13.3344,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the pail once and let it settle,,8
,,,,,,Dip the pail once and let it settle,,
27,2.9054,2.9226,11.1713,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the severe storm            on the bar,,7
,,,,,,A severe storm tore down the barn,,
28,2.5231,3.1809,13.6047,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the cold dream will please most any girl,,8
,,,,,,A gold ring will please most any girl,,
29,2.6564,3.9488,17.7243,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the         fell on the burnt brown grass,,8
,,,,,,The hail pattered on the burnt brown grass,,
30,2.713,3.4738,14.2413,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,it was a bad error on the part of the new judge,,12
,,,,,,It was a bad error on the part of the new judge,,
