Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,1.9665,4.0672,32.6892,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,WHEN you HEAR the BELL COME QUICKLY,5,5
,,,,,,WHEN HEAR BELL COME QUICKLY,,
2,2.5566,4.9264,15.7985,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,LEAVE NOW and YOU will ARRIVE on TIME,5,5
,,,,,,LEAVE NOW YOU ARRIVE TIME,,
3,2.3322,7.022,21.1337,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,HE SENT tHE BOY on a SHORT errant,5,5
,,,,,,HE SENT BOY SHORT ERRAND,,
4,2.2571,5.3981,33.1655,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,a LONG JOURNEY today...,2,5
,,,,,,LONG JOURNEY HOME TOOK YEAR,,
5,2.1579,3.6617,14.9894,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,OPEN YOUR BOOK to the FIRST PAGE,5,5
,,,,,,OPEN YOUR BOOK FIRST PAGE,,
6,2.0875,4.0971,17.4087,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the CORNER STORE was ROBBED LAST NIGHT,5,5
,,,,,,CORNER STORE ROBBED LAST NIGHT,,
7,2.3609,3.4247,25.5525,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,the theme BOOK FITS inSIDE the SIDE POCKET,4,5
,,,,,,THIN BOOK FITS SIDE POCKET,,
8,1.9937,4.0579,19.3056,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,would you PLEASE ANSWER THAT PHONE?,4,5
,,,,,,WILL PLEASE ANSWER THAT PHONE,,
9,2.3592,3.7903,23.6137,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,ONE STEP MORE and the BOARD will calaps,5,5
