Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.3729,6.945,23.4166,TA,02_10_11_14_16_17_18_,the swings are needed,,7
,,,,,,Brass rings are sold by these natives,,
2,2.2382,4.4707,23.4863,AW,01_05_09_12_16_19_20_,wipe the prints off his dirty face,,7
,,,,,,Wipe the grease off his dirty face,,
3,2.5615,4.556,22.9316,TA,01_05_07_08_09_17_20_,these clothes were seen...,,7
,,,,,,These pills do less good than others,,
4,2.2755,3.6681,16.7068,AW,07_08_09_14_15_18_19_,the boy crossed the high fence,,7
,,,,,,The bog crawled under the high fence,,
5,2.6119,4.3532,25.1607,AW,06_07_08_11_14_15_16_,the jacket flew off the back of his chair,,10
,,,,,,The jacket hung on the back of the wide chair,,
6,2.4047,4.5466,46.7218,AW,02_10_14_16_17_18_20_,the sand creeped past the creek,,7
,,,,,,A small creek cut across the field,,
7,2.6818,8.2686,41.1638,TA,01_06_09_11_12_14_16_,bad parties get wet on rainy days,,7
,,,,,,Tight curls get limp on rainy days,,
8,2.5216,3.9648,22.0193,TA,02_04_07_08_09_13_16_,watch the log float in the wide river,,8
,,,,,,Watch the log float in the wide river,,
9,2.3435,3.9691,36.2164,TA,03_08_11_14_18_19_20_,the stag out back is hard to fit,,7
,,,,,,A siege will crack the strong defense,,
10,2.1005,6.2989,26.8104,TA,01_04_05_09_17_18_20_,shut the gate and hurry up the day,,8
,,,,,,Jump the fence and hurry up the bank,,
11,2.4283,6.9979,23.1335,TA,03_05_07_09_13_17_19_,direct pay now is most preferred,,7
,,,,,,The red tape bound the smuggled food,,
12,2.2774,5.5592,59.6382,AW,01_07_09_11_17_18_20_,there was a sun outside at times,,8
,,,,,,There was a sound of dry leaves outside,,
13,2.2346,5.3242,30.4756,AW,01_03_06_09_10_14_19_,the pipe look less,,7
,,,,,,The pipe began to rust while new,,
14,2.3385,11.1024,36.1817,TA,05_08_10_12_15_16_20_,he just left his glasses in the book,,7
,,,,,,Pages bound in cloth make a book,,
15,2.8842,5.5237,30.6431,AW,01_05_10_11_13_15_16_,the red pin meaned of courage of freinds,,8
,,,,,,The ripe taste of cheese improves with age,,
16,2.3858,8.6338,41.961,AW,01_02_07_11_14_16_19_,who say the change of friends deserves a chance at all?,,6
,,,,,,Thieves who rob friends deserve jail,,
17,2.4537,7.1178,32.7413,AW,01_02_05_06_12_16_20_,the freight of trains are ready to ship,,8
,,,,,,The fruit of a fig tree is apple-shaped,,
18,2.2175,9.9366,31.6561,TA,01_02_06_15_16_18_20_,interesting thinking made sence,,7
,,,,,,Much of the story makes good sense,,
19,2.6918,8.4338,65.1287,AW,04_05_07_10_12_13_20_,we were listening to the mood in the background,,8
,,,,,,Glue the sheet to the dark blue background,,
20,2.8559,5.9672,35.1506,TA,01_02_07_09_11_16_17_,they layed to relax in the clean green grass.,,8
,,,,,,Bathe and relax in the cool green grass,,
21,2.3374,5.0002,11.528,AW,01_02_06_09_15_16_17_,sorry didnt understand,,6
,,,,,,Torn scraps littered the stone floor,,
22,2.5308,6.5163,22.284,TA,01_05_07_10_15_16_17_,you need to come by the bank on main street,,9
,,,,,,The wreck occurred by the bank on main Street,,
23,2.5616,5.0847,26.9881,TA,04_06_07_09_15_16_17_,he took the ax and the shovel to the forest,,10
,,,,,,They took the axe and the saw to the forest,,
24,2.3483,4.9911,23.1747,TA,06_10_12_13_15_18_19_,mexican music is easy for us to hear,,10
,,,,,,Most of the news is easy for us to hear,,
25,2.4303,6.1583,23.9179,TA,05_07_08_09_12_16_20_,something strerch for mails around,,6
,,,,,,Gray paint stretched for miles around,,
26,2.2242,4.6555,35.2145,AW,01_03_06_11_15_17_18_,it amazing we could tell the dept of the well,,9
,,,,,,It's easy to tell the depth of a well,,
27,2.6949,6.9303,26.6898,TA,02_03_04_08_10_13_20_,the water in the glass is hurting my back,,10
,,,,,,They floated on the raft to sun their white backs,,
28,2.5802,6.9414,14.1013,TA,01_05_06_07_14_15_19_,sorry dont know,,8
,,,,,,Nine men were hired to dig the ruins,,
29,2.5859,6.9742,20.5098,TA,04_06_07_12_17_18_19_,its kind of best to tenderize,,8
,,,,,,A cloud of dust stung his tender eyes,,
30,1.7675,3.2978,25.1212,AW,04_05_07_12_13_16_18_,what pair of shoes should i wear with it??,,6
,,,,,,What joy there is in living,,
31,2.3381,4.2929,63.4198,TA,09_12_13_16_18_19_20_,the brown house was sidded at the end,,9
,,,,,,The brown house was on fire to the attic,,
32,2.5116,7.6151,46.4462,TA,02_04_06_08_11_14_17_,the ... you used was to catch gravity finder,,9
,,,,,,The lure is used to catch trout and flounder,,
33,2.2186,4.4209,29.2044,AW,02_04_07_09_10_11_17_,a young child should not be left behind,,7
,,,,,,A young child should not suffer fright,,
34,2.2172,6.412,15.4597,TA,03_04_05_07_10_13_17_,sorry i dont know,,7
,,,,,,The birch looked stark white and lonesome,,
35,2.1789,4.693,10.4048,TA,01_04_07_09_11_12_18_,sorry dont know,,7
,,,,,,Tend the sheep while the dog wanders,,
36,2.2054,5.2122,21.4038,AW,02_06_07_10_13_14_18_,always close the barn door tight,,6
,,,,,,Always close the barn door tight,,
37,2.9307,9.2316,32.311,TA,03_05_08_09_10_11_14_,carried the pans though the wall looked bad,,10
,,,,,,Carry the pail to the wall and spill it there,,
38,2.5498,4.4616,29.1731,TA,01_06_09_11_15_16_18_,change the channel to a creep show,,9
,,,,,,Plead to the council to free the poor thief,,
39,2.5225,5.7273,18.007,TA,01_05_08_11_12_16_17_,change the line to the port side,,7
,,,,,,Heave the line over the port side,,
40,2.2986,3.82,31.0755,TA,04_05_07_09_13_15_17_,we need bread to help or bone help healthy,,8
,,,,,,We need grain to keep our mules healthy,,
41,2.0734,8.7642,27.1066,AW,01_02_03_12_13_17_19_,keep your ears pierced,,6
,,,,,,Cut the pie into large parts,,
42,2.318,7.1212,28.8006,TA,01_02_03_04_09_13_17_,they carried a ledge to the end,,7
,,,,,,He crawled with care along the ledge,,
43,3.1265,6.2153,15.9185,AW,06_07_08_13_14_16_20_,these wallets.......,,10
,,,,,,Those words were the cue for the actor to leave,,
44,2.3052,8.7668,25.3264,AW,03_05_06_12_14_15_16_,something about web feet,,7
,,,,,,Act on these orders with great speed,,
45,3.0687,5.0731,54.3762,TA,01_03_08_10_12_15_18_,the prune cost five cents for one small dish,,7
,,,,,,A cone costs five cents on Mondays,,
46,2.059,8.3137,22.7373,TA,03_06_08_14_18_19_20_,were you working well??,,8
,,,,,,The fly made its way along the wall,,
47,2.7527,6.7893,42.5725,AW,02_03_06_07_15_16_18_,dispite the weather we had a great day,,9
,,,,,,The sky that morning was clear and bright blue,,
48,2.7024,3.9104,37.1418,TA,01_05_08_09_11_14_18_,the door knob was made of bright clean brass.,,8
,,,,,,The doorknob was made of bright clean brass,,
49,2.1351,14.6736,19.3214,AW,04_07_10_14_17_18_20_,sorry dont know,,7
,,,,,,Fairy tales should be fun to write,,
50,2.2322,10.4796,18.2313,TA,01_02_04_06_07_13_20_,sorry dont know,,6
,,,,,,Pink clouds floated with the breeze,,
51,2.854,4.744,44.1749,AW,04_05_07_09_11_16_19_,please try to find the way out if you are full,,8
,,,,,,Leaves turn brown and yellow in the fall,,
52,2.5163,5.0967,36.8241,AW,01_05_08_09_13_14_19_,the cirgar burnt the floor in the best spot,,8
,,,,,,The cigar burned a hole in the desktop,,
