Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.9844,19.2249,43.7443,TA,18_17_13_09_07_05_03_,wash the goop off his face,1,7
,,,,,,Slash the gold cloth into fine ribbons,,
2,2.3771,8.0712,13.0629,AW,22_21_20_13_10_04_03_,sorry dont know,0,8
,,,,,,The wide road shimmered in the hot sun,,
3,2.1443,7.4713,26.7829,AW,21_20_18_14_13_12_06_,i layed back and put my foot up,1,7
,,,,,,A lame back kept his score low,,
4,2.2689,9.9913,22.9909,AW,22_17_15_14_13_10_06_,you go first and get some cake,0,7
,,,,,,Two blue fish swam in the tank,,
5,2.3705,3.856,24.9436,TA,20_19_18_17_12_10_04_,the count will save the day with heros,3,8
,,,,,,A child's wit saved the day for us,,
6,2.3866,4.9533,48.0723,TA,21_17_12_11_09_08_03_,the traffic was at bay while it was windy,1,9
,,,,,,The plant grew large and green in the window,,
7,2.4059,7.4499,41.1451,AW,21_18_17_11_09_05_03_,i won fifth place but wanted you there,0,9
,,,,,,A wisp of cloud hung in the blue air,,
8,2.2719,8.1161,24.3477,TA,17_16_14_12_07_06_04_,us brothers are the same size,4,6
,,,,,,Both brothers wear the same size,,
9,2.6817,5.0307,27.2622,TA,22_21_18_12_11_09_05_,the choice you made is the smart thing,2,9
,,,,,,A joy to every child is the swan boat,,
10,2.25,3.9447,35.4241,AW,22_21_16_15_10_07_05_,the soft cushion made it good bed,3,7
,,,,,,The soft cushion broke the man's fall,,
11,2.5649,4.0681,31.9636,TA,22_20_19_12_11_09_04_,your idea seem interesting,1,8
,,,,,,The idea is to sew both edges straight,,
12,2.2183,5.61,29.0895,AW,22_21_18_16_12_10_06_,you meet with Kay every third week,3,7
,,,,,,The bill was paid every third week,,
13,2.8855,5.1453,29.6088,AW,22_19_14_12_08_06_04_,no clue to the sauce the dads take,2,8
,,,,,,Note closely the size of the gas tank,,
14,2.5318,4.7593,22.4549,AW,21_19_15_12_07_04_03_,a pot of tea helps to pass the evening,9,9
,,,,,,A pot of tea helps to pass the evening,,
15,2.4054,7.1336,16.1574,TA,22_20_18_09_08_06_03_,...this is the best place,4,8
,,,,,,Madam this is the best brand of corn,,
16,2.4263,4.6865,25.678,TA,22_20_16_14_11_06_04_,we sat frozen and watched the screen,6,7
,,,,,,All sat frozen and watched the screen,,
17,2.7625,9.9036,36.919,TA,21_18_13_11_10_08_07_,it should get boring with a lot of trash,2,8
,,,,,,The shaky barn fell with a loud crash,,
18,2.6444,11.8961,53.7912,AW,19_18_15_13_08_06_05_,kick the ball with a quick sharp push,5,8
,,,,,,Split the log with a quick sharp blow,,
19,2.736,5.2127,41.308,TA,21_19_17_11_08_04_03_,the men went together to the woods to gather sticks,9,9
,,,,,,The man went to the woods to gather sticks,,
20,2.5957,8.5718,37.5141,TA,19_18_16_13_10_07_04_,schools for ladies seems to increase,3,7
,,,,,,Schools for ladies teach charm and grace,,
21,2.8489,4.4685,13.1324,AW,21_19_11_10_07_06_03_,sorry i dont know,0,9
,,,,,,The fish twisted and turned on the bent hook,,
22,2.4595,4.1533,65.6,AW,20_18_09_07_06_05_04_,the stray cat give birth to kittens,7,7
,,,,,,The stray cat gave birth to kittens,,
23,2.1745,13.7129,33.7034,TA,21_19_15_13_11_09_03_,back up please that man seems older,0,7
,,,,,,That move means the game is over,,
24,2.4894,8.5417,28.6064,TA,18_17_15_14_10_08_05_,so he changed the fine lines to the painting,5,9
,,,,,,Try to trace the fine lines of the painting,,
25,2.5842,8.1519,73.7745,AW,21_20_19_16_11_09_08_,we boarded the feery at a weekend cost,1,9
,,,,,,The horn of the car woke the sleeping cop,,
26,2.2322,6.1829,23.9345,TA,20_18_14_11_09_08_07_,did you drop down on the work bench yet??,4,8
,,,,,,The beam dropped down on the workmen's head,,
27,2.4558,3.9043,31.9117,AW,19_17_12_11_09_06_04_,the soft breeze came across the calm sea,6,8
,,,,,,The salt breeze came across from the sea,,
28,2.3925,9.8162,32.9126,AW,22_16_13_11_10_08_07_,he knew his skills was right for actors,3,9
,,,,,,He knew the skill of the great young actress,,
29,2.7825,8.4383,15.3421,TA,22_14_11_10_09_08_06_,sorry didnt understand,0,8
,,,,,,The cold drizzle will halt the bond drive,,
30,2.6259,5.4415,41.2488,AW,22_19_13_11_10_06_03_,the show was good with a few breaks,0,9
,,,,,,A shower of dirt fell from the hot pipes,,
31,2.5441,8.064,39.0153,AW,20_19_16_14_13_10_04_,corns of flakes were in her bowl,0,8
,,,,,,Clothes and lodging are free to new men,,
32,1.8857,3.8492,19.3609,TA,21_19_17_16_10_08_06_,each day the show is like new,3,5
,,,,,,Each penny shone like new,,
33,2.5018,5.7211,18.3287,TA,18_17_14_13_10_08_06_,i see your best perfect offer,1,7
,,,,,,High seats are best for football fans,,
34,2.229,3.9069,15.0586,TA,22_21_20_15_13_11_03_,sorry didnt understand,0,7
,,,,,,Fill the ink jar with sticky glue,,
35,2.9088,5.5896,37.333,AW,22_18_17_16_14_07_04_,i cant wait to be out of this office,0,9
,,,,,,A king ruled the state in the early days,,
36,2.3875,4.6572,13.265,AW,19_17_15_14_08_07_06_,something about writer,0,8
,,,,,,The colt reared and threw the tall rider,,
37,2.6636,8.1553,26.4999,AW,21_20_15_13_11_04_03_,her career is misleading as is a swing,2,9
,,,,,,A cramp is no small danger on a swim,,
38,2.5097,6.8582,25.5379,AW,22_15_14_11_08_06_03_,there is a man to your left shoulder,4,7
,,,,,,Hoist the load to your left shoulder,,
39,2.2778,3.5007,21.4454,AW,22_21_18_15_11_09_04_,the girls was fired today at noon,7,8
,,,,,,The new girl was fired today at noon,,
40,2.6235,4.8744,41.6337,TA,20_18_15_11_06_05_04_,those winds seemed to get cold to the feeters,2,6
,,,,,,North winds bring colds and fevers,,
41,2.227,8.4144,17.686,AW,21_20_15_13_10_09_07_,sorrry dont know,0,8
,,,,,,At that high level the air is pure,,
42,2.133,4.7293,27.4968,TA,19_17_16_13_10_05_03_,it takes a big truck to catch a bear,6,9
,,,,,,It takes a good trap to capture a bear,,
43,2.6636,8.6812,35.7206,AW,20_16_13_11_09_07_03_,I ran in to a friend i met at church,1,9
,,,,,,Write a fond note to the friend you cherish,,
44,2.9937,7.328,27.7027,AW,20_16_15_11_10_07_03_,corn is a strong line to a crispier taste,5,9
,,,,,,Port is a strong wine with a smoky taste,,
45,2.3483,12.631,32.6865,TA,21_19_17_16_15_12_05_,something about sick childern,1,8
,,,,,,Mince pie is a dish served to children,,
46,1.8993,11.5498,50.6129,TA,22_21_14_11_10_05_04_,something about it became easy,0,6
,,,,,,Our plans right now are hazy,,
47,1.9089,4.3643,14.2281,TA,22_20_08_06_05_04_03_,sorry i didnt understand,0,8
,,,,,,The cement had dried when he moved it,,
48,2.4894,7.5123,18.3121,TA,21_16_13_11_09_05_04_,sorry didnt understand,0,7
,,,,,,Code is used when secrets are sent,,
49,2.7361,13.8132,22.9409,AW,21_18_16_15_11_08_05_,....his white shirt,3,10
,,,,,,Mud was spattered on the front of his white shirt,,
50,2.6115,3.6855,20.7571,AW,20_17_16_11_09_08_06_,the cup cracked and spilled its contents,7,7
,,,,,,The cup cracked and spilled its contents,,
51,2.5169,6.1713,26.3148,TA,17_15_13_12_06_04_03_,ducks fly high and spill the compass,3,7
,,,,,,Ducks fly north but lack a compass,,
52,2.4695,8.9434,58.3265,TA,22_21_20_10_08_06_05_,please forgive me for bad rules,0,8
,,,,,,Serve the hot rum to the tired heroes,,
53,2.478,5.1553,22.7308,TA,18_17_16_15_08_06_04_,the chain broke in the middle,2,9
,,,,,,The train brought our hero to the big town,,
54,2.4798,4.6857,38.8131,AW,22_18_15_12_10_07_04_,the show is a flop at the very start,7,9
,,,,,,The show was a flop from the very start,,
55,1.9496,6.6783,17.758,TA,17_16_15_07_05_04_03_,..which doctor,0,7
,,,,,,The clan gathered on each dull night,,
56,2.59,6.2329,43.2722,TA,22_21_19_17_16_06_03_,did you every grow up passed the post,0,9
,,,,,,A gem in the rough needs work to polish,,
57,2.6678,6.1622,23.6337,TA,21_19_15_14_13_09_08_,here is a way to make bread pockets,2,8
,,,,,,He used the lathe to make brass objects,,
58,2.3337,5.1183,38.6936,AW,22_16_15_13_09_05_03_,the sat along the side of the cox truck,3,8
,,,,,,The box was thrown beside the parked truck,,
59,2.4609,4.363,36.7703,AW,20_19_18_14_09_07_03_,the boy wraped his cloths around the fence post,5,7
,,,,,,The grass curled around the fence post,,
60,2.5485,7.4474,33.5749,TA,19_17_14_13_12_11_03_,i say closed the door and lets go to bed,0,8
,,,,,,Raise the sail and steer the ship northward,,
61,2.4325,5.502,19.6616,AW,18_17_15_14_08_07_04_,the child hurt the small dog,6,7
,,,,,,The child almost hurt the small dog,,
62,3.1606,5.3288,30.7682,TA,22_19_18_15_12_10_07_,the  of the surface is over flowed,2,11
,,,,,,A ridge on a smooth surface is a bump or flaw,,
63,2.1495,4.5314,16.2351,TA,17_14_13_08_07_04_03_,sorry i dont know,0,8
,,,,,,Even the worst will beat his low score,,
64,2.0564,2.9763,20.7439,TA,21_18_14_13_12_08_04_,try to help the court set the case,6,8
,,,,,,Try to have the court decide the case,,
65,2.4554,8.29,59.401,AW,20_17_16_13_08_06_05_,he was winning outside his box,0,7
,,,,,,The young girl gave no clear response,,
66,2.1999,4.3382,17.1298,AW,22_20_18_17_14_13_08_,before we go let close the door,1,7
,,,,,,The friendly gang left the drug store,,
67,2.51,7.4669,12.9947,AW,22_20_15_13_09_08_03_,sorry dont know,0,7
,,,,,,Place a rosebush near the porch steps,,
68,2.5167,4.697,28.6245,TA,22_16_13_12_10_08_05_,they were pushed back each time they were attacked,7,8
,,,,,,They are pushed back each time they attack,,
69,2.6696,7.2909,54.9698,AW,21_20_19_13_12_08_03_,lets wait in here while the rain will start ,1,8
,,,,,,Both lost their lives in the raging storm,,
70,2.558,4.5574,46.5645,AW,20_19_16_13_11_07_06_,the peddles fell with the next weight,4,9
,,,,,,The petals fall with the next puff of wind,,
71,2.4741,9.5542,14.137,AW,22_21_20_15_09_05_04_,sorry dont know,0,6
,,,,,,Steam hissed from the broken valve,,
72,2.7,3.8531,28.1726,AW,22_17_14_13_12_05_04_,see the cat stairing at the fat mouse,6,8
,,,,,,See the cat glaring at the scared mouse,,
73,2.4335,8.2544,32.8138,TA,20_18_13_09_07_06_04_,the ancient thinking was quite going for,4,8
,,,,,,The ancient coin was quite dull and worn,,
74,2.7566,4.95,33.9653,TA,22_20_19_15_07_06_05_,if you inched you cound get though the waves,0,8
,,,,,,It's a dense crowd in two distinct ways,,
75,2.6573,4.155,9.4828,AW,20_18_17_15_13_04_03_,sorry dont know,0,9
,,,,,,These days a chicken leg is a rare dish,,
76,2.6058,4.9302,13.4899,AW,22_21_20_16_15_11_09_,sorry dont know,0,8
,,,,,,The fruit peel was cut in thick slices,,
77,2.4022,4.0353,18.6429,AW,20_18_16_15_12_10_05_,open the crate but dont brake the glass,8,8
,,,,,,Open the crate but don't break the glass,,
78,2.5541,4.244,41.1073,TA,19_17_16_15_09_07_03_,make sure your finshed then you can play,2,7
,,,,,,Quench your thirst then eat the crackers,,
79,2.2802,3.8702,10.294,AW,22_20_17_13_12_10_05_,sorry i dont know,0,6
,,,,,,Acid burns holes in wool cloth,,
80,2.5239,6.8413,21.5369,AW,21_19_16_15_11_09_06_,you will worn out in sixteen weeks,4,7
,,,,,,The lease ran out in sixteen weeks,,
