Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.4101,7.3853,29.2003,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,The MARSH will frezee WHEN COLD ENOUGH.,,5
,,,,,,MARSH FREEZE WHEN COLD ENOUGH,,
2,2.8403,7.4759,27.4672,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,The strong NEST held 5 ROBINS,,5
,,,,,,STRAW NEST HOUSED FIVE ROBINS,,
3,2.634,4.7064,18.2417,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,SAY it SLOWLY to MAKE it really CLEAR.,,5
,,,,,,SAY SLOWLY MAKE RING CLEAR,,
4,2.7702,4.8748,20.7381,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,The DRY WAX PROTECTS the DEEP SCRATCH,,5
,,,,,,DRY WAX PROTECTS DEEP SCRATCH,,
5,3.0234,3.5687,15.8167,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,SEED is NEEDED to PLANT the SPRING CORN.,,5
,,,,,,SEED NEEDED PLANT SPRING CORN,,
6,2.9425,7.7138,28.3528,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,SCREEN the PORCH with WOVEN STRAW MATS.,,5
,,,,,,SCREEN PORCH WOVEN STRAW MATS,,
7,1.9922,3.4751,16.4985,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,The SHEEP were lead HOME BY a DOG.,,5
,,,,,,SHEEP LED HOME BY DOG,,
8,2.8765,6.4749,19.7304,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,The cap slip INTO the CROWD and was LOST.,,5
,,,,,,CHAP SKIPPED INTO CROWD LOST,,
9,1.8953,4.1779,15.7212,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,ONCE WE STOOD up by the SHORE.,,5
,,,,,,ONCE WE STOOD BESIDE SHORE,,
10,2.3172,4.1837,22.4629,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,New harships seemed to KEEP HIM SAD.,,5
,,,,,,NO HARDSHIP KEEP HIM SAD,,
11,2.7106,4.1819,22.3096,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,The POINT of the STEEL? was BENT and TWISTED.,,5
,,,,,,POINT STEEL PEN BENT TWISTED,,
12,2.4776,5.06,33.5147,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,THe  ? the SHOE HAD a gOLD buckel.,,5
,,,,,,VAMP SHOE HAD OLD BUCKLE,,
13,1.9772,7.0725,21.7759,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,Take the dog FROM the ? TARGET.,,5
,,,,,,JERK DART FROM CORK TARGET,,
14,2.5096,3.2275,20.0909,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,He PICKED UP the DICE for a SECOND ROLL.,,5
,,,,,,PICKED UP DICE SECOND ROLL,,
15,2.0023,3.1045,14.304,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,New CEMENT will meet HARD WOOD.,,5
,,,,,,NO CEMENT HOLD HARD WOOD,,
16,2.4497,3.5237,21.4669,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,THREE for a DIME the YOUNG PEDDLER CRIED.,,5
,,,,,,THREE DIME YOUNG PEDDLER CRIED,,
17,1.9331,13.1892,43.3882,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,knock GENTLY to make it come out,,5
,,,,,,NUDGE GENTLY WAKE HER NOW,,
18,2.409,14.818,36.4571,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,HATS were WORN to TEA before DINNER.,,5
,,,,,,HATS WORN TEA NOT DINNER,,
19,2.4854,8.1865,18.4667,TA,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,The NAG PULLED the car ALONG,,5
,,,,,,NAG PULLED FRAIL CART ALONG,,
20,2.3819,6.6083,33.9992,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,The seam in  the WALL had a DRAFT to BLOW,,5
,,,,,,CHINK WALL ALLOWED DRAFT BLOW,,
21,2.0618,3.79,16.1573,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,The POD of PEAS is GROWINg,,5
,,,,,,POD PEAS ALWAYS GROW IN,,
22,2.5943,3.6795,21.5907,AW,22_21_20_19_18_17_16_15_14_13_12_11_10_09_08_07_06_05_04_03_,THe LIST of NAMES are current AROUND the BASE,,5
,,,,,,LIST NAMES CARVED AROUND BASE,,
