Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.3833,10.0496,24.481,TA,19_18_16_13_12_07_04_,? something in the middle of the road,,10
,,,,,,They are men who walk the middle of the road,,
2,2.4626,7.4367,25.9151,AW,19_17_16_12_10_06_03_,The antique glasses stood over 10 feet,,8
,,,,,,The empty flask stood on the tin tray,,
3,2.4818,8.542,16.5656,AW,20_16_10_09_07_04_03_,? being close,,8
,,,,,,Bring your best compass to the third class,,
4,2.4944,0,13.0599,TA,22_17_11_10_09_07_05_,,,8
,,,,,,Jerk the rope and the bell rings weakly,,
5,1.7373,0,11.7997,TA,21_19_15_13_08_04_03_,,,8
,,,,,,Write at once or you may forget it,,
6,2.2309,6.8162,16.536,AW,21_15_12_09_07_05_04_,We ? for pleasure,,6
,,,,,,Read verse out loud for pleasure,,
7,2.0152,5.8998,17.1794,AW,22_21_14_10_09_08_05_,Pure breed poodles have ?,,5
,,,,,,Pure bred poodles have curls,,
8,2.5146,10.178,15.0096,TA,22_14_13_11_10_08_05_,Winter ?,,8
,,,,,,Women form less than half of the group,,
9,2.1886,20.2032,26.5309,AW,21_20_18_15_13_05_04_,just cold ,,7
,,,,,,The just claim got the right verdict,,
10,2.198,7.5262,13.9018,TA,20_19_16_13_11_09_05_,share of profit,,7
,,,,,,Take two shares as a fair profit,,
11,2.6526,6.2528,12.9085,TA,17_16_14_12_07_04_03_,No snow on ,,7
,,,,,,The stale smell of old beer lingers,,
12,2.4345,5.3502,18.5738,TA,15_13_09_08_06_04_03_,need one person to vouch for you,,8
,,,,,,He asks no person to vouch for him,,
13,2.4646,4.1574,20.0449,TA,22_21_20_16_13_11_09_,He pour the food into the pot,,9
,,,,,,Pour the stew from the pot into the plate,,
14,2.3106,6.2907,12.0424,TA,19_17_15_10_08_07_05_,the ? was slow,,7
,,,,,,To make pure ice you freeze water,,
15,2.7817,7.7703,18.5537,AW,21_17_13_08_07_05_03_,the ? is uede to make coats,,9
,,,,,,A saw is a tool used for making boards,,
16,2.3827,6.0092,14.4647,AW,22_20_16_11_08_04_03_,the treetop layers ,,8
,,,,,,The tree top waved in a graceful way,,
17,2.2785,9.6688,24.5643,AW,22_18_16_11_10_09_06_,the ? belonged to the awful hat,,7
,,,,,,The tiny girl took off her hat,,
18,2.4364,10.9652,17.165,AW,20_17_15_14_11_06_04_,? on the highway,,7
,,,,,,These thistles bend in a high wind,,
19,2.2716,11.1952,26.0744,AW,21_18_16_11_08_07_05_,? the coach go flying around,,7
,,,,,,Mend the coat before you go out,,
20,2.4984,8.2333,17.8889,AW,21_17_16_13_06_05_04_,the goat found his way home,,7
,,,,,,A salt pickle tastes fine with ham,,
