Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.4101,1.5685,7.0852,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the MARSH will FREEZE WHEN COLD ENOUGH,,5
,,,,,,MARSH FREEZE WHEN COLD ENOUGH,,
2,2.8403,2.5706,7.7632,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the STRAW NEST HOUSED 5 ROBINS,,5
,,,,,,STRAW NEST HOUSED FIVE ROBINS,,
3,2.634,1.7537,14.7542,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,SAY it SLOWLY and it MAKE it RING CLEAR,,5
,,,,,,SAY SLOWLY MAKE RING CLEAR,,
4,2.7702,2.2052,8.9811,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the DRY WAX PROTECTS the DEEP SCRATCH,,5
,,,,,,DRY WAX PROTECTS DEEP SCRATCH,,
5,3.0234,1.3134,7.1702,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,SEED is NEEDED to PLANT the SPRING CORN,,5
,,,,,,SEED NEEDED PLANT SPRING CORN,,
6,2.9425,1.0396,8.937,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,SCREEN the PORCH with WOVEN STRAW MATS,,5
,,,,,,SCREEN PORCH WOVEN STRAW MATS,,
7,1.9922,0.96418,6.5478,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the SHEEP were LED HOME BY a DOG,,5
,,,,,,SHEEP LED HOME BY DOG,,
8,2.8765,1.0667,9.9392,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the CHAP slipped INTO the CROWD and was LOST,,5
,,,,,,CHAP SKIPPED INTO CROWD LOST,,
9,1.8953,0.94197,8.8305,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,ONCE WE STOOD BESIDE the SHORE,,5
,,,,,,ONCE WE STOOD BESIDE SHORE,,
10,2.3172,1.1684,7.897,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,NO HARDSHIP seemed to KEEP HIM SAD,,5
,,,,,,NO HARDSHIP KEEP HIM SAD,,
11,2.7106,0.75311,8.8739,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the POINT of the STEEL PEN was BENT and TWISTED,,5
,,,,,,POINT STEEL PEN BENT TWISTED,,
12,2.4776,0.81363,14.2144,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the VAMP of the SHOE HAD a GOLD BUCKLE,,5
,,,,,,VAMP SHOE HAD GOLD BUCKLE,,
13,1.9772,1.8925,8.2694,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,JERK the dog FROM the quark TARGET,,5
,,,,,,JERK DART FROM CORK TARGET,,
14,2.5096,1.0968,10.1205,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,he PICKED UP the DICE for a 2nd ROLL,,5
,,,,,,PICKED UP DICE SECOND ROLL,,
15,2.0023,1.6338,6.2256,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,NO CEMENT will HOLD HARD WOOD,,5
