Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,3.2558,4.3268,8.3423,TA,01_02_09_12_13_18_20_,was CARVED with FINE DESIGNS,,5
,,,,,,HILT SWORD CARVED FINE DESIGNS,,
2,2.3065,6.3776,8.0262,AW,04_07_08_09_12_13_15_,to WASTE,,5
,,,,,,EIGHT MILES WOODLAND BURNED WASTE,,
3,2.6102,3.9355,8.3191,AW,01_02_03_09_10_13_15_,filled with junk,,5
,,,,,,ODOR SPRING YOUNG HEARTS JUMP,,
4,2.5864,4.4108,6.6507,AW,01_03_05_08_14_17_18_,aged BOOKS,,5
,,,,,,GUY WRITER FEW BANNED BOOKS,,
5,2.5141,2.8917,11.0408,TA,03_06_08_09_10_11_15_,CRACK the WALNUT with your SHARP SIDE TEETH,,5
,,,,,,CRACK WALNUT SHARP SIDE TEETH,,
6,2.4649,2.7062,9.6107,TA,04_08_13_14_16_18_20_,the EARLY PHASE of LIFE MOVES FAST,,5
,,,,,,EARLY PHASE LIFE MOVES FAST,,
7,2.7215,2.9966,12.3011,AW,01_03_07_12_13_15_18_,there is a STRONG CHANCE it will HAPPEN ONCE MORE,,5
,,,,,,STRONG CHANCE HAPPEN ONCE MORE,,
8,2.6425,2.737,9.1616,TA,03_06_07_10_15_16_20_,he TOOK the LEAD and KEPT it the WHOLE DISTANCE,,5
,,,,,,TOOK LEAD KEPT WHOLE DISTANCE,,
9,2.1591,6.3975,13.5651,TA,01_04_05_08_14_15_18_,MAKES swallowing,,5
,,,,,,LIGHT MAPLE MAKES SWELL ROOM,,
10,2.1218,3.529,9.9368,AW,02_03_04_10_14_15_19_,the thirsty beast STOOD by the ,,5
,,,,,,DUSTY BENCH STOOD STONE WALL,,
11,2.2689,3.0982,8.3381,TA,04_06_11_12_13_16_17_,breafkast with a HOT DRINK,,5
,,,,,,BREAKFAST BUNS FINE HOT DRINK,,
12,2.8179,3.6916,9.6904,AW,02_06_11_12_16_17_20_,the BARREL of BEER was ,,5
,,,,,,BARREL BEER BREW MALT HOPS,,
13,2.6636,4.1352,10.4788,AW,08_09_11_12_14_18_20_,craft is NOw SMALL DANGER SWIM,,5
,,,,,,CRAMP NO SMALL DANGER SWIM,,
14,2.6189,3.6197,8.2744,AW,02_04_05_06_13_18_20_,JAZZers like FAST MUSIC,,5
,,,,,,JAZZ SWING FANS FAST MUSIC,,
15,2.621,4.2474,9.2952,TA,01_06_12_13_14_15_19_,and WATCH the BOYS MARCH,,5
,,,,,,STOP WHISTLING WATCH BOYS MARCH,,
16,2.6137,3.0203,9.6453,TA,02_03_06_11_15_16_17_,the CIGAR BURNED a HOLE in the DESKTOP,,5
,,,,,,CIGAR BURNED HOLE DESK TOP,,
17,2.3193,2.2327,7.9695,TA,02_05_10_12_13_14_18_,the WIDE ROAD SHIMMERED in the HOT SUN,,5
,,,,,,WIDE ROAD SHIMMERED HOT SUN,,
