Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.4101,2.8221,10.9399,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the MARSH will FREEZE WHEN COLD ENOUGH,,5
,,,,,,MARSH FREEZE WHEN COLD ENOUGH,,
2,2.8403,2.9773,9.018,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the strong NEST HOUSED FIVE ROBINS,,5
,,,,,,STRAW NEST HOUSED FIVE ROBINS,,
3,2.634,3.0498,11.2092,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,SAY it SLOWLY but MAKE it RING CLEAR,,5
,,,,,,SAY SLOWLY MAKE RING CLEAR,,
4,2.7702,2.9098,10.9266,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the DRY WAX PROTECTS the DEEP SCRATCH,,5
,,,,,,DRY WAX PROTECTS DEEP SCRATCH,,
5,3.0234,3.243,9.4836,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,SEED is NEEDED to PLANT the SPRING CORN,,5
,,,,,,SEED NEEDED PLANT SPRING CORN,,
6,2.9425,3.3704,10.8412,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,SCREEN the PORCH with WOVEN STRAW MATS,,5
,,,,,,SCREEN PORCH WOVEN STRAW MATS,,
7,1.9922,2.6477,9.0634,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the SHEEP were LED HOME BY a DOG,,5
,,,,,,SHEEP LED HOME BY DOG,,
8,2.8765,3.2546,10.0699,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the cap slipped INTO the CROWD and was LOST,,5
,,,,,,CHAP SKIPPED INTO CROWD LOST,,
9,1.8953,2.838,7.5815,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,ONCE WE STOOD BESIDE the SHORE,,5
,,,,,,ONCE WE STOOD BESIDE SHORE,,
10,2.3172,2.833,8.9766,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,NO HARDSHIPs seemed to KEEP HIM SAD,,5
,,,,,,NO HARDSHIP KEEP HIM SAD,,
11,2.7106,3.4962,12.3517,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the POINT of the STEEL PEN was BENT and TWISTED,,5
,,,,,,POINT STEEL PEN BENT TWISTED,,
12,2.4776,2.9094,9.7413,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the VAMP of the SHOE HAD a gOLD BUCKLE,,5
,,,,,,VAMP SHOE HAD OLD BUCKLE,,
13,1.9772,3.6531,9.7725,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,JERK the DART FROM the core TARGET,,5
,,,,,,JERK DART FROM CORK TARGET,,
14,2.5096,2.9132,8.4328,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,he PICKED UP the DICE for a SECOND ROLL,,5
,,,,,,PICKED UP DICE SECOND ROLL,,
15,2.0023,2.5973,7.7969,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,NO CEMENT will HOLD HARD WOOD,,5
,,,,,,NO CEMENT HOLD HARD WOOD,,
16,2.4497,2.6833,8.8508,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,THREE for a DIME the YOUNG PEDDLER CRIED,,5
,,,,,,THREE DIME YOUNG PEDDLER CRIED,,
17,1.9331,2.6007,8.0483,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,NUDGE GENTLY but WAKE HER NOW,,5
,,,,,,NUDGE GENTLY WAKE HER NOW,,
18,2.409,2.8117,10.1766,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,HATS are WORN to TEA and NOT to DINNER,,5
,,,,,,HATS WORN TEA NOT DINNER,,
19,2.4854,2.732,8.6766,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the NAG PULLED the FRAIL CART ALONG,,5
,,,,,,NAG PULLED FRAIL CART ALONG,,
20,2.3819,2.8227,9.7983,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the CHINK in the WALL ALLOWED a DRAFT to BLOW,,5
,,,,,,CHINK WALL ALLOWED DRAFT BLOW,,
21,2.0618,2.3282,8.521,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,a POD is what PEAS ALWAYS GROW IN,,5
,,,,,,POD PEAS ALWAYS GROW IN,,
22,2.5943,3.0464,9.2068,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,a LIST of NAMES is CARVED AROUND the BASE,,5
,,,,,,LIST NAMES CARVED AROUND BASE,,
23,2.4278,2.6638,8.9205,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the RAMP LED UP to the WIDE HIGHWAY,,5
,,,,,,RAMP LED UP WIDE HIGHWAY,,
24,2.8732,3.1891,10.7978,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the SAND DRIFTS OVER the SILL of the old HOUSE,,5
,,,,,,SAND DRIFTS OVER SILL HOUSE,,
25,2.6715,2.869,9.2775,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,TWIST the VALVE and RELEASE HOT STEAM,,5
,,,,,,TWIST VALVE RELEASE HOT STEAM,,
26,2.4966,2.8724,11.3275,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the BOYhood is THIRTY CENTS,,5
,,,,,,BOY OWED PAL THIRTY CENTS,,
27,2.7327,2.7286,9.0092,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the SMELL of BURNED RAGS ITCHES my NOSE,,5
,,,,,,SMELL BURNED RAGS ITCHES NOSE,,
28,2.7268,2.7709,9.3237,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,THIS HORSE will NOSE his WAY to the FINISH,,5
,,,,,,THIS HORSE NOSE WAY FINISH,,
29,2.6411,3.0334,9.5187,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the SENSE of SMELL is BETTER THAN that of TOUCH,,5
,,,,,,SENSE SMELL BETTER THAN TOUCH,,
30,2.5735,2.828,10.2686,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the NEWS STRUCKed out to RESTLESS MINDS,,5
,,,,,,NEWS STRUCK DOUBT RESTLESS MINDS,,
31,2.5898,2.995,8.939,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,THERE is a LAG BETWEEN THOUGHT and ACT,,5
,,,,,,THERE LAG BETWEEN THOUGHT ACT,,
32,2.0294,2.4349,7.8663,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,GRACE MAKES UP for LACK of BEAUTY,,5
,,,,,,GRACE MAKES UP LACK BEAUTY,,
33,2.5239,3.0729,9.0645,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,NEW PANTS LACK cuff and POCKETS,,5
,,,,,,NEW PANTS LACK CUFFS POCKETS,,
34,2.0961,2.2732,10.2336,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,FASTEN TWO PINS on EACH SIDE,,5
,,,,,,FASTEN TWO PINS EACH SIDE,,
35,2.0226,2.4575,7.3452,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,we NOW HAVE a NEW BASE for SHIPPING,,5
,,,,,,NOW HAVE NEW BASE SHIPPING,,
36,3.0005,3.9659,11.2133,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,BEAT the DUST from the RUG ONTO the LAWN,,5
,,,,,,BEAT DUST RUG ONTO LAWN,,
37,2.3174,2.5425,8.6231,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,he TAKES the OATH of OFFICE EACH MARCH,,5
,,,,,,TAKES OATH OFFICE EACH MARCH,,
38,2.5653,2.3043,8.3609,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,DRAW the CHART with HEAVY BLACK LINES,,5
,,,,,,DRAW CHART HEAVY BLACK LINES,,
39,2.3166,2.7141,10.1042,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,THESE COINS will be NEEDED to PAY his DEBT,,5
,,,,,,THESE COINS NEEDED PAY DEBT,,
40,2.42,2.8893,10.3129,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the COLD DIP RESTORES HEALTH and ZEST,,5
,,,,,,COLD DIP RESTORES HEALTH ZEST,,
