Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.3682,6.2733,14.393,TA,01_02_04_09_10_18_19_,the of PINK SALMON,,5
,,,,,,ROD USED CATCH PINK SALMON,,
2,2.4127,3.2539,14.0212,AW,03_06_09_13_16_17_19_,his STRONG ARMs must SHIELD your HONOR,,5
,,,,,,STRONG ARM SHALL SHIELD HONOR,,
3,2.7588,3.6559,9.2394,AW,01_02_05_06_10_12_16_,a SIX COMES up MORE OFTEN than a TEN,,5
,,,,,,SIX COMES MORE OFTEN TEN,,
4,2.2926,2.9968,10.1964,TA,07_08_10_11_13_17_19_,the toe ROSE FROM the EDGE of the WATER,,5
,,,,,,DUNE ROSE FROM EDGE WATER,,
5,2.4228,4.0971,10.8406,AW,07_08_09_12_17_18_20_,the COVERing long DRAPES were BLUE,,5
,,,,,,COUCH COVER HALL DRAPES BLUE,,
6,2.4418,3.6487,9.8162,AW,01_05_10_15_17_18_20_,the biking DAM CAUSED a FLOOD,,5
,,,,,,BREAK DAM ALMOST CAUSED FLOOD,,
7,2.59,7.9065,14.994,TA,05_10_12_14_16_17_18_,i drove in the ROUGH NEEDS POLISH,,5
,,,,,,GEM ROUGH NEEDS WORK POLISH,,
8,2.9995,3.7078,11.1392,AW,03_06_07_10_11_16_20_,the clown did a sting wave and was GONE,,5
,,,,,,CLOUD MOVED STATELY WAY GONE,,
9,2.6169,3.3601,9.8717,AW,02_04_05_10_11_12_19_,the TOAD of a FROG reflects,,5
,,,,,,TOAD FROG HARD TELL APART,,
10,2.2591,4.264,10.2717,AW,03_04_07_08_10_19_20_,the world he was aSLEEP,,5
,,,,,,THEIR EYELIDS DROOP WANT SLEEP,,
11,2.2887,4.2834,7.8433,AW,01_02_04_10_13_15_17_,is STYLISH right here,,5
,,,,,,FUR MUFF STYLISH ONCE MORE,,
12,2.4054,3.5837,8.5672,TA,01_04_08_09_13_15_16_,MADAM THIS is the BEST thing of CORN,,5
,,,,,,MADAM THIS BEST BRAND CORN,,
13,1.8692,3.7338,10.9334,AW,06_08_12_13_18_19_20_,take the TRUST FUND to the BANK EARLY,,5
,,,,,,GET TRUST FUND BANK EARLY,,
14,2.3394,6.7819,11.9816,AW,03_04_07_11_12_18_19_,sick the DUST for the STRANGER,,5
,,,,,,SHAKE DUST YOUR SHOES STRANGER,,
15,2.9639,4.9304,14.8018,AW,03_06_11_13_14_16_20_,underneath the GROUND FLOOR was a lost PASSAGE,,5
,,,,,,REAR GROUND FLOOR LARGE PASSAGE,,
16,2.057,2.8952,11.5671,TA,01_02_04_05_10_12_18_,READ this OUT LOUD for PLEASURE,,5
,,,,,,READ VERSE OUT LOUD PLEASURE,,
17,3.2259,3.6574,12.297,TA,01_02_08_10_11_13_14_,the march CANOE SLID of the PLANKS,,5
,,,,,,BIRCH CANOE SLID SMOOTH PLANKS,,
18,2.5199,5.4994,5.4998,TA,03_04_05_11_17_18_19_,,,5
,,,,,,FAKE STONES SHINE COST LITTLE,,
19,2.3776,3.811,11.6825,AW,04_09_11_12_13_15_16_,fresh on the beach with the end of a LONG POLE,,5
,,,,,,HURDLE PIT AID LONG POLE,,
20,2.3177,3.3663,10.6138,AW,03_04_05_07_10_14_16_,the sNOw hills on the south are small,,5
,,,,,,POST NO BILLS OFFICE WALL,,
21,2.3517,3.0345,11.202,TA,04_06_08_11_12_15_20_,the HITCH BETWEEN the HORSE and CART BROKE,,5
,,,,,,HITCH BETWEEN HORSE CART BROKE,,
22,2.1937,3.1148,11.6904,TA,01_06_07_14_15_16_20_,he chased at the RIGHT VERDICT,,5
,,,,,,JUST CLAIM GOT RIGHT VERDICT,,
23,2.5525,3.6908,12.7543,AW,03_06_07_09_10_12_14_,the pressed it one with the loose stick,,5
,,,,,,LEAF DRIFTS ALONG SLOW SPIN,,
24,1.9089,2.6105,9.1701,TA,02_05_09_10_15_16_20_,the CEMENT had DRIED WHEN he MOVED IT,,5
,,,,,,CEMENT DRIED WHEN MOVED IT,,
25,2.3925,3.3951,9.5865,TA,02_03_08_12_14_17_19_,the way the CUTS and trim ANY WOOD,,5
,,,,,,LATHE CUTS TRIMS ANY WOOD,,
26,2.4719,3.3521,12.3759,AW,01_05_07_09_12_13_17_,EVERY WORD and france SPEAKS,,5
,,,,,,EVERY WORD PHRASE SPEAKS TRUE,,
27,2.138,2.9875,8.915,TA,04_08_10_13_14_16_20_,the vampire axed the mint muffin,,4
,,,,,,MAP HAD MEANT NOTHING,,
28,2.6458,4.7748,6.1587,AW,01_03_05_06_07_19_20_,sand dune,,5
,,,,,,OATS FOOD EATEN HORSE MAN,,
29,2.3828,3.0713,8.8149,TA,04_08_12_13_14_15_17_,success LEVELs of AIR is PURE,,5
,,,,,,AT HIGH LEVEL AIR PURE,,
30,2.5006,4.6433,7.4669,TA,02_04_11_12_13_16_17_,staying FLOOR,,5
,,,,,,TORN SCRAPS LITTERED STONE FLOOR,,
31,2.3379,3.2019,8.5293,AW,04_05_08_09_12_13_18_,the SMALL RED LAMP lights OUT,,5
,,,,,,SMALL RED NEON LAMP OUT,,
32,2.4695,3.9542,6.2099,TA,01_07_08_10_12_17_18_,zeros,,5
,,,,,,SERVE HOT RUM TIRED HORSES,,
33,2.9637,4.4498,11.2813,TA,01_03_04_07_11_15_19_,the ball of BEER was of melted hearts,,5
,,,,,,BARREL BEER BREW MALT HOPS,,
34,2.1806,3.2029,4.4826,TA,05_07_08_10_17_18_20_,PARTY,,5
,,,,,,SANG SAME TUNES EACH PARTY,,
35,2.4505,5.7394,7.7793,TA,04_05_08_14_15_18_20_,crusty,,5
,,,,,,GOLD VASE BOTH RARE COSTLY,,
36,2.331,3.1228,11.8423,TA,02_05_06_08_13_14_15_,sign the bell BETWEEN the TWO LEAVES,,5
,,,,,,SLIDE BILL BETWEEN TWO LEAVES,,
37,1.818,2.3309,6.2586,AW,01_02_03_07_10_18_19_,some STORIES MAKE me LAUGH,,5
,,,,,,DULL STORIES MAKE HER LAUGH,,
38,2.4945,3.1213,8.7528,TA,02_04_13_16_17_19_20_,to DRINK from a BUCKET,,5
,,,,,,COAX YOUNG CALF DRINK BUCKET,,
39,2.8463,3.3626,12.1061,TA,01_02_04_06_11_12_18_,these DAYS a CHICKEN LEG is a RARE DISH,,5
,,,,,,DAYS CHICKEN LEG RARE DISH,,
40,2.318,4.83,11.1497,TA,01_07_10_11_12_17_18_,the KEY DESIGNED will FIT the LOCK*,,5
,,,,,,KEY YOU DESIGNED FIT LOCK,,
41,2.5609,3.036,9.2519,AW,01_02_03_07_13_14_18_,dragged on TENDER speedways,,5
,,,,,,CALVES THRIVE TENDER SPRING GRASS,,
42,1.8993,2.5555,7.0595,TA,02_03_06_11_12_16_17_,the clams RIGHT NOW are easy,,5
,,,,,,OUR PLANS RIGHT NOW HAZY,,
43,2.2036,3.9787,9.1062,AW,01_04_12_15_17_19_20_,sin WHEN you SAY NASTY WORDS,,5
,,,,,,SMILE WHEN SAY NASTY WORDS,,
44,2.7825,4.1472,7.4989,TA,01_07_10_11_13_16_17_,will help the long DRIVE,,5
,,,,,,COLD DRIZZLE HALT BOND DRIVE,,
45,2.5703,3.7645,12.6199,AW,06_07_12_14_15_16_20_,the peasant HOURS FLY by much TOO SOON,,5
,,,,,,PLEASANT HOURS FLY TOO SOON,,
46,2.4393,2.9027,9.3348,TA,03_06_07_10_13_18_20_,that was a cool HIGH in the shift CORNER,,5
,,,,,,PILE COAL HIGH SHED CORNER,,
47,2.4054,3.3493,10.5327,AW,02_06_08_10_11_16_18_,a ball of RICE is for you with CHICKENs too,,5
,,,,,,BOWL RICE FREE CHICKEN STEW,,
48,2.5921,3.3181,11.4539,TA,08_09_11_12_14_18_20_,the white SHIFT men EXTRA PAY,,5
,,,,,,NIGHT SHIFT RATE EXTRA PAY,,
49,3.2946,4.0105,9.234,AW,01_07_08_10_12_13_19_,by a mouse and bees and SHRUBS,,5
,,,,,,HIDDEN SIGHT MASS LEAVES SHRUBS,,
