Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.8234,7.919,28.0935,TA,02_03_04_10_14_16_18_,The --- so WRITE with MUCH CARE.,,5
,,,,,,PAPER SCARCE WRITE MUCH CARE,,
2,2.7651,3.4591,16.9941,AW,02_04_06_08_11_15_17_,The HEART BEAT FIRMly on its first STROKES.,,5
,,,,,,HEART BEAT STRONGLY FIRM STROKES,,
3,2.0399,8.584,25.2786,AW,02_05_07_08_12_14_18_,The --- will stay with still WATER.,,5
,,,,,,RAG SOAK UP SPILLED WATER,,
4,2.3925,6.6298,32.1399,TA,01_05_06_07_12_14_17_,Delay the cups in --- would.,,5
,,,,,,LATHE CUTS TRIMS ANY WOOD,,
5,2.5358,17.2861,18.0538,AW,02_03_10_11_13_14_17_,?,,5
,,,,,,ROD USED CATCH PINK SALMON,,
6,2.4882,4.553,21.6796,AW,01_04_10_16_17_18_20_,WE --- on the SIMPLEST THINGS.,,5
,,,,,,WE FIND JOY SIMPLEST THINGS,,
7,2.4031,5.6427,14.506,TA,02_07_08_09_15_18_19_,Pop the CORD that runs the BOX TIGHTLY.,,5
,,,,,,CUT CORD BINDS BOX TIGHTLY,,
8,2.4906,3.3463,14.9933,AW,04_06_07_13_14_17_20_,The coffe STAND is TOO HIGH for the COUCH.,,5
,,,,,,COFFEE STAND TOO HIGH COUCH,,
9,2.9383,10.7177,13.5733,AW,02_05_10_11_13_14_16_,?,,5
,,,,,,HEMP WEED FOUND PARTS TROPICS,,
10,2.6072,14.0436,26.6025,AW,02_03_06_09_12_13_14_,High and FAST LEADS to WRONG food.,,5
,,,,,,ADDING FAST LEADS WRONG SUMS,,
11,2.351,8.7003,16.0433,AW,07_10_12_17_18_19_20_,#NAME?,,5
,,,,,,TAKE WINDING PATH REACH LAKE,,
12,3.1203,3.6188,13.9391,TA,02_04_08_09_10_14_19_,The -- FELL and TUMBLED into the CLEAR STREAM.,,5
,,,,,,LOGS FELL TUMBLED CLEAR STREAM,,
13,2.1907,5.3628,17.1138,AW,02_06_07_10_14_15_16_,He filled the corncob QUITE NEATLY.,,5
,,,,,,SEWED TORN COAT QUITE NEATLY,,
14,2.8036,16.255,28.4137,AW,01_07_11_15_16_18_19_,He -- the sun fell to the surface.,,5
,,,,,,WE TALKED SIDE SHOW CIRCUS,,
15,2.6796,5.977,6.9447,AW,03_06_08_10_11_15_18_,?,,5
,,,,,,MESH WIRE KEEPS CHICKS INSIDE,,
16,2.3183,11.9224,22.4813,TA,01_02_10_11_13_17_20_,#NAME?,,5
,,,,,,DRIP RAIN MADE PLEASANT SOUND,,
17,2.8584,15.9178,29.6204,TA,03_06_07_11_12_17_20_,He  --,,5
,,,,,,SOAK CLOTH DROWN SHARP ODOR,,
18,2.7317,3.9281,15.2578,TA,03_07_08_10_14_18_20_,The STORE WALLS were LINED with COLORED FROCKS.,,5
,,,,,,STORE WALLS LINED COLORED FROCKS,,
19,2.5212,3.801,10.6804,AW,03_06_08_16_18_19_20_,The SLUSH LAY DEEP ALONG the STREET.,,5
,,,,,,SLUSH LAY DEEP ALONG STREET,,
20,2.4292,2.8635,16.4325,AW,04_05_08_10_13_17_19_,The HAS a SMART WAY of WEARING CLOTHES.,,5
,,,,,,HAS SMART WAY WEARING CLOTHES,,
21,2.0977,3.0376,11.2858,TA,02_03_06_09_12_16_19_,AFTER the DANCE they WENT STRAIGHT HOME.,,5
,,,,,,AFTER DANCE WENT STRAIGHT HOME,,
22,1.8899,15.5538,26.0888,TA,04_05_08_11_14_15_17_,Struck the word at EVERY CRACK.,,5
,,,,,,SMOKE POURED OUT EVERY CRACK,,
23,2.5424,3.4861,17.493,AW,03_05_08_09_13_14_18_,The --- SEEMS DULL and QUITE STUPID.,,5
,,,,,,PLAY SEEMS DULL QUITE STUPID,,
24,3.1451,9.5681,21.2791,TA,02_07_09_11_17_18_19_,The --- for FOOD is the HOT CROSS BUN.,,5
,,,,,,ZESTFUL FOOD HOT CROSS BUN,,
25,2.1472,2.9498,9.5893,TA,03_06_11_12_16_18_19_,The FIRST one GETS SNAPPED EARLY.,,5
,,,,,,FIRST WORM GETS SNAPPED EARLY,,
26,2.5355,3.1416,12.5331,AW,01_02_09_10_16_17_19_,The yound KID jumps the RUSTY GATE.,,5
,,,,,,YOUNG KID JUMPED RUSTY GATE,,
27,2.8078,5.3649,15.8519,TA,02_08_15_16_17_18_19_,The --- the LAST clothes.,,5
,,,,,,LET JOIN SING LAST CHORUS,,
28,2.7127,17.7056,25.2725,AW,03_04_05_08_13_16_20_,The ----- to form enough.,,5
,,,,,,CROOKED MAZE FAILED FOOL MOUSE,,
29,2.5034,7.0086,20.0075,TA,01_04_05_14_15_16_20_,The --- the sleepy STREAM.,,5
,,,,,,THAW CAME EARLY FREED STREAM,,
30,2.8163,4.7384,18.5135,TA,03_05_09_11_13_14_19_,The -- MERGE in the CENTRAL PART of TOWN.,,5
,,,,,,ZONES MERGE CENTRAL PART TOWN,,
31,3.0359,3.6953,12.9608,AW,01_06_09_10_12_14_16_,The BARK of the PINE TREE was SHINY and DARK.,,5
,,,,,,BARK PINE TREE SHINY DARK,,
32,2.8837,3.4902,26.2165,TA,02_03_04_09_16_17_18_,The first tremor of ---.,,5
,,,,,,HORSE TROTTED FIELD BRISK PACE,,
33,2.8982,5.8933,6.525,TA,03_06_07_09_18_19_20_,?,,5
,,,,,,SHIRT CLEAN ONE BUTTON GONE,,
34,2.1722,4.5178,14.8768,TA,02_05_06_08_11_15_16_,FLOAT the SOAP on TOP of the BATH WATER.,,5
,,,,,,FLOAT SOAP TOP BATH WATER,,
35,2.24,7.4665,18.9696,TA,04_05_09_11_14_15_17_,He rode ---?,,5
,,,,,,WROTE LAST NOVEL AT INN,,
36,2.4276,7.3856,17.9368,TA,02_05_06_08_11_12_18_,#NAME?,,5
