Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,2.3833,2.9102,7.9098,TA,04_05_07_10_11_16_19_,there are men who walk in the middle of the road,,10
,,,,,,They are men who walk the middle of the road,,
2,2.4626,8.8322,13.3913,AW,04_06_07_11_13_17_20_,flask... stood on the main train,,8
,,,,,,The empty flask stood on the tin tray,,
3,2.4818,6.2463,6.2466,AW,03_07_13_14_16_19_20_,,,8
,,,,,,Bring your best compass to the third class,,
4,2.4944,3.9701,8.7228,TA,01_06_12_13_14_16_18_,check the rope and the ball swingls freely,,8
,,,,,,Jerk the rope and the bell rings weakly,,
5,1.7373,2.5467,5.8903,TA,02_04_08_10_15_19_20_,read it once or you will forget it,,8
,,,,,,Write at once or you may forget it,,
6,2.2309,2.6162,6.5599,AW,02_08_11_14_16_18_19_,read verse outloud for pleasure,,6
,,,,,,Read verse out loud for pleasure,,
7,2.0152,3.9968,5.4207,AW,01_02_09_13_14_15_18_,you read...,,5
,,,,,,Pure bred poodles have curls,,
8,2.5146,7.1013,10.4209,TA,01_09_10_12_13_15_18_,i see less than half of the group,,8
,,,,,,Women form less than half of the group,,
9,2.1886,4.1366,7.8003,AW,02_03_05_08_10_18_19_,the judge called at the right verdict,,7
,,,,,,The just claim got the right verdict,,
10,2.198,4.251,9.7778,TA,03_04_07_10_12_14_18_,i think two shares is a fair profit,,7
,,,,,,Take two shares as a fair profit,,
11,2.6526,3.2364,6.7481,TA,06_07_09_11_16_19_20_,the stale smell of old beer lingers,,7
,,,,,,The stale smell of old beer lingers,,
12,2.4345,3.449,8.2006,TA,08_10_14_15_17_19_20_,he left no person to vouch for him,,8
,,,,,,He asks no person to vouch for him,,
13,2.4646,4.2834,9.283,TA,01_02_03_07_10_12_14_,.. steer the pot into the plate,,9
,,,,,,Pour the stew from the pot into the plate,,
14,2.3106,4.1167,6.0124,TA,04_06_08_13_15_16_18_,... if we've won,,7
,,,,,,To make pure ice you freeze water,,
15,2.7817,8.2293,11.0608,AW,02_06_10_15_16_18_20_,,,9
,,,,,,A saw is a tool used for making boards,,
16,2.3827,1.6432,6.636,AW,01_03_07_12_15_19_20_,the wave integrates the wear,,8
,,,,,,The tree top waved in a graceful way,,
17,2.2785,3.2771,6.901,AW,01_05_07_12_13_14_17_,the small girl took off her hat,,7
,,,,,,The tiny girl took off her hat,,
18,2.4364,4.7213,8.5449,AW,03_06_08_09_12_17_19_,these missiles end in a high wind,,7
,,,,,,These thistles bend in a high wind,,
19,2.2716,5.3149,8.4986,AW,02_05_07_12_15_16_18_,land.. before you blow out,,7
,,,,,,Mend the coat before you go out,,
20,2.4984,6.8603,6.8608,AW,02_06_07_10_17_18_19_,,,7
,,,,,,A salt pickle tastes fine with ham,,
21,2.1941,2.9357,6.6712,TA,02_04_07_08_10_12_14_,make fast if you want to finish early,,8
,,,,,,Write fast if you want to finish early,,
22,2.6969,3.7112,10.4147,AW,01_06_07_08_10_14_18_,the __ combined the seven books at once,,9
,,,,,,The rope will bind the seven books at once,,
23,2.4191,1.6805,6.2094,TA,03_04_05_09_11_13_20_,the sun come up to light the eastern sky,,9
,,,,,,The sun came up to light the eastern sky,,
24,2.9637,5.2312,5.2317,TA,01_04_10_11_14_17_18_,,,11
,,,,,,The barrel of beer was a brew of malt and hops,,
25,2.8178,3.3809,9.2445,AW,03_04_06_10_11_15_17_,the wrist was badly sprained and went limp,,8
,,,,,,The wrist was badly strained and hung limp,,
26,2.9077,4.125,9.2287,AW,01_03_04_05_10_12_17_,and sew a button on the vest,,10
,,,,,,Press the pants and sew a button on the vest,,
27,2.781,3.1264,7.9853,AW,02_05_09_10_14_17_20_,lighting is best for making toys and blocks,,8
,,,,,,Wood is best for making toys and blocks,,
28,1.7564,5.5521,9.0157,TA,01_04_08_09_10_13_16_,raw wire should be kept covered,,6
,,,,,,Live wires should be kept covered,,
29,2.7884,3.5774,7.8491,AW,02_03_09_11_12_15_20_,the fox lived off corn and garbage,,8
,,,,,,The hogs were fed chopped corn and garbage,,
30,2.5872,2.9646,9.5397,TA,04_07_10_11_15_16_20_,the lamp shown with a steady green flame,,8
,,,,,,The lamp shone with a steady green flame,,
31,2.6627,1.3172,6.326,AW,01_02_05_08_09_15_18_,we tried to replace the coin but failed,,8
,,,,,,We tried to replace the coin but failed,,
32,2.6332,3.0808,6.5204,AW,01_03_04_10_11_16_19_,the urge to read short stories is rare,,8
,,,,,,The urge to write short stories is rare,,
33,2.55,3.2943,6.7019,AW,04_05_06_08_09_16_20_,sickness... in the third week,,7
,,,,,,Sickness kept him home the third week,,
34,3.0185,4.0279,9.8035,TA,02_03_06_11_12_14_15_,you put your feet in the snow is your only friend,,11
,,,,,,The crunch of feet in the snow was the only sound,,
35,2.7471,2.9613,8.274,TA,02_03_08_09_12_15_18_,let it burn it gives us warmth and comfort,,9
,,,,,,Let it burn it gives us warmth and comfort,,
36,2.3686,4.1816,8.3972,AW,02_06_09_12_16_18_20_,the ___ calls from the edge of the water,,9
,,,,,,The dune rose from the edge of the water,,
37,2.0788,4.8411,8.3766,AW,04_08_10_11_14_16_20_,,,7
,,,,,,There the flood mark is ten inches,,
38,1.5228,1.548,6.9488,TA,02_06_11_13_14_16_20_,.. stink,,6
,,,,,,Do that with a wooden stick,,
39,2.3065,3.7044,3.7049,AW,05_06_07_08_16_17_18_,,,7
,,,,,,Eight miles of woodland burned to waste,,
40,2.4945,3.9271,3.9276,TA,03_12_13_15_16_17_18_,,,9
,,,,,,Coax a young calf to drink from a bucket,,
41,2.4593,2.7887,6.8756,AW,02_04_09_10_13_15_17_,the girl in the booth saw 50 moons,,8
,,,,,,The girl at the booth sold fifty bonds,,
42,2.7565,6.4094,8.433,AW,01_03_04_08_13_15_18_,.. into the beard,,9
,,,,,,A yacht slid around the point into the bay,,
43,2.5851,3.5059,8.0256,AW,04_05_06_09_15_16_20_,the fin was sharp and cut the clear water,,9
,,,,,,The fin was sharp and cut the clear water,,
44,2.3468,3.2611,7.5808,AW,04_09_11_12_14_15_20_,happy with the fence and fudge in hand,,7
,,,,,,Hop over the fence and plunge in,,
45,2.5535,2.6728,6.7855,AW,01_02_04_07_09_11_15_,the clock struck to mark the third period,,8
,,,,,,The clock struck to mark the third period,,
46,2.8474,4.5441,9.2239,TA,02_06_07_11_14_16_17_,the .... reached its peak tuesday,,8
,,,,,,The rush for funds reached its peak Tuesday,,
47,1.9897,4.3955,9.5631,AW,03_10_12_13_14_15_19_,they had to laugh even though they were sad,,7
,,,,,,They could laugh although they were sad,,
48,2.59,1.892,10.3966,TA,02_04_05_06_08_17_19_,the beach is dry and shallow at high tide,,9
,,,,,,The beach is dry and shallow at low tide,,
49,2.2076,3.1221,5.5378,AW,01_02_03_05_07_16_19_,... and put the sun here,,8
,,,,,,Add the column and put the sum here,,
50,2.9201,4.5278,10.0474,TA,02_05_06_14_15_17_19_,.. is blown.. and... is useless,,10
,,,,,,The tube was blown and the tire flat and useless,,
51,2.1981,2.4293,6.854,TA,02_06_08_13_14_17_20_,it takes a lot of heart to finish these,,9
,,,,,,It takes a lot of help to finish these,,
52,2.6425,3.0019,12.3933,TA,03_10_13_16_17_19_20_,he took the lead and kept a... distance,,10
,,,,,,He took the lead and kept it the whole distance,,
53,2.5327,5.6349,14.4585,AW,02_06_08_09_14_17_18_,a ... grazed the cool grass,,8
,,,,,,The lazy cow lay in the cool grass,,
