Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,1.9665,2.6574,5.8477,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,when you hear the bell come quickly,7,7
,,,,,,When you hear the bell come quickly,,
2,2.5566,2.7896,51.6696,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,leave now and you'll arrive on time,8,8
,,,,,,Leave now and you will arrive on time,,
3,2.3322,2.7072,6.8746,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,he sent the boy on a short errand,8,8
,,,,,,He sent the boy on a short errand,,
4,2.2571,2.7372,5.7609,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the long journey home took a year,7,7
,,,,,,The long journey home took a year,,
5,2.1579,2.5487,5.5302,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,open your book to the first page,7,7
,,,,,,Open your book to the first page,,
6,2.0875,2.5632,8.0517,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the corner storm was dropped last night,5,7
,,,,,,The corner store was robbed last night,,
7,2.3609,2.8468,7.3918,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,a thin book fits in the side pocket,8,8
,,,,,,A thin book fits in the side pocket,,
8,1.9937,2.3469,9.3351,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,will you please answer that phone????,6,6
,,,,,,Will you please answer that phone,,
9,2.3592,2.9269,9.5417,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,one step more and the board will collapse!!!!!,8,8
,,,,,,One step more and the board will collapse,,
10,2.5901,3.0024,10.4593,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,seven seals were stamped on great sheets,7,7
,,,,,,Seven seals were stamped on great sheets,,
11,2.6556,3.0225,7.2849,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the streets are narrow and full of sharp turns ,9,9
,,,,,,The streets are narrow and full of sharp turns,,
12,2.8093,4.0915,7.4355,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the blind man counted his old coins,7,7
,,,,,,The blind man counted his old coins,,
13,2.2146,2.7793,6.9629,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the flat pack takes less luggage space,6,7
,,,,,,A flat pack takes less luggage space,,
14,2.1878,2.8702,6.6689,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,she saw a cat in the neighbors house ,8,8
,,,,,,She saw a cat in the neighbor's house,,
15,1.9766,2.6266,7.0424,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,green ice frosted the punch bowl,6,6
,,,,,,Green ice frosted the punch bowl,,
16,2.7105,3.245,7.3175,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the gloss on top made it unfit to read,9,9
,,,,,,The gloss on top made it unfit to read,,
17,2.7931,3.337,10.1613,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the store was jammed before the sale could start,9,9
,,,,,,The store was jammed before the sale could start,,
18,2.151,2.5396,8.6155,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the big red apple fell to the ground,8,8
,,,,,,The big red apple fell to the ground,,
19,2.089,3.5439,7.9118,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,small children came to see him,6,6
,,,,,,Small children came to see him,,
20,2.2258,2.9357,7.0394,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,take the match and strike it against your shoe,9,9
,,,,,,Take the match and strike it against your shoe,,
21,2.7525,3.258,8.9056,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the steady drip is worse than a drenching rain,9,9
,,,,,,The steady drip is worse than a drenching rain,,
22,2.6018,3.2375,10.5573,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the stich will serve but needs to be shortened,9,9
,,,,,,The stitch will serve but needs to be shortened,,
23,2.7208,2.8299,9.3668,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the curtain rose...and the show was on,8,8
,,,,,,The curtain rose and the show was on,,
24,2.3051,2.9732,8.8366,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,stop and stare at the hard-working man,8,8
,,,,,,Stop and stare at the hard working man,,
25,2.7613,3.0275,8.1882,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the grass and bushes were wet with dew ,8,8
,,,,,,The grass and bushes were wet with dew,,
26,2.2805,3.0209,8.2685,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,dip the pale ones and let it settle ,7,8
,,,,,,Dip the pail once and let it settle,,
27,2.9054,3.0764,7.6292,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,a severe storm tore down the barn,7,7
,,,,,,A severe storm tore down the barn,,
28,2.5231,3.878,8.6457,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,a gold ring will please most any girl,8,8
,,,,,,A gold ring will please most any girl,,
29,2.6564,3.1633,13.722,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the hail pattered on the burnt brown grass,8,8
,,,,,,The hail pattered on the burnt brown grass,,
30,2.713,3.2569,9.1127,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,it was a bad error on the part of the new judge,12,12
,,,,,,It was a bad error on the part of the new judge,,
31,2.8561,3.5148,10.0256,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the pup jerked the leash as he saw a feline shape ,11,11
,,,,,,The pup jerked the leash as he saw a feline shape,,
32,2.4569,3.1145,17.202,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,our troops are sent to strike heavy blows,7,8
,,,,,,Our troops are set to strike heavy blows,,
33,2.089,2.5236,5.3316,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,she called his name many times ,6,6
,,,,,,She called his name many times,,
34,2.8981,3.8692,11.3649,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the pot boiled but the contents failed to gel :(,9,9
,,,,,,The pot boiled but the contents failed to jell,,
35,2.0744,2.6471,9.0387,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the stuffed chair slipped from the moving van,7,8
,,,,,,A stuffed chair slipped from the moving van,,
36,2.8153,3.0948,8.7745,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the young price became heir to the throne ,8,8
,,,,,,The young prince became heir to the throne,,
37,2.6611,3.2877,9.0878,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the bombs left most of the town in ruins,9,9
,,,,,,The bombs left most of the town in ruins,,
38,2.2751,3.2878,7.9836,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,fish evade the net and swam off ,7,7
,,,,,,Fish evade the net and swim off,,
39,2.8814,3.3188,9.5906,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the pink shell was found on the sandy beach,8,9
,,,,,,A pink shell was found on the sandy beach,,
40,2.35,3.0285,9.5482,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the baby puts the right foot in his mouth,8,9
,,,,,,The baby puts his right foot in his mouth,,
