Trial Number,Sentence Duration,Time To Response Start,Time to Response End,Talker,Active Channels,Subject Responses / Target Sentences,Words Correct,Total Words
1,1.9665,4.3486,11.3874,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,WHEN you HEAR the BELL COME QUICKLY,,5
,,,,,,WHEN HEAR BELL COME QUICKLY,,
2,2.5566,2.9819,10.4845,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,LEAVE NOW and YOU'll arive on TIME,,5
,,,,,,LEAVE NOW YOU ARRIVE TIME,,
3,2.3322,2.7805,11.6634,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,you've SENT tHE BOY on a SHORT ERRAND,,5
,,,,,,HE SENT BOY SHORT ERRAND,,
4,2.2571,3.541,11.1887,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the LONG JOURNEY HOME of the YEAR ,,5
,,,,,,LONG JOURNEY HOME TOOK YEAR,,
5,2.1579,2.8621,7.1975,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,OPEN YOUR BOOK to the FIRST PAGE,,5
,,,,,,OPEN YOUR BOOK FIRST PAGE,,
6,2.0875,2.7395,7.6751,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the CORNER STORE was ROBBED LAST NIGHT,,5
,,,,,,CORNER STORE ROBBED LAST NIGHT,,
7,2.3609,3.2625,9.4139,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the THIN BOOK FITS in the SIDE POCKET,,5
,,,,,,THIN BOOK FITS SIDE POCKET,,
8,1.9937,2.7256,9.357,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,WILL you PLEASE ANSWER THAT PHONE,,5
,,,,,,WILL PLEASE ANSWER THAT PHONE,,
9,2.3592,2.9113,11.1433,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,ONE STEP MORE and the BOARD will COLLAPSE,,5
,,,,,,ONE STEP MORE BOARD COLLAPSE,,
10,2.5901,3.0418,11.7801,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,SEVEN SEALS were STAMPED on GREAT SHEETS,,5
,,,,,,SEVEN SEALS STAMPED GREAT SHEETS,,
11,2.6556,3.0741,12.5956,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the STREETS are NARROW and FULL of SHARP TURNS,,5
,,,,,,STREETS NARROW FULL SHARP TURNS,,
12,2.8093,3.0461,7.6964,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the BLIND MAN COUNTED his OLD COINS,,5
,,,,,,BLIND MAN COUNTED OLD COINS,,
13,2.2146,2.6439,12.1275,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the FLAT pat takes LESS LUGGAGE SPACE,,5
,,,,,,FLAT PACK LESS LUGGAGE SPACE,,
14,2.1878,2.4277,13.9097,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,SHE SAW a CAT in the NEIGHBORs HOUSE ,,5
,,,,,,SHE SAW CAT NEIGHBOR HOUSE,,
15,1.9766,3.0731,10.5046,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,GREEN eyes FROSTED the PUNCH BOWL ,,5
,,,,,,GREEN ICE FROSTED PUNCH BOWL,,
16,2.7105,2.9887,12.4309,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the glass on TOP MADE it UNFIT to READ,,5
,,,,,,GLOSS TOP MADE UNFIT READ,,
17,2.7931,3.2347,10.0453,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the STORE was JAMMED BEFORE the SALE could START ,,5
,,,,,,STORE JAMMED BEFORE SALE START,,
18,2.151,2.1827,9.5131,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the BIG RED APPLE FELL to the GROUND ,,5
,,,,,,BIG RED APPLE FELL GROUND,,
19,2.089,2.1978,8.672,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,SMALL CHILDREN CAME to SEE HIM ,,5
,,,,,,SMALL CHILDREN CAME SEE HIM,,
20,2.2258,2.634,8.8712,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,TAKE the MATCH and STRIKE it AGAINST your SHOE ,,5
,,,,,,TAKE MATCH STRIKE AGAINST SHOE,,
21,2.7525,3.2584,18.7853,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the STEADY DRIP is WORSE than a DRENCHING RAIN,,5
,,,,,,STEADY DRIP WORSE DRENCHING RAIN,,
22,2.6018,3.099,14.0359,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the STITCH will SERVE BUT NEEDS to be SHORTENED,,5
,,,,,,STITCH SERVE BUT NEEDS SHORTENED,,
23,2.7208,2.7271,7.7536,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the CURTAIN ROSE and the SHOW WAS ON,,5
,,,,,,CURTAIN ROSE SHOW WAS ON,,
24,2.3051,2.7431,7.6781,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,STOP and STARE at the HARD WORKING MAN,,5
,,,,,,STOP STARE HARD WORKING MAN,,
25,2.7613,3.3452,14.1764,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the GRASS and BUSHES WERE WET with DEW,,5
,,,,,,GRASS BUSHES WERE WET DEW,,
26,2.2805,4.1727,9.5562,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,skip the pale ONCE and LET it SETTLE,,5
,,,,,,DIP PAIL ONCE LET SETTLE,,
27,2.9054,3.0074,9.0898,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,a SEVERE STORM TORE DOWN the BARN ,,5
,,,,,,SEVERE STORM TORE DOWN BARN,,
28,2.5231,3.0798,11.6791,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the GOLD rain will PLEASE most ANY GIRL ,,5
,,,,,,GOLD RING PLEASE ANY GIRL,,
29,2.6564,3.1117,11.4886,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the hale patted on the BURNT BROWN GRASS ,,5
,,,,,,HAIL PATTERED BURNT BROWN GRASS,,
30,2.713,3.2521,10.6196,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,it was a BAD ERROR on the PART of the NEW JUDGE ,,5
,,,,,,BAD ERROR PART NEW JUDGE,,
31,2.8561,3.7259,16.9331,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the PUP took the LEASH as he saw a FELINE SHAPE,,5
,,,,,,PUP JERKED LEASH FELINE SHAPE,,
32,2.4569,2.9173,19.9823,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,our trips are SET to hit HEAVY BLOWS ,,5
,,,,,,TROOPS SET STRIKE HEAVY BLOWS,,
33,2.089,2.5043,7.9373,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,SHE CALLED his NAME MANY TIMES ,,5
,,,,,,SHE CALLED NAME MANY TIMES,,
34,2.8981,3.6001,16.1272,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the POT BOILED but the CONTENTS FAILED to joe ,,5
,,,,,,POT BOILED CONTENTS FAILED JELL,,
35,2.0744,2.7226,12.1621,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,a STUFFED CHAIR SLIPPED from the MOVING VAN ,,5
,,,,,,STUFFED CHAIR SLIPPED MOVING VAN,,
36,2.8153,3.0234,14.4654,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the YOUNG PRINCE BECAME HEIR to the THRONE ,,5
,,,,,,YOUNG PRINCE BECAME HEIR THRONE,,
37,2.6611,3.2568,10.9762,AW,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the bonds LEFT MOST of the TOWN in RUINS ,,5
,,,,,,BOMBS LEFT MOST TOWN RUINS,,
38,2.2751,7.4885,10.6329,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the NET and SWIM OFF ,,5
,,,,,,FISH EVADE NET SWIM OFF,,
39,2.8814,2.9434,10.8736,TA,01_02_03_04_05_06_07_08_09_10_11_12_13_14_15_16_17_18_19_20_,the PINK SHELL was FOUND on the SANDY BEACH ,,5
,,,,,,PINK SHELL FOUND SANDY BEACH,,
